,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
0,Pair0_5,NR_015566,100.0,17,1,17,2797,2781,0.11,minus,NR_015566,ENSMUST00000181273,A330023F24Rik,True,True
1,Pair1_5,NR_015566,100.0,17,1,17,2797,2781,0.11,minus,NR_015566,ENSMUST00000181273,A330023F24Rik,True,True
6,Pair12_5,NR_015566,100.0,17,1,17,2797,2781,0.11,minus,NR_015566,ENSMUST00000181273,A330023F24Rik,True,True
3417,Pair10_5,XM_006537850,95.0,20,1,20,4771,4790,0.42,plus,XM_006537850,ENSMUST00000102889,Ecpas,True,True
3418,Pair13_5,XM_006537850,95.0,20,1,20,4771,4790,0.42,plus,XM_006537850,ENSMUST00000102889,Ecpas,True,True
3432,Pair10_5,XM_006537848,95.0,20,1,20,9935,9954,0.42,plus,XM_006537848,ENSMUST00000102889,Ecpas,True,True
3433,Pair13_5,XM_006537848,95.0,20,1,20,9935,9954,0.42,plus,XM_006537848,ENSMUST00000102889,Ecpas,True,True
3447,Pair10_5,NM_001355696,95.0,20,1,20,4620,4639,0.42,plus,NM_001355696,ENSMUST00000102889,Ecpas,True,True
3448,Pair13_5,NM_001355696,95.0,20,1,20,4620,4639,0.42,plus,NM_001355696,ENSMUST00000102889,Ecpas,True,True
3499,Pair10_5,NM_172381,95.0,20,1,20,4832,4851,0.42,plus,NM_172381,ENSMUST00000102889,Ecpas,True,True
3500,Pair13_5,NM_172381,95.0,20,1,20,4832,4851,0.42,plus,NM_172381,ENSMUST00000102889,Ecpas,True,True
3512,Pair10_5,NM_001355697,95.0,20,1,20,4724,4743,0.42,plus,NM_001355697,ENSMUST00000102889,Ecpas,True,True
3513,Pair13_5,NM_001355697,95.0,20,1,20,4724,4743,0.42,plus,NM_001355697,ENSMUST00000102889,Ecpas,True,True
3561,Pair3_5,XR_003951646,100.0,16,1,16,1890,1875,0.42,minus,XR_003951646,-,-,True,True
3562,Pair4_5,XR_003951646,100.0,16,1,16,1890,1875,0.42,minus,XR_003951646,-,-,True,True
4430,Pair42_5,XM_017317076,100.0,20,1,20,19551,19532,0.002,minus,XM_017317076,ENSMUST00000114960,Kalrn,True,True
4431,Pair43_5,XM_017317076,100.0,20,1,20,19551,19532,0.002,minus,XM_017317076,ENSMUST00000114960,Kalrn,True,True
4432,Pair44_5,XM_017317076,100.0,20,1,20,19551,19532,0.002,minus,XM_017317076,ENSMUST00000114960,Kalrn,True,True
4433,Pair45_5,XM_017317076,100.0,20,1,20,19551,19532,0.002,minus,XM_017317076,ENSMUST00000114960,Kalrn,True,True
