,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1084,Pair0_5,ENST00000659997.3,100.0,20,1,20,181,200,0.002,plus,ENST00000659997.3,IL19,True,True
1085,Pair1_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
1086,Pair2_5,ENST00000659997.3,100.0,20,1,20,204,223,0.002,plus,ENST00000659997.3,IL19,True,True
1087,Pair3_5,ENST00000659997.3,100.0,20,1,20,182,201,0.002,plus,ENST00000659997.3,IL19,True,True
1088,Pair4_5,ENST00000659997.3,100.0,20,1,20,184,203,0.002,plus,ENST00000659997.3,IL19,True,True
1089,Pair5_5,ENST00000659997.3,100.0,20,1,20,203,222,0.002,plus,ENST00000659997.3,IL19,True,True
1090,Pair6_5,ENST00000659997.3,100.0,20,1,20,202,221,0.002,plus,ENST00000659997.3,IL19,True,True
1091,Pair7_5,ENST00000659997.3,100.0,20,1,20,160,179,0.002,plus,ENST00000659997.3,IL19,True,True
1092,Pair8_5,ENST00000659997.3,100.0,20,1,20,193,212,0.002,plus,ENST00000659997.3,IL19,True,True
1093,Pair9_5,ENST00000659997.3,100.0,20,1,20,148,167,0.002,plus,ENST00000659997.3,IL19,True,True
1094,Pair10_5,ENST00000659997.3,100.0,20,1,20,183,202,0.002,plus,ENST00000659997.3,IL19,True,True
1095,Pair11_5,ENST00000659997.3,100.0,20,1,20,207,226,0.002,plus,ENST00000659997.3,IL19,True,True
1096,Pair12_5,ENST00000659997.3,100.0,20,1,20,206,225,0.002,plus,ENST00000659997.3,IL19,True,True
1097,Pair13_5,ENST00000659997.3,100.0,20,1,20,205,224,0.002,plus,ENST00000659997.3,IL19,True,True
1098,Pair14_5,ENST00000659997.3,100.0,20,1,20,208,227,0.002,plus,ENST00000659997.3,IL19,True,True
1099,Pair15_5,ENST00000659997.3,100.0,20,1,20,155,174,0.002,plus,ENST00000659997.3,IL19,True,True
1100,Pair16_5,ENST00000659997.3,100.0,20,1,20,181,200,0.002,plus,ENST00000659997.3,IL19,True,True
1101,Pair17_5,ENST00000659997.3,100.0,20,1,20,255,274,0.002,plus,ENST00000659997.3,IL19,True,True
1102,Pair18_5,ENST00000659997.3,100.0,20,1,20,204,223,0.002,plus,ENST00000659997.3,IL19,True,True
1103,Pair19_5,ENST00000659997.3,100.0,20,1,20,182,201,0.002,plus,ENST00000659997.3,IL19,True,True
1104,Pair20_5,ENST00000659997.3,100.0,20,1,20,184,203,0.002,plus,ENST00000659997.3,IL19,True,True
1105,Pair21_5,ENST00000659997.3,100.0,20,1,20,181,200,0.002,plus,ENST00000659997.3,IL19,True,True
1106,Pair22_5,ENST00000659997.3,100.0,20,1,20,255,274,0.002,plus,ENST00000659997.3,IL19,True,True
1107,Pair23_5,ENST00000659997.3,100.0,20,1,20,256,275,0.002,plus,ENST00000659997.3,IL19,True,True
1108,Pair24_5,ENST00000659997.3,100.0,20,1,20,203,222,0.002,plus,ENST00000659997.3,IL19,True,True
1109,Pair25_5,ENST00000659997.3,100.0,20,1,20,204,223,0.002,plus,ENST00000659997.3,IL19,True,True
1110,Pair26_5,ENST00000659997.3,100.0,20,1,20,202,221,0.002,plus,ENST00000659997.3,IL19,True,True
1111,Pair27_5,ENST00000659997.3,100.0,20,1,20,182,201,0.002,plus,ENST00000659997.3,IL19,True,True
1112,Pair28_5,ENST00000659997.3,100.0,20,1,20,184,203,0.002,plus,ENST00000659997.3,IL19,True,True
1113,Pair29_5,ENST00000659997.3,100.0,20,1,20,181,200,0.002,plus,ENST00000659997.3,IL19,True,True
1114,Pair30_5,ENST00000659997.3,100.0,20,1,20,255,274,0.002,plus,ENST00000659997.3,IL19,True,True
