,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1130,Pair14_5,ENST00000400819.2,100.0,17,1,17,194,178,0.097,minus,ENST00000400819.2,MRPL20P1,True,True
1131,Pair15_3,ENST00000400819.2,100.0,17,4,20,178,194,0.097,plus,ENST00000400819.2,MRPL20P1,True,True
1132,Pair16_3,ENST00000400819.2,100.0,16,5,20,178,193,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
1133,Pair17_5,ENST00000400819.2,100.0,17,1,17,194,178,0.097,minus,ENST00000400819.2,MRPL20P1,True,True
1135,Pair18_5,ENST00000400819.2,100.0,17,1,17,194,178,0.097,minus,ENST00000400819.2,MRPL20P1,True,True
1136,Pair19_3,ENST00000400819.2,100.0,17,4,20,178,194,0.097,plus,ENST00000400819.2,MRPL20P1,True,True
1137,Pair20_3,ENST00000400819.2,100.0,16,5,20,178,193,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
1142,Pair30_3,ENST00000400819.2,95.0,20,1,20,204,223,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
1147,Pair40_5,ENST00000400819.2,95.0,20,1,20,384,365,0.38,minus,ENST00000400819.2,MRPL20P1,True,True
1148,Pair42_5,ENST00000400819.2,100.0,17,1,17,194,178,0.097,minus,ENST00000400819.2,MRPL20P1,True,True
1149,Pair43_3,ENST00000400819.2,100.0,17,4,20,178,194,0.097,plus,ENST00000400819.2,MRPL20P1,True,True
1150,Pair44_3,ENST00000400819.2,100.0,16,5,20,178,193,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
1151,Pair45_5,ENST00000400819.2,100.0,17,1,17,194,178,0.097,minus,ENST00000400819.2,MRPL20P1,True,True
1153,Pair46_5,ENST00000400819.2,100.0,17,1,17,194,178,0.097,minus,ENST00000400819.2,MRPL20P1,True,True
1154,Pair47_3,ENST00000400819.2,100.0,17,4,20,178,194,0.097,plus,ENST00000400819.2,MRPL20P1,True,True
1155,Pair48_3,ENST00000400819.2,100.0,16,5,20,178,193,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
1157,Pair60_3,ENST00000400819.2,95.0,20,1,20,204,223,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
1167,Pair84_5,ENST00000400819.2,100.0,17,1,17,194,178,0.097,minus,ENST00000400819.2,MRPL20P1,True,True
1168,Pair85_3,ENST00000400819.2,100.0,17,4,20,178,194,0.097,plus,ENST00000400819.2,MRPL20P1,True,True
1169,Pair86_3,ENST00000400819.2,100.0,16,5,20,178,193,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
1170,Pair87_3,ENST00000400819.2,100.0,17,4,20,178,194,0.097,plus,ENST00000400819.2,MRPL20P1,True,True
1171,Pair88_3,ENST00000400819.2,100.0,16,5,20,178,193,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
1172,Pair89_3,ENST00000400819.2,100.0,17,4,20,178,194,0.097,plus,ENST00000400819.2,MRPL20P1,True,True
1173,Pair90_3,ENST00000400819.2,100.0,16,5,20,178,193,0.38,plus,ENST00000400819.2,MRPL20P1,True,True
2329,Pair7_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2330,Pair8_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2331,Pair9_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2332,Pair10_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2333,Pair13_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2334,Pair77_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2335,Pair78_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2336,Pair79_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2337,Pair80_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2338,Pair83_3,ENST00000458625.5,100.0,15,6,20,148,162,1.5,plus,ENST00000458625.5,CCL25,True,True
2339,Pair7_3,ENST00000390669.7,100.0,15,6,20,198,212,1.5,plus,ENST00000390669.7,CCL25,True,True
2340,Pair8_3,ENST00000390669.7,100.0,15,6,20,198,212,1.5,plus,ENST00000390669.7,CCL25,True,True
