,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
304,Pair0_3,NR_168520,100.0,20,1,20,51,70,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
305,Pair1_3,NR_168520,100.0,20,1,20,35,54,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
306,Pair2_3,NR_168520,100.0,20,1,20,52,71,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
307,Pair3_3,NR_168520,100.0,20,1,20,44,63,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
308,Pair4_3,NR_168520,100.0,20,1,20,41,60,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
309,Pair5_3,NR_168520,100.0,20,1,20,37,56,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
310,Pair6_3,NR_168520,100.0,20,1,20,36,55,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
311,Pair7_3,NR_168520,100.0,20,1,20,39,58,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
312,Pair8_3,NR_168520,100.0,20,1,20,34,53,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
313,Pair9_3,NR_168520,100.0,20,1,20,40,59,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
314,Pair10_3,NR_168520,100.0,20,1,20,51,70,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
315,Pair11_3,NR_168520,100.0,20,1,20,42,61,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
316,Pair13_3,NR_168520,100.0,20,1,20,35,54,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
317,Pair14_3,NR_168520,100.0,20,1,20,62,81,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
318,Pair15_5,NR_168520,100.0,20,1,20,186,167,0.003,minus,NR_168520,ENST00000306602,CXCL10,True,True
319,Pair16_3,NR_168520,100.0,20,1,20,51,70,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
320,Pair17_3,NR_168520,100.0,20,1,20,51,70,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
321,Pair18_3,NR_168520,100.0,20,1,20,51,70,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
322,Pair19_3,NR_168520,100.0,20,1,20,35,54,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
323,Pair20_3,NR_168520,100.0,20,1,20,35,54,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
324,Pair21_3,NR_168520,100.0,20,1,20,79,98,0.003,plus,NR_168520,ENST00000306602,CXCL10,True,True
