,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1002,Pair0_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1003,Pair1_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1004,Pair2_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1005,Pair3_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1006,Pair4_3,ENST00000614259.2,100.0,22,1,22,32,11,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1007,Pair5_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1008,Pair6_3,ENST00000614259.2,100.0,22,1,22,32,11,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1009,Pair7_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1010,Pair8_3,ENST00000614259.2,100.0,22,1,22,24,3,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1011,Pair9_3,ENST00000614259.2,100.0,22,1,22,25,4,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1012,Pair10_3,ENST00000614259.2,100.0,22,1,22,26,5,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1013,Pair11_3,ENST00000614259.2,100.0,22,1,22,77,56,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1014,Pair12_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1015,Pair13_3,ENST00000614259.2,100.0,22,1,22,24,3,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1016,Pair14_3,ENST00000614259.2,100.0,22,1,22,25,4,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1017,Pair15_3,ENST00000614259.2,100.0,22,1,22,26,5,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1018,Pair16_3,ENST00000614259.2,100.0,22,1,22,77,56,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1019,Pair17_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1020,Pair18_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1021,Pair19_3,ENST00000614259.2,100.0,23,1,23,33,11,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1022,Pair20_3,ENST00000614259.2,100.0,22,1,22,32,11,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1023,Pair21_3,ENST00000614259.2,100.0,22,1,22,35,14,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1024,Pair22_3,ENST00000614259.2,100.0,22,1,22,31,10,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1025,Pair23_3,ENST00000614259.2,100.0,23,1,23,33,11,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1026,Pair24_3,ENST00000614259.2,100.0,22,1,22,32,11,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1027,Pair25_3,ENST00000614259.2,100.0,22,1,22,35,14,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1028,Pair26_3,ENST00000614259.2,100.0,22,1,22,31,10,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1029,Pair27_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1030,Pair28_3,ENST00000614259.2,100.0,22,1,22,24,3,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1031,Pair29_3,ENST00000614259.2,100.0,22,1,22,25,4,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1032,Pair30_3,ENST00000614259.2,100.0,22,1,22,26,5,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1033,Pair31_3,ENST00000614259.2,100.0,22,1,22,77,56,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1034,Pair32_3,ENST00000614259.2,100.0,23,1,23,78,56,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1035,Pair33_3,ENST00000614259.2,100.0,22,1,22,24,3,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1036,Pair34_3,ENST00000614259.2,100.0,22,1,22,25,4,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1037,Pair35_3,ENST00000614259.2,100.0,22,1,22,26,5,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1038,Pair36_3,ENST00000614259.2,100.0,23,1,23,27,5,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1039,Pair37_3,ENST00000614259.2,100.0,23,1,23,78,56,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1040,Pair38_3,ENST00000614259.2,100.0,22,1,22,32,11,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1041,Pair39_3,ENST00000614259.2,100.0,22,1,22,77,56,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1042,Pair40_3,ENST00000614259.2,100.0,23,1,23,27,5,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1043,Pair41_3,ENST00000614259.2,100.0,23,1,23,33,11,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1044,Pair42_3,ENST00000614259.2,100.0,22,1,22,35,14,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1045,Pair43_3,ENST00000614259.2,100.0,22,1,22,31,10,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1046,Pair44_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1047,Pair45_3,ENST00000614259.2,100.0,22,1,22,24,3,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1048,Pair46_3,ENST00000614259.2,100.0,22,1,22,25,4,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1049,Pair47_3,ENST00000614259.2,100.0,22,1,22,26,5,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1050,Pair48_3,ENST00000614259.2,100.0,23,1,23,33,11,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1051,Pair49_3,ENST00000614259.2,100.0,21,1,21,30,10,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1052,Pair50_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1053,Pair51_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1054,Pair52_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1055,Pair53_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1056,Pair54_3,ENST00000614259.2,100.0,22,1,22,32,11,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1057,Pair55_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1058,Pair56_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1059,Pair57_3,ENST00000614259.2,100.0,22,1,22,32,11,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1060,Pair58_3,ENST00000614259.2,100.0,22,1,22,24,3,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1061,Pair59_3,ENST00000614259.2,100.0,22,1,22,25,4,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1062,Pair60_3,ENST00000614259.2,100.0,22,1,22,26,5,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1063,Pair61_3,ENST00000614259.2,100.0,22,1,22,77,56,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1064,Pair62_3,ENST00000614259.2,100.0,22,1,22,32,11,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1065,Pair63_3,ENST00000614259.2,100.0,22,1,22,24,3,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1066,Pair64_3,ENST00000614259.2,100.0,22,1,22,25,4,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1067,Pair65_3,ENST00000614259.2,100.0,22,1,22,26,5,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1068,Pair66_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1069,Pair67_3,ENST00000614259.2,100.0,22,1,22,77,56,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1070,Pair68_3,ENST00000614259.2,100.0,23,1,23,33,11,3.57e-05,minus,ENST00000614259.2,BRCA2,True,True
1071,Pair69_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
1072,Pair70_3,ENST00000614259.2,100.0,22,1,22,35,14,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1073,Pair71_3,ENST00000614259.2,100.0,22,1,22,31,10,0.000121,minus,ENST00000614259.2,BRCA2,True,True
