,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
544,Pair0_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
545,Pair1_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
546,Pair2_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
547,Pair3_5,ENST00000659997.3,100.0,20,1,20,160,179,0.002,plus,ENST00000659997.3,IL19,True,True
548,Pair4_5,ENST00000659997.3,100.0,20,1,20,148,167,0.002,plus,ENST00000659997.3,IL19,True,True
549,Pair5_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
550,Pair6_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
551,Pair7_5,ENST00000659997.3,100.0,20,1,20,160,179,0.002,plus,ENST00000659997.3,IL19,True,True
552,Pair8_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
553,Pair9_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
554,Pair10_5,ENST00000659997.3,100.0,20,1,20,148,167,0.002,plus,ENST00000659997.3,IL19,True,True
555,Pair11_5,ENST00000659997.3,100.0,20,1,20,155,174,0.002,plus,ENST00000659997.3,IL19,True,True
556,Pair12_5,ENST00000659997.3,100.0,20,1,20,160,179,0.002,plus,ENST00000659997.3,IL19,True,True
557,Pair13_5,ENST00000659997.3,100.0,20,1,20,148,167,0.002,plus,ENST00000659997.3,IL19,True,True
558,Pair14_5,ENST00000659997.3,100.0,20,1,20,156,175,0.002,plus,ENST00000659997.3,IL19,True,True
559,Pair15_5,ENST00000659997.3,100.0,20,1,20,155,174,0.002,plus,ENST00000659997.3,IL19,True,True
560,Pair16_3,ENST00000659997.3,100.0,20,1,20,274,255,0.002,minus,ENST00000659997.3,IL19,True,True
561,Pair17_3,ENST00000659997.3,100.0,20,1,20,274,255,0.002,minus,ENST00000659997.3,IL19,True,True
562,Pair18_3,ENST00000659997.3,100.0,20,1,20,275,256,0.002,minus,ENST00000659997.3,IL19,True,True
563,Pair19_3,ENST00000659997.3,100.0,20,1,20,274,255,0.002,minus,ENST00000659997.3,IL19,True,True
564,Pair20_3,ENST00000659997.3,100.0,20,1,20,277,258,0.002,minus,ENST00000659997.3,IL19,True,True
565,Pair21_3,ENST00000659997.3,100.0,20,1,20,275,256,0.002,minus,ENST00000659997.3,IL19,True,True
566,Pair22_3,ENST00000659997.3,100.0,20,1,20,277,258,0.002,minus,ENST00000659997.3,IL19,True,True
567,Pair23_3,ENST00000659997.3,100.0,20,1,20,276,257,0.002,minus,ENST00000659997.3,IL19,True,True
568,Pair24_3,ENST00000659997.3,100.0,20,1,20,275,256,0.002,minus,ENST00000659997.3,IL19,True,True
569,Pair25_3,ENST00000659997.3,100.0,20,1,20,275,256,0.002,minus,ENST00000659997.3,IL19,True,True
570,Pair26_3,ENST00000659997.3,100.0,20,1,20,274,255,0.002,minus,ENST00000659997.3,IL19,True,True
571,Pair27_3,ENST00000659997.3,100.0,20,1,20,276,257,0.002,minus,ENST00000659997.3,IL19,True,True
572,Pair28_3,ENST00000659997.3,100.0,20,1,20,277,258,0.002,minus,ENST00000659997.3,IL19,True,True
573,Pair29_3,ENST00000659997.3,100.0,20,1,20,277,258,0.002,minus,ENST00000659997.3,IL19,True,True
574,Pair30_3,ENST00000659997.3,100.0,20,1,20,276,257,0.002,minus,ENST00000659997.3,IL19,True,True
575,Pair31_3,ENST00000659997.3,100.0,20,1,20,276,257,0.002,minus,ENST00000659997.3,IL19,True,True
579,Pair3_5,ENST00000490024.1,100.0,16,1,16,310,295,0.38,minus,ENST00000490024.1,RPL35P6,True,True
582,Pair7_5,ENST00000490024.1,100.0,16,1,16,310,295,0.38,minus,ENST00000490024.1,RPL35P6,True,True
586,Pair12_5,ENST00000490024.1,100.0,16,1,16,310,295,0.38,minus,ENST00000490024.1,RPL35P6,True,True
6997,Pair25_5,ENST00000449804.4,100.0,16,1,16,541,526,0.38,minus,ENST00000449804.4,FOXI1,True,True
7000,Pair29_5,ENST00000449804.4,100.0,16,1,16,541,526,0.38,minus,ENST00000449804.4,FOXI1,True,True
7002,Pair31_5,ENST00000449804.4,100.0,16,1,16,541,526,0.38,minus,ENST00000449804.4,FOXI1,True,True
7004,Pair39_3,ENST00000449804.4,100.0,16,5,20,526,541,0.38,plus,ENST00000449804.4,FOXI1,True,True
7006,Pair41_3,ENST00000449804.4,100.0,16,5,20,526,541,0.38,plus,ENST00000449804.4,FOXI1,True,True
7008,Pair44_3,ENST00000449804.4,100.0,16,5,20,526,541,0.38,plus,ENST00000449804.4,FOXI1,True,True
7013,Pair25_5,ENST00000306268.8,100.0,16,1,16,557,542,0.38,minus,ENST00000306268.8,FOXI1,True,True
7016,Pair29_5,ENST00000306268.8,100.0,16,1,16,557,542,0.38,minus,ENST00000306268.8,FOXI1,True,True
7018,Pair31_5,ENST00000306268.8,100.0,16,1,16,557,542,0.38,minus,ENST00000306268.8,FOXI1,True,True
7020,Pair39_3,ENST00000306268.8,100.0,16,5,20,542,557,0.38,plus,ENST00000306268.8,FOXI1,True,True
7022,Pair41_3,ENST00000306268.8,100.0,16,5,20,542,557,0.38,plus,ENST00000306268.8,FOXI1,True,True
7024,Pair44_3,ENST00000306268.8,100.0,16,5,20,542,557,0.38,plus,ENST00000306268.8,FOXI1,True,True
7733,Pair32_5,ENST00000369110.8,95.0,20,1,20,3590,3571,0.38,minus,ENST00000369110.8,PREP,True,True
7735,Pair35_5,ENST00000369110.8,95.0,20,1,20,3590,3571,0.38,minus,ENST00000369110.8,PREP,True,True
7737,Pair38_5,ENST00000369110.8,95.0,20,1,20,3590,3571,0.38,minus,ENST00000369110.8,PREP,True,True
7738,Pair39_5,ENST00000369110.8,95.0,20,1,20,3590,3571,0.38,minus,ENST00000369110.8,PREP,True,True
7743,Pair46_5,ENST00000369110.8,95.0,20,1,20,3590,3571,0.38,minus,ENST00000369110.8,PREP,True,True
7745,Pair32_5,ENST00000652536.2,95.0,20,1,20,3016,2997,0.38,minus,ENST00000652536.2,PREP,True,True
7747,Pair35_5,ENST00000652536.2,95.0,20,1,20,3016,2997,0.38,minus,ENST00000652536.2,PREP,True,True
7749,Pair38_5,ENST00000652536.2,95.0,20,1,20,3016,2997,0.38,minus,ENST00000652536.2,PREP,True,True
7750,Pair39_5,ENST00000652536.2,95.0,20,1,20,3016,2997,0.38,minus,ENST00000652536.2,PREP,True,True
7755,Pair46_5,ENST00000652536.2,95.0,20,1,20,3016,2997,0.38,minus,ENST00000652536.2,PREP,True,True
7778,Pair33_5,ENST00000483783.1,100.0,18,3,20,262,279,0.025,plus,ENST00000483783.1,DPP7,True,True
7780,Pair36_5,ENST00000483783.1,100.0,18,3,20,262,279,0.025,plus,ENST00000483783.1,DPP7,True,True
7783,Pair40_5,ENST00000483783.1,100.0,18,3,20,262,279,0.025,plus,ENST00000483783.1,DPP7,True,True
7784,Pair41_5,ENST00000483783.1,100.0,18,3,20,262,279,0.025,plus,ENST00000483783.1,DPP7,True,True
