,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000530706.5,100.0,20,1,20,474,455,0.002,minus,ENST00000530706.5,MCAM,True,True
1,Pair0_3,ENST00000530706.5,100.0,19,1,19,289,307,0.005,plus,ENST00000530706.5,MCAM,True,True
2,Pair1_5,ENST00000530706.5,100.0,20,1,20,506,487,0.002,minus,ENST00000530706.5,MCAM,True,True
3,Pair1_3,ENST00000530706.5,100.0,19,1,19,289,307,0.005,plus,ENST00000530706.5,MCAM,True,True
4,Pair2_5,ENST00000530706.5,100.0,20,1,20,508,489,0.002,minus,ENST00000530706.5,MCAM,True,True
5,Pair2_3,ENST00000530706.5,100.0,19,1,19,289,307,0.005,plus,ENST00000530706.5,MCAM,True,True
6,Pair3_5,ENST00000530706.5,100.0,20,1,20,476,457,0.002,minus,ENST00000530706.5,MCAM,True,True
7,Pair3_3,ENST00000530706.5,100.0,19,1,19,289,307,0.005,plus,ENST00000530706.5,MCAM,True,True
8,Pair4_5,ENST00000530706.5,100.0,20,1,20,465,446,0.002,minus,ENST00000530706.5,MCAM,True,True
9,Pair4_3,ENST00000530706.5,100.0,19,1,19,289,307,0.005,plus,ENST00000530706.5,MCAM,True,True
10,Pair5_5,ENST00000530706.5,100.0,20,1,20,405,386,0.002,minus,ENST00000530706.5,MCAM,True,True
11,Pair5_3,ENST00000530706.5,100.0,20,1,20,230,249,0.002,plus,ENST00000530706.5,MCAM,True,True
12,Pair6_5,ENST00000530706.5,100.0,20,1,20,404,385,0.002,minus,ENST00000530706.5,MCAM,True,True
13,Pair6_3,ENST00000530706.5,100.0,20,1,20,230,249,0.002,plus,ENST00000530706.5,MCAM,True,True
14,Pair7_5,ENST00000530706.5,100.0,20,1,20,404,385,0.002,minus,ENST00000530706.5,MCAM,True,True
15,Pair7_3,ENST00000530706.5,100.0,20,1,20,229,248,0.002,plus,ENST00000530706.5,MCAM,True,True
16,Pair8_5,ENST00000530706.5,100.0,20,1,20,441,422,0.002,minus,ENST00000530706.5,MCAM,True,True
17,Pair8_3,ENST00000530706.5,100.0,20,1,20,230,249,0.002,plus,ENST00000530706.5,MCAM,True,True
18,Pair9_5,ENST00000530706.5,100.0,20,1,20,400,381,0.002,minus,ENST00000530706.5,MCAM,True,True
19,Pair9_3,ENST00000530706.5,100.0,20,1,20,230,249,0.002,plus,ENST00000530706.5,MCAM,True,True
21,Pair10_3,ENST00000530706.5,100.0,20,1,20,359,378,0.002,plus,ENST00000530706.5,MCAM,True,True
22,Pair11_3,ENST00000530706.5,100.0,20,1,20,359,378,0.002,plus,ENST00000530706.5,MCAM,True,True
24,Pair12_3,ENST00000530706.5,100.0,20,1,20,359,378,0.002,plus,ENST00000530706.5,MCAM,True,True
26,Pair13_3,ENST00000530706.5,100.0,20,1,20,359,378,0.002,plus,ENST00000530706.5,MCAM,True,True
28,Pair14_3,ENST00000530706.5,100.0,20,1,20,359,378,0.002,plus,ENST00000530706.5,MCAM,True,True
30,Pair15_3,ENST00000530706.5,100.0,20,1,20,320,339,0.002,plus,ENST00000530706.5,MCAM,True,True
32,Pair16_3,ENST00000530706.5,100.0,20,1,20,319,338,0.002,plus,ENST00000530706.5,MCAM,True,True
33,Pair17_5,ENST00000530706.5,100.0,20,1,20,506,487,0.002,minus,ENST00000530706.5,MCAM,True,True
34,Pair17_3,ENST00000530706.5,100.0,20,1,20,320,339,0.002,plus,ENST00000530706.5,MCAM,True,True
35,Pair18_5,ENST00000530706.5,100.0,20,1,20,506,487,0.002,minus,ENST00000530706.5,MCAM,True,True
36,Pair18_3,ENST00000530706.5,100.0,20,1,20,319,338,0.002,plus,ENST00000530706.5,MCAM,True,True
