,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
2729,Pair21_3,ENST00000454412.6,100.0,16,5,20,8967,8982,0.38,plus,ENST00000454412.6,DNAH9,True,True
2731,Pair23_3,ENST00000454412.6,100.0,16,5,20,8967,8982,0.38,plus,ENST00000454412.6,DNAH9,True,True
2733,Pair21_3,ENST00000262442.9,100.0,16,5,20,8996,9011,0.38,plus,ENST00000262442.9,DNAH9,True,True
2735,Pair23_3,ENST00000262442.9,100.0,16,5,20,8996,9011,0.38,plus,ENST00000262442.9,DNAH9,True,True
2775,Pair22_3,ENST00000480130.5,100.0,16,5,20,54,69,0.38,plus,ENST00000480130.5,GPAM,True,True
2794,Pair24_5,ENST00000374479.4,100.0,16,1,16,1774,1759,0.38,minus,ENST00000374479.4,FUCA1,True,True
2806,Pair24_5,ENST00000561988.5,100.0,16,1,16,36,21,0.38,minus,ENST00000561988.5,ADGRG1,True,True
2808,Pair24_5,ENST00000561872.5,100.0,16,1,16,36,21,0.38,minus,ENST00000561872.5,ADGRG1,True,True
2810,Pair24_5,ENST00000562101.5,100.0,16,1,16,36,21,0.38,minus,ENST00000562101.5,ADGRG1,True,True
2812,Pair24_5,ENST00000566778.5,100.0,16,1,16,37,22,0.38,minus,ENST00000566778.5,ADGRG1,True,True
2814,Pair24_5,ENST00000568909.5,100.0,16,1,16,84,69,0.38,minus,ENST00000568909.5,ADGRG1,True,True
2816,Pair24_5,ENST00000568908.5,100.0,16,1,16,140,125,0.38,minus,ENST00000568908.5,ADGRG1,True,True
2818,Pair24_5,ENST00000302917.1,100.0,16,1,16,235,220,0.38,minus,ENST00000302917.1,TEX13B,True,True
3382,Pair26_5,ENST00000380289.3,100.0,16,1,16,1301,1286,0.38,minus,ENST00000380289.3,GRPR,True,True
3812,Pair32_3,ENST00000640151.1,100.0,17,4,20,372,388,0.097,plus,ENST00000640151.1,GNG14,True,True
3813,Pair37_5,ENST00000640151.1,100.0,17,1,17,388,372,0.097,minus,ENST00000640151.1,GNG14,True,True
3814,Pair41_5,ENST00000640151.1,100.0,17,1,17,388,372,0.097,minus,ENST00000640151.1,GNG14,True,True
3815,Pair32_3,ENST00000276326.9,100.0,16,5,20,1542,1557,0.38,plus,ENST00000276326.9,FBXO25,True,True
3816,Pair37_5,ENST00000276326.9,100.0,16,1,16,1557,1542,0.38,minus,ENST00000276326.9,FBXO25,True,True
3817,Pair41_5,ENST00000276326.9,100.0,16,1,16,1557,1542,0.38,minus,ENST00000276326.9,FBXO25,True,True
3818,Pair32_3,ENST00000350302.8,100.0,16,5,20,1700,1715,0.38,plus,ENST00000350302.8,FBXO25,True,True
3819,Pair37_5,ENST00000350302.8,100.0,16,1,16,1715,1700,0.38,minus,ENST00000350302.8,FBXO25,True,True
3820,Pair41_5,ENST00000350302.8,100.0,16,1,16,1715,1700,0.38,minus,ENST00000350302.8,FBXO25,True,True
