,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000538040.1,100.0,20,1,20,546,527,0.002,minus,ENST00000538040.1,FGF4,True,True
1,Pair1_5,ENST00000538040.1,100.0,20,1,20,546,527,0.002,minus,ENST00000538040.1,FGF4,True,True
2,Pair2_5,ENST00000538040.1,100.0,20,1,20,509,490,0.002,minus,ENST00000538040.1,FGF4,True,True
3,Pair3_5,ENST00000538040.1,100.0,20,1,20,509,490,0.002,minus,ENST00000538040.1,FGF4,True,True
4,Pair4_5,ENST00000538040.1,100.0,20,1,20,548,529,0.002,minus,ENST00000538040.1,FGF4,True,True
5,Pair5_5,ENST00000538040.1,100.0,20,1,20,548,529,0.002,minus,ENST00000538040.1,FGF4,True,True
6,Pair6_5,ENST00000538040.1,100.0,20,1,20,546,527,0.002,minus,ENST00000538040.1,FGF4,True,True
7,Pair7_5,ENST00000538040.1,100.0,20,1,20,557,538,0.002,minus,ENST00000538040.1,FGF4,True,True
8,Pair8_5,ENST00000538040.1,100.0,20,1,20,557,538,0.002,minus,ENST00000538040.1,FGF4,True,True
9,Pair9_5,ENST00000538040.1,100.0,20,1,20,529,510,0.002,minus,ENST00000538040.1,FGF4,True,True
10,Pair10_5,ENST00000538040.1,100.0,20,1,20,529,510,0.002,minus,ENST00000538040.1,FGF4,True,True
11,Pair11_5,ENST00000538040.1,100.0,20,1,20,548,529,0.002,minus,ENST00000538040.1,FGF4,True,True
12,Pair12_5,ENST00000538040.1,100.0,20,1,20,512,493,0.002,minus,ENST00000538040.1,FGF4,True,True
13,Pair13_5,ENST00000538040.1,100.0,20,1,20,512,493,0.002,minus,ENST00000538040.1,FGF4,True,True
14,Pair14_5,ENST00000538040.1,100.0,20,1,20,528,509,0.002,minus,ENST00000538040.1,FGF4,True,True
15,Pair15_5,ENST00000538040.1,100.0,20,1,20,528,509,0.002,minus,ENST00000538040.1,FGF4,True,True
16,Pair16_5,ENST00000538040.1,100.0,20,1,20,508,489,0.002,minus,ENST00000538040.1,FGF4,True,True
17,Pair17_5,ENST00000538040.1,100.0,20,1,20,546,527,0.002,minus,ENST00000538040.1,FGF4,True,True
