,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
630,Pair10_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
631,Pair28_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
632,Pair29_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
633,Pair30_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
637,Pair34_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
2136,Pair14_3,ENST00000509595.2,100.0,20,1,20,54,35,0.002,minus,ENST00000509595.2,FGF7P4,True,True
2137,Pair15_3,ENST00000509595.2,100.0,20,1,20,54,35,0.002,minus,ENST00000509595.2,FGF7P4,True,True
2140,Pair18_3,ENST00000509595.2,100.0,20,1,20,27,8,0.002,minus,ENST00000509595.2,FGF7P4,True,True
2141,Pair20_3,ENST00000509595.2,100.0,20,1,20,58,39,0.002,minus,ENST00000509595.2,FGF7P4,True,True
2142,Pair21_5,ENST00000509595.2,100.0,20,1,20,35,54,0.002,plus,ENST00000509595.2,FGF7P4,True,True
2143,Pair21_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
2145,Pair22_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
2146,Pair23_5,ENST00000509595.2,100.0,20,1,20,8,27,0.002,plus,ENST00000509595.2,FGF7P4,True,True
2147,Pair23_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
2148,Pair24_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
2149,Pair25_5,ENST00000509595.2,100.0,20,1,20,35,54,0.002,plus,ENST00000509595.2,FGF7P4,True,True
2150,Pair25_3,ENST00000509595.2,95.0,20,1,20,205,186,0.38,minus,ENST00000509595.2,FGF7P4,True,True
2151,Pair26_5,ENST00000509595.2,100.0,20,1,20,9,28,0.002,plus,ENST00000509595.2,FGF7P4,True,True
2152,Pair26_3,ENST00000509595.2,95.0,20,1,20,204,185,0.38,minus,ENST00000509595.2,FGF7P4,True,True
2153,Pair27_5,ENST00000509595.2,100.0,20,1,20,35,54,0.002,plus,ENST00000509595.2,FGF7P4,True,True
2154,Pair27_3,ENST00000509595.2,95.0,20,1,20,206,187,0.38,minus,ENST00000509595.2,FGF7P4,True,True
2155,Pair42_3,ENST00000509595.2,100.0,20,1,20,54,35,0.002,minus,ENST00000509595.2,FGF7P4,True,True
2157,Pair45_3,ENST00000509595.2,100.0,20,1,20,58,39,0.002,minus,ENST00000509595.2,FGF7P4,True,True
2159,Pair48_3,ENST00000509595.2,100.0,20,1,20,54,35,0.002,minus,ENST00000509595.2,FGF7P4,True,True
