,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
983,Pair2_5,ENST00000334342.5,100.0,16,5,20,884,899,0.38,plus,ENST00000334342.5,ARMH4,True,True
984,Pair8_5,ENST00000334342.5,100.0,16,5,20,884,899,0.38,plus,ENST00000334342.5,ARMH4,True,True
985,Pair9_5,ENST00000334342.5,100.0,16,5,20,884,899,0.38,plus,ENST00000334342.5,ARMH4,True,True
986,Pair10_5,ENST00000334342.5,100.0,16,5,20,884,899,0.38,plus,ENST00000334342.5,ARMH4,True,True
987,Pair14_5,ENST00000334342.5,100.0,16,5,20,884,899,0.38,plus,ENST00000334342.5,ARMH4,True,True
988,Pair16_5,ENST00000334342.5,100.0,16,5,20,884,899,0.38,plus,ENST00000334342.5,ARMH4,True,True
990,Pair2_5,ENST00000557175.5,100.0,16,5,20,602,617,0.38,plus,ENST00000557175.5,ARMH4,True,True
991,Pair8_5,ENST00000557175.5,100.0,16,5,20,602,617,0.38,plus,ENST00000557175.5,ARMH4,True,True
992,Pair9_5,ENST00000557175.5,100.0,16,5,20,602,617,0.38,plus,ENST00000557175.5,ARMH4,True,True
993,Pair10_5,ENST00000557175.5,100.0,16,5,20,602,617,0.38,plus,ENST00000557175.5,ARMH4,True,True
994,Pair14_5,ENST00000557175.5,100.0,16,5,20,602,617,0.38,plus,ENST00000557175.5,ARMH4,True,True
995,Pair16_5,ENST00000557175.5,100.0,16,5,20,602,617,0.38,plus,ENST00000557175.5,ARMH4,True,True
997,Pair2_5,ENST00000267485.7,100.0,16,5,20,914,929,0.38,plus,ENST00000267485.7,ARMH4,True,True
998,Pair8_5,ENST00000267485.7,100.0,16,5,20,914,929,0.38,plus,ENST00000267485.7,ARMH4,True,True
999,Pair9_5,ENST00000267485.7,100.0,16,5,20,914,929,0.38,plus,ENST00000267485.7,ARMH4,True,True
1000,Pair10_5,ENST00000267485.7,100.0,16,5,20,914,929,0.38,plus,ENST00000267485.7,ARMH4,True,True
1001,Pair14_5,ENST00000267485.7,100.0,16,5,20,914,929,0.38,plus,ENST00000267485.7,ARMH4,True,True
1002,Pair16_5,ENST00000267485.7,100.0,16,5,20,914,929,0.38,plus,ENST00000267485.7,ARMH4,True,True
1011,Pair20_5,ENST00000556123.1,100.0,16,5,20,3600,3615,0.38,plus,ENST00000556123.1,PLEKHD1,True,True
2090,Pair25_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2091,Pair26_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2092,Pair27_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2093,Pair28_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2094,Pair29_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2105,Pair40_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2106,Pair41_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2112,Pair48_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2113,Pair49_5,ENST00000274520.2,100.0,17,4,20,438,454,0.097,plus,ENST00000274520.2,IL9,True,True
2121,Pair32_5,ENST00000698804.1,100.0,16,1,16,2443,2428,0.38,minus,ENST00000698804.1,STAT5B,True,True
2122,Pair33_5,ENST00000698804.1,100.0,16,1,16,2443,2428,0.38,minus,ENST00000698804.1,STAT5B,True,True
2125,Pair36_5,ENST00000698804.1,100.0,16,1,16,2443,2428,0.38,minus,ENST00000698804.1,STAT5B,True,True
2126,Pair37_5,ENST00000698804.1,100.0,16,1,16,2443,2428,0.38,minus,ENST00000698804.1,STAT5B,True,True
2143,Pair32_5,ENST00000497933.3,100.0,16,1,16,989,974,0.38,minus,ENST00000497933.3,LRRC55,True,True
2144,Pair33_5,ENST00000497933.3,100.0,16,1,16,989,974,0.38,minus,ENST00000497933.3,LRRC55,True,True
2147,Pair36_5,ENST00000497933.3,100.0,16,1,16,989,974,0.38,minus,ENST00000497933.3,LRRC55,True,True
2148,Pair37_5,ENST00000497933.3,100.0,16,1,16,989,974,0.38,minus,ENST00000497933.3,LRRC55,True,True
2165,Pair32_5,ENST00000652194.1,100.0,16,1,16,1195,1180,0.38,minus,ENST00000652194.1,LRRC55,True,True
2166,Pair33_5,ENST00000652194.1,100.0,16,1,16,1195,1180,0.38,minus,ENST00000652194.1,LRRC55,True,True
2169,Pair36_5,ENST00000652194.1,100.0,16,1,16,1195,1180,0.38,minus,ENST00000652194.1,LRRC55,True,True
2170,Pair37_5,ENST00000652194.1,100.0,16,1,16,1195,1180,0.38,minus,ENST00000652194.1,LRRC55,True,True
2180,Pair25_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
2181,Pair26_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
2182,Pair27_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
2183,Pair28_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
2184,Pair29_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
2195,Pair40_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
2196,Pair41_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
2202,Pair48_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
2203,Pair49_5,ENST00000534435.1,95.0,20,1,20,508,527,0.38,plus,ENST00000534435.1,SHARPIN,True,True
