,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
400,Pair3_5,ENST00000674368.1,100.0,16,1,16,1214,1199,0.31,minus,ENST00000674368.1,SORD,True,True
401,Pair11_5,ENST00000674368.1,100.0,16,1,16,1214,1199,0.31,minus,ENST00000674368.1,SORD,True,True
503,Pair7_5,ENST00000629385.1,100.0,15,6,20,2151,2165,1.5,plus,ENST00000629385.1,ABCC4,True,True
505,Pair7_5,ENST00000643556.1,100.0,15,6,20,2160,2174,1.5,plus,ENST00000643556.1,ABCC4,True,True
507,Pair7_5,ENST00000536256.3,100.0,15,6,20,1913,1927,1.5,plus,ENST00000536256.3,ABCC4,True,True
509,Pair7_5,ENST00000643816.1,100.0,15,6,20,2302,2316,1.5,plus,ENST00000643816.1,ABCC4,True,True
511,Pair7_5,ENST00000646439.1,100.0,15,6,20,2024,2038,1.5,plus,ENST00000646439.1,ABCC4,True,True
513,Pair7_5,ENST00000643051.1,100.0,15,6,20,2180,2194,1.5,plus,ENST00000643051.1,ABCC4,True,True
515,Pair7_5,ENST00000643842.1,100.0,15,6,20,2322,2336,1.5,plus,ENST00000643842.1,ABCC4,True,True
517,Pair7_5,ENST00000645237.2,100.0,15,6,20,2156,2170,1.5,plus,ENST00000645237.2,ABCC4,True,True
