,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000532239.1,100.0,20,1,20,122,103,0.002,minus,ENST00000532239.1,MTA2,True,True
1,Pair2_5,ENST00000532239.1,100.0,20,1,20,124,105,0.002,minus,ENST00000532239.1,MTA2,True,True
2,Pair3_5,ENST00000532239.1,100.0,20,1,20,122,103,0.002,minus,ENST00000532239.1,MTA2,True,True
3,Pair4_5,ENST00000532239.1,100.0,20,1,20,133,114,0.002,minus,ENST00000532239.1,MTA2,True,True
4,Pair6_5,ENST00000532239.1,100.0,20,1,20,122,103,0.002,minus,ENST00000532239.1,MTA2,True,True
5,Pair8_5,ENST00000532239.1,100.0,20,1,20,124,105,0.002,minus,ENST00000532239.1,MTA2,True,True
6,Pair9_5,ENST00000532239.1,100.0,20,1,20,122,103,0.002,minus,ENST00000532239.1,MTA2,True,True
7,Pair10_5,ENST00000532239.1,100.0,20,1,20,133,114,0.002,minus,ENST00000532239.1,MTA2,True,True
8,Pair12_5,ENST00000532239.1,100.0,20,1,20,212,193,0.002,minus,ENST00000532239.1,MTA2,True,True
9,Pair14_5,ENST00000532239.1,100.0,20,1,20,212,193,0.002,minus,ENST00000532239.1,MTA2,True,True
10,Pair15_5,ENST00000532239.1,100.0,20,1,20,197,178,0.002,minus,ENST00000532239.1,MTA2,True,True
11,Pair16_5,ENST00000532239.1,100.0,20,1,20,212,193,0.002,minus,ENST00000532239.1,MTA2,True,True
12,Pair18_5,ENST00000532239.1,100.0,20,1,20,122,103,0.002,minus,ENST00000532239.1,MTA2,True,True
13,Pair19_5,ENST00000532239.1,100.0,20,1,20,124,105,0.002,minus,ENST00000532239.1,MTA2,True,True
14,Pair20_5,ENST00000532239.1,100.0,20,1,20,122,103,0.002,minus,ENST00000532239.1,MTA2,True,True
15,Pair21_5,ENST00000532239.1,100.0,20,1,20,133,114,0.002,minus,ENST00000532239.1,MTA2,True,True
16,Pair22_5,ENST00000532239.1,100.0,20,1,20,121,102,0.002,minus,ENST00000532239.1,MTA2,True,True
17,Pair23_5,ENST00000532239.1,100.0,20,1,20,123,104,0.002,minus,ENST00000532239.1,MTA2,True,True
18,Pair24_5,ENST00000532239.1,100.0,20,1,20,196,177,0.002,minus,ENST00000532239.1,MTA2,True,True
19,Pair25_5,ENST00000532239.1,100.0,20,1,20,196,177,0.002,minus,ENST00000532239.1,MTA2,True,True
20,Pair25_3,ENST00000532239.1,100.0,20,1,20,114,133,0.002,plus,ENST00000532239.1,MTA2,True,True
21,Pair26_5,ENST00000532239.1,100.0,20,1,20,196,177,0.002,minus,ENST00000532239.1,MTA2,True,True
22,Pair27_5,ENST00000532239.1,100.0,20,1,20,295,276,0.002,minus,ENST00000532239.1,MTA2,True,True
23,Pair27_3,ENST00000532239.1,100.0,20,1,20,165,184,0.002,plus,ENST00000532239.1,MTA2,True,True
24,Pair28_5,ENST00000532239.1,100.0,20,1,20,296,277,0.002,minus,ENST00000532239.1,MTA2,True,True
25,Pair28_3,ENST00000532239.1,100.0,20,1,20,165,184,0.002,plus,ENST00000532239.1,MTA2,True,True
26,Pair29_5,ENST00000532239.1,100.0,20,1,20,196,177,0.002,minus,ENST00000532239.1,MTA2,True,True
27,Pair30_5,ENST00000532239.1,100.0,20,1,20,295,276,0.002,minus,ENST00000532239.1,MTA2,True,True
