,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
799,Pair0_3,ENST00000619901.1,100.0,20,1,20,101,120,0.002,plus,ENST00000619901.1,,True,True
800,Pair1_3,ENST00000619901.1,100.0,20,1,20,101,120,0.002,plus,ENST00000619901.1,,True,True
801,Pair2_3,ENST00000619901.1,100.0,20,1,20,101,120,0.002,plus,ENST00000619901.1,,True,True
802,Pair3_3,ENST00000619901.1,100.0,20,1,20,101,120,0.002,plus,ENST00000619901.1,,True,True
803,Pair4_3,ENST00000619901.1,100.0,20,1,20,101,120,0.002,plus,ENST00000619901.1,,True,True
804,Pair5_3,ENST00000619901.1,100.0,20,1,20,101,120,0.002,plus,ENST00000619901.1,,True,True
805,Pair0_3,ENST00000400783.4,100.0,20,1,20,347,366,0.002,plus,ENST00000400783.4,,True,True
806,Pair1_3,ENST00000400783.4,100.0,20,1,20,347,366,0.002,plus,ENST00000400783.4,,True,True
807,Pair2_3,ENST00000400783.4,100.0,20,1,20,347,366,0.002,plus,ENST00000400783.4,,True,True
808,Pair3_3,ENST00000400783.4,100.0,20,1,20,347,366,0.002,plus,ENST00000400783.4,,True,True
809,Pair4_3,ENST00000400783.4,100.0,20,1,20,347,366,0.002,plus,ENST00000400783.4,,True,True
810,Pair5_3,ENST00000400783.4,100.0,20,1,20,347,366,0.002,plus,ENST00000400783.4,,True,True
811,Pair0_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
813,Pair1_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
814,Pair2_5,ENST00000518311.3,95.0,20,1,20,548,529,0.38,minus,ENST00000518311.3,ASNSP1,True,True
815,Pair2_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
816,Pair3_5,ENST00000518311.3,95.0,20,1,20,547,528,0.38,minus,ENST00000518311.3,ASNSP1,True,True
817,Pair3_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
819,Pair4_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
820,Pair5_5,ENST00000518311.3,95.0,20,1,20,549,530,0.38,minus,ENST00000518311.3,ASNSP1,True,True
821,Pair5_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
822,Pair7_3,ENST00000518311.3,95.0,20,1,20,585,604,0.38,plus,ENST00000518311.3,ASNSP1,True,True
823,Pair8_3,ENST00000518311.3,95.0,20,1,20,584,603,0.38,plus,ENST00000518311.3,ASNSP1,True,True
824,Pair9_3,ENST00000518311.3,95.0,20,1,20,529,548,0.38,plus,ENST00000518311.3,ASNSP1,True,True
825,Pair12_5,ENST00000518311.3,95.0,20,1,20,882,863,0.38,minus,ENST00000518311.3,ASNSP1,True,True
826,Pair12_3,ENST00000518311.3,95.0,20,1,20,755,774,0.38,plus,ENST00000518311.3,ASNSP1,True,True
827,Pair13_5,ENST00000518311.3,100.0,16,1,16,888,873,0.38,minus,ENST00000518311.3,ASNSP1,True,True
828,Pair13_3,ENST00000518311.3,95.0,20,1,20,755,774,0.38,plus,ENST00000518311.3,ASNSP1,True,True
829,Pair14_5,ENST00000518311.3,100.0,16,1,16,888,873,0.38,minus,ENST00000518311.3,ASNSP1,True,True
830,Pair14_3,ENST00000518311.3,95.0,20,1,20,760,779,0.38,plus,ENST00000518311.3,ASNSP1,True,True
831,Pair15_5,ENST00000518311.3,95.0,20,1,20,882,863,0.38,minus,ENST00000518311.3,ASNSP1,True,True
832,Pair15_3,ENST00000518311.3,95.0,20,1,20,754,773,0.38,plus,ENST00000518311.3,ASNSP1,True,True
833,Pair16_5,ENST00000518311.3,100.0,16,1,16,888,873,0.38,minus,ENST00000518311.3,ASNSP1,True,True
834,Pair16_3,ENST00000518311.3,95.0,20,1,20,754,773,0.38,plus,ENST00000518311.3,ASNSP1,True,True
835,Pair17_5,ENST00000518311.3,100.0,17,1,17,889,873,0.097,minus,ENST00000518311.3,ASNSP1,True,True
836,Pair17_3,ENST00000518311.3,95.0,20,1,20,755,774,0.38,plus,ENST00000518311.3,ASNSP1,True,True
837,Pair18_5,ENST00000518311.3,100.0,20,1,20,870,851,0.002,minus,ENST00000518311.3,ASNSP1,True,True
838,Pair19_5,ENST00000518311.3,95.0,20,1,20,878,859,0.38,minus,ENST00000518311.3,ASNSP1,True,True
839,Pair20_5,ENST00000518311.3,95.0,20,1,20,877,858,0.38,minus,ENST00000518311.3,ASNSP1,True,True
840,Pair21_5,ENST00000518311.3,95.0,20,1,20,882,863,0.38,minus,ENST00000518311.3,ASNSP1,True,True
841,Pair22_5,ENST00000518311.3,100.0,16,1,16,888,873,0.38,minus,ENST00000518311.3,ASNSP1,True,True
842,Pair23_5,ENST00000518311.3,100.0,20,1,20,870,851,0.002,minus,ENST00000518311.3,ASNSP1,True,True
843,Pair24_3,ENST00000518311.3,100.0,20,1,20,878,897,0.002,plus,ENST00000518311.3,ASNSP1,True,True
844,Pair25_5,ENST00000518311.3,95.0,20,1,20,965,946,0.38,minus,ENST00000518311.3,ASNSP1,True,True
845,Pair26_5,ENST00000518311.3,95.0,20,1,20,965,946,0.38,minus,ENST00000518311.3,ASNSP1,True,True
847,Pair27_5,ENST00000518311.3,95.0,20,1,20,965,946,0.38,minus,ENST00000518311.3,ASNSP1,True,True
848,Pair28_5,ENST00000518311.3,95.0,20,1,20,965,946,0.38,minus,ENST00000518311.3,ASNSP1,True,True
850,Pair29_5,ENST00000518311.3,95.0,20,1,20,965,946,0.38,minus,ENST00000518311.3,ASNSP1,True,True
851,Pair30_5,ENST00000518311.3,95.0,20,1,20,961,942,0.38,minus,ENST00000518311.3,ASNSP1,True,True
852,Pair31_5,ENST00000518311.3,95.0,20,1,20,1144,1125,0.38,minus,ENST00000518311.3,ASNSP1,True,True
853,Pair31_3,ENST00000518311.3,95.0,20,1,20,939,958,0.38,plus,ENST00000518311.3,ASNSP1,True,True
854,Pair32_5,ENST00000518311.3,95.0,20,1,20,1145,1126,0.38,minus,ENST00000518311.3,ASNSP1,True,True
855,Pair32_3,ENST00000518311.3,95.0,20,1,20,939,958,0.38,plus,ENST00000518311.3,ASNSP1,True,True
856,Pair33_5,ENST00000518311.3,95.0,20,1,20,1144,1125,0.38,minus,ENST00000518311.3,ASNSP1,True,True
857,Pair33_3,ENST00000518311.3,100.0,20,1,20,953,972,0.002,plus,ENST00000518311.3,ASNSP1,True,True
858,Pair34_5,ENST00000518311.3,95.0,20,1,20,1145,1126,0.38,minus,ENST00000518311.3,ASNSP1,True,True
859,Pair34_3,ENST00000518311.3,100.0,20,1,20,953,972,0.002,plus,ENST00000518311.3,ASNSP1,True,True
860,Pair35_5,ENST00000518311.3,95.0,20,1,20,1144,1125,0.38,minus,ENST00000518311.3,ASNSP1,True,True
861,Pair35_3,ENST00000518311.3,95.0,20,1,20,938,957,0.38,plus,ENST00000518311.3,ASNSP1,True,True
862,Pair36_5,ENST00000518311.3,95.0,20,1,20,1145,1126,0.38,minus,ENST00000518311.3,ASNSP1,True,True
863,Pair36_3,ENST00000518311.3,95.0,20,1,20,938,957,0.38,plus,ENST00000518311.3,ASNSP1,True,True
865,Pair37_3,ENST00000518311.3,95.0,20,1,20,1125,1144,0.38,plus,ENST00000518311.3,ASNSP1,True,True
867,Pair38_3,ENST00000518311.3,95.0,20,1,20,1126,1145,0.38,plus,ENST00000518311.3,ASNSP1,True,True
868,Pair39_5,ENST00000518311.3,95.0,20,1,20,1358,1339,0.38,minus,ENST00000518311.3,ASNSP1,True,True
869,Pair39_3,ENST00000518311.3,95.0,20,1,20,1125,1144,0.38,plus,ENST00000518311.3,ASNSP1,True,True
870,Pair40_5,ENST00000518311.3,95.0,20,1,20,1358,1339,0.38,minus,ENST00000518311.3,ASNSP1,True,True
871,Pair40_3,ENST00000518311.3,95.0,20,1,20,1126,1145,0.38,plus,ENST00000518311.3,ASNSP1,True,True
872,Pair41_5,ENST00000518311.3,95.0,20,1,20,1357,1338,0.38,minus,ENST00000518311.3,ASNSP1,True,True
873,Pair41_3,ENST00000518311.3,95.0,20,1,20,1125,1144,0.38,plus,ENST00000518311.3,ASNSP1,True,True
874,Pair42_5,ENST00000518311.3,95.0,20,1,20,1357,1338,0.38,minus,ENST00000518311.3,ASNSP1,True,True
875,Pair42_3,ENST00000518311.3,95.0,20,1,20,1126,1145,0.38,plus,ENST00000518311.3,ASNSP1,True,True
876,Pair43_3,ENST00000518311.3,100.0,20,1,20,1285,1304,0.002,plus,ENST00000518311.3,ASNSP1,True,True
877,Pair44_3,ENST00000518311.3,100.0,20,1,20,1291,1310,0.002,plus,ENST00000518311.3,ASNSP1,True,True
878,Pair45_3,ENST00000518311.3,100.0,20,1,20,1294,1313,0.002,plus,ENST00000518311.3,ASNSP1,True,True
