,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
80,Pair0_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
81,Pair1_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
82,Pair2_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
83,Pair5_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
85,Pair10_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
87,Pair0_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
88,Pair1_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
89,Pair2_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
90,Pair5_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
92,Pair10_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
94,Pair0_5,ENST00000554301.5,100.0,16,1,16,1784,1769,0.38,minus,ENST00000554301.5,PAPLN,True,True
95,Pair1_5,ENST00000554301.5,100.0,16,1,16,1784,1769,0.38,minus,ENST00000554301.5,PAPLN,True,True
96,Pair2_5,ENST00000554301.5,100.0,16,1,16,1784,1769,0.38,minus,ENST00000554301.5,PAPLN,True,True
97,Pair5_5,ENST00000554301.5,100.0,16,1,16,1784,1769,0.38,minus,ENST00000554301.5,PAPLN,True,True
99,Pair10_5,ENST00000554301.5,100.0,16,1,16,1784,1769,0.38,minus,ENST00000554301.5,PAPLN,True,True
101,Pair0_5,ENST00000216658.9,100.0,16,1,16,1640,1625,0.38,minus,ENST00000216658.9,PAPLN,True,True
102,Pair1_5,ENST00000216658.9,100.0,16,1,16,1640,1625,0.38,minus,ENST00000216658.9,PAPLN,True,True
103,Pair2_5,ENST00000216658.9,100.0,16,1,16,1640,1625,0.38,minus,ENST00000216658.9,PAPLN,True,True
104,Pair5_5,ENST00000216658.9,100.0,16,1,16,1640,1625,0.38,minus,ENST00000216658.9,PAPLN,True,True
106,Pair10_5,ENST00000216658.9,100.0,16,1,16,1640,1625,0.38,minus,ENST00000216658.9,PAPLN,True,True
108,Pair0_5,ENST00000555123.5,100.0,16,1,16,1560,1545,0.38,minus,ENST00000555123.5,PAPLN,True,True
109,Pair1_5,ENST00000555123.5,100.0,16,1,16,1560,1545,0.38,minus,ENST00000555123.5,PAPLN,True,True
110,Pair2_5,ENST00000555123.5,100.0,16,1,16,1560,1545,0.38,minus,ENST00000555123.5,PAPLN,True,True
111,Pair5_5,ENST00000555123.5,100.0,16,1,16,1560,1545,0.38,minus,ENST00000555123.5,PAPLN,True,True
113,Pair10_5,ENST00000555123.5,100.0,16,1,16,1560,1545,0.38,minus,ENST00000555123.5,PAPLN,True,True
115,Pair0_5,ENST00000644200.2,100.0,16,1,16,1714,1699,0.38,minus,ENST00000644200.2,PAPLN,True,True
116,Pair1_5,ENST00000644200.2,100.0,16,1,16,1714,1699,0.38,minus,ENST00000644200.2,PAPLN,True,True
117,Pair2_5,ENST00000644200.2,100.0,16,1,16,1714,1699,0.38,minus,ENST00000644200.2,PAPLN,True,True
118,Pair5_5,ENST00000644200.2,100.0,16,1,16,1714,1699,0.38,minus,ENST00000644200.2,PAPLN,True,True
120,Pair10_5,ENST00000644200.2,100.0,16,1,16,1714,1699,0.38,minus,ENST00000644200.2,PAPLN,True,True
122,Pair0_5,ENST00000340738.9,100.0,16,1,16,1642,1627,0.38,minus,ENST00000340738.9,PAPLN,True,True
123,Pair1_5,ENST00000340738.9,100.0,16,1,16,1642,1627,0.38,minus,ENST00000340738.9,PAPLN,True,True
124,Pair2_5,ENST00000340738.9,100.0,16,1,16,1642,1627,0.38,minus,ENST00000340738.9,PAPLN,True,True
125,Pair5_5,ENST00000340738.9,100.0,16,1,16,1642,1627,0.38,minus,ENST00000340738.9,PAPLN,True,True
127,Pair10_5,ENST00000340738.9,100.0,16,1,16,1642,1627,0.38,minus,ENST00000340738.9,PAPLN,True,True
849,Pair4_5,ENST00000492998.5,100.0,16,5,20,619,634,0.38,plus,ENST00000492998.5,CCNL2,True,True
851,Pair8_5,ENST00000492998.5,100.0,16,5,20,619,634,0.38,plus,ENST00000492998.5,CCNL2,True,True
853,Pair4_5,ENST00000488340.5,100.0,16,5,20,1161,1176,0.38,plus,ENST00000488340.5,CCNL2,True,True
855,Pair8_5,ENST00000488340.5,100.0,16,5,20,1161,1176,0.38,plus,ENST00000488340.5,CCNL2,True,True
857,Pair4_5,ENST00000505849.5,100.0,16,5,20,956,971,0.38,plus,ENST00000505849.5,CCNL2,True,True
859,Pair8_5,ENST00000505849.5,100.0,16,5,20,956,971,0.38,plus,ENST00000505849.5,CCNL2,True,True
861,Pair4_5,ENST00000418865.6,100.0,16,5,20,2126,2141,0.38,plus,ENST00000418865.6,CCNL2,True,True
863,Pair8_5,ENST00000418865.6,100.0,16,5,20,2126,2141,0.38,plus,ENST00000418865.6,CCNL2,True,True
865,Pair4_5,ENST00000481223.6,100.0,16,5,20,1854,1869,0.38,plus,ENST00000481223.6,CCNL2,True,True
