,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
94,Pair0_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
95,Pair0_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
96,Pair1_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
97,Pair1_3,NM_001005240,100.0,18,1,18,152,135,0.04,minus,NM_001005240,ENST00000585993,OR4F17,True,True
98,Pair2_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
99,Pair2_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
100,Pair3_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
101,Pair3_3,NM_001005240,100.0,18,1,18,152,135,0.049,minus,NM_001005240,ENST00000585993,OR4F17,True,True
102,Pair4_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
103,Pair4_3,NM_001005240,100.0,17,1,17,151,135,0.2,minus,NM_001005240,ENST00000585993,OR4F17,True,True
104,Pair5_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
105,Pair5_3,NM_001005240,100.0,17,1,17,151,135,0.16,minus,NM_001005240,ENST00000585993,OR4F17,True,True
106,Pair6_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
107,Pair6_3,NM_001005240,100.0,17,1,17,151,135,0.2,minus,NM_001005240,ENST00000585993,OR4F17,True,True
108,Pair7_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
109,Pair7_3,NM_001005240,100.0,17,1,17,151,135,0.16,minus,NM_001005240,ENST00000585993,OR4F17,True,True
110,Pair8_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
111,Pair8_3,NM_001005240,100.0,19,1,19,153,135,0.013,minus,NM_001005240,ENST00000585993,OR4F17,True,True
112,Pair9_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
113,Pair9_3,NM_001005240,100.0,19,1,19,153,135,0.013,minus,NM_001005240,ENST00000585993,OR4F17,True,True
114,Pair10_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
115,Pair10_3,NM_001005240,100.0,19,1,19,153,135,0.015,minus,NM_001005240,ENST00000585993,OR4F17,True,True
116,Pair11_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
117,Pair11_3,NM_001005240,100.0,20,1,20,154,135,0.004,minus,NM_001005240,ENST00000585993,OR4F17,True,True
118,Pair12_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
119,Pair12_3,NM_001005240,100.0,19,1,19,153,135,0.015,minus,NM_001005240,ENST00000585993,OR4F17,True,True
120,Pair13_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
121,Pair13_3,NM_001005240,100.0,20,1,20,154,135,0.004,minus,NM_001005240,ENST00000585993,OR4F17,True,True
122,Pair14_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
123,Pair14_3,NM_001005240,100.0,18,1,18,152,135,0.059,minus,NM_001005240,ENST00000585993,OR4F17,True,True
124,Pair15_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
125,Pair15_3,NM_001005240,100.0,21,1,21,155,135,0.001,minus,NM_001005240,ENST00000585993,OR4F17,True,True
126,Pair16_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
128,Pair17_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
129,Pair17_3,NM_001005240,100.0,17,1,17,151,135,0.23,minus,NM_001005240,ENST00000585993,OR4F17,True,True
130,Pair18_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
131,Pair18_3,NM_001005240,100.0,18,1,18,152,135,0.059,minus,NM_001005240,ENST00000585993,OR4F17,True,True
132,Pair19_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
133,Pair19_3,NM_001005240,100.0,21,1,21,155,135,0.001,minus,NM_001005240,ENST00000585993,OR4F17,True,True
134,Pair20_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
136,Pair21_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
137,Pair21_3,NM_001005240,100.0,17,1,17,151,135,0.23,minus,NM_001005240,ENST00000585993,OR4F17,True,True
138,Pair22_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
139,Pair22_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
140,Pair23_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
141,Pair23_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
142,Pair24_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
143,Pair24_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
144,Pair25_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
145,Pair25_3,NM_001005240,100.0,20,1,20,162,143,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
146,Pair26_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
147,Pair26_3,NM_001005240,100.0,20,1,20,340,321,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
148,Pair27_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
149,Pair27_3,NM_001005240,95.0,20,1,20,249,230,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
150,Pair28_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
151,Pair28_3,NM_001005240,95.0,20,1,20,250,231,0.62,minus,NM_001005240,ENST00000585993,OR4F17,True,True
152,Pair29_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
153,Pair29_3,NM_001005240,100.0,20,1,20,161,142,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
154,Pair30_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
155,Pair30_3,NM_001005240,100.0,21,1,21,163,143,0.000801,minus,NM_001005240,ENST00000585993,OR4F17,True,True
156,Pair31_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
157,Pair31_3,NM_001005240,100.0,20,1,20,161,142,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
158,Pair32_5,NM_001005240,100.0,22,1,22,7,28,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
159,Pair32_3,NM_001005240,100.0,20,1,20,339,320,0.003,minus,NM_001005240,ENST00000585993,OR4F17,True,True
160,Pair33_5,NM_001005240,100.0,22,1,22,8,29,0.000243,plus,NM_001005240,ENST00000585993,OR4F17,True,True
161,Pair33_3,NM_001005240,100.0,21,1,21,163,143,0.000801,minus,NM_001005240,ENST00000585993,OR4F17,True,True
