,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
139,Pair0_5,ENST00000600277.5,100.0,16,5,20,134,149,0.38,plus,ENST00000600277.5,SLC27A1,True,True
140,Pair1_5,ENST00000600277.5,100.0,16,5,20,134,149,0.38,plus,ENST00000600277.5,SLC27A1,True,True
141,Pair2_5,ENST00000600277.5,100.0,16,5,20,134,149,0.38,plus,ENST00000600277.5,SLC27A1,True,True
309,Pair0_3,ENST00000457861.1,100.0,16,1,16,1765,1750,0.38,minus,ENST00000457861.1,SUN1,True,True
312,Pair0_3,ENST00000464468.1,100.0,16,1,16,160,145,0.38,minus,ENST00000464468.1,GET4,True,True
315,Pair0_3,ENST00000407192.5,100.0,16,1,16,3145,3130,0.38,minus,ENST00000407192.5,GET4,True,True
318,Pair0_3,ENST00000265857.8,100.0,16,1,16,879,864,0.38,minus,ENST00000265857.8,GET4,True,True
903,Pair5_3,ENST00000603270.1,100.0,16,5,20,256,271,0.38,plus,ENST00000603270.1,SPCS2P2,True,True
910,Pair12_3,ENST00000603270.1,100.0,16,5,20,256,271,0.38,plus,ENST00000603270.1,SPCS2P2,True,True
916,Pair35_3,ENST00000603270.1,100.0,16,5,20,256,271,0.38,plus,ENST00000603270.1,SPCS2P2,True,True
923,Pair42_3,ENST00000603270.1,100.0,16,5,20,256,271,0.38,plus,ENST00000603270.1,SPCS2P2,True,True
