,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
3229,Pair21_3,ENST00000380289.3,100.0,16,5,20,1286,1301,0.38,plus,ENST00000380289.3,GRPR,True,True
3230,Pair32_5,ENST00000380289.3,100.0,16,1,16,1301,1286,0.38,minus,ENST00000380289.3,GRPR,True,True
3298,Pair22_3,ENST00000374479.4,100.0,16,5,20,1759,1774,0.38,plus,ENST00000374479.4,FUCA1,True,True
3300,Pair30_5,ENST00000374479.4,100.0,16,1,16,1774,1759,0.38,minus,ENST00000374479.4,FUCA1,True,True
3322,Pair22_3,ENST00000561988.5,100.0,16,5,20,21,36,0.38,plus,ENST00000561988.5,ADGRG1,True,True
3324,Pair30_5,ENST00000561988.5,100.0,16,1,16,36,21,0.38,minus,ENST00000561988.5,ADGRG1,True,True
3326,Pair22_3,ENST00000561872.5,100.0,16,5,20,21,36,0.38,plus,ENST00000561872.5,ADGRG1,True,True
3328,Pair30_5,ENST00000561872.5,100.0,16,1,16,36,21,0.38,minus,ENST00000561872.5,ADGRG1,True,True
3330,Pair22_3,ENST00000562101.5,100.0,16,5,20,21,36,0.38,plus,ENST00000562101.5,ADGRG1,True,True
3332,Pair30_5,ENST00000562101.5,100.0,16,1,16,36,21,0.38,minus,ENST00000562101.5,ADGRG1,True,True
3334,Pair22_3,ENST00000566778.5,100.0,16,5,20,22,37,0.38,plus,ENST00000566778.5,ADGRG1,True,True
3336,Pair30_5,ENST00000566778.5,100.0,16,1,16,37,22,0.38,minus,ENST00000566778.5,ADGRG1,True,True
3338,Pair22_3,ENST00000568909.5,100.0,16,5,20,69,84,0.38,plus,ENST00000568909.5,ADGRG1,True,True
3340,Pair30_5,ENST00000568909.5,100.0,16,1,16,84,69,0.38,minus,ENST00000568909.5,ADGRG1,True,True
3342,Pair22_3,ENST00000568908.5,100.0,16,5,20,125,140,0.38,plus,ENST00000568908.5,ADGRG1,True,True
3344,Pair30_5,ENST00000568908.5,100.0,16,1,16,140,125,0.38,minus,ENST00000568908.5,ADGRG1,True,True
3346,Pair22_3,ENST00000302917.1,100.0,16,5,20,220,235,0.38,plus,ENST00000302917.1,TEX13B,True,True
3348,Pair30_5,ENST00000302917.1,100.0,16,1,16,235,220,0.38,minus,ENST00000302917.1,TEX13B,True,True
4312,Pair27_3,ENST00000454412.6,100.0,16,5,20,8967,8982,0.38,plus,ENST00000454412.6,DNAH9,True,True
4314,Pair29_3,ENST00000454412.6,100.0,16,5,20,8967,8982,0.38,plus,ENST00000454412.6,DNAH9,True,True
4315,Pair33_5,ENST00000454412.6,100.0,16,1,16,8982,8967,0.38,minus,ENST00000454412.6,DNAH9,True,True
4316,Pair34_5,ENST00000454412.6,100.0,16,1,16,8982,8967,0.38,minus,ENST00000454412.6,DNAH9,True,True
4317,Pair35_5,ENST00000454412.6,100.0,16,1,16,8982,8967,0.38,minus,ENST00000454412.6,DNAH9,True,True
4319,Pair27_3,ENST00000262442.9,100.0,16,5,20,8996,9011,0.38,plus,ENST00000262442.9,DNAH9,True,True
4321,Pair29_3,ENST00000262442.9,100.0,16,5,20,8996,9011,0.38,plus,ENST00000262442.9,DNAH9,True,True
4322,Pair33_5,ENST00000262442.9,100.0,16,1,16,9011,8996,0.38,minus,ENST00000262442.9,DNAH9,True,True
4323,Pair34_5,ENST00000262442.9,100.0,16,1,16,9011,8996,0.38,minus,ENST00000262442.9,DNAH9,True,True
4324,Pair35_5,ENST00000262442.9,100.0,16,1,16,9011,8996,0.38,minus,ENST00000262442.9,DNAH9,True,True
4403,Pair28_3,ENST00000480130.5,100.0,16,5,20,54,69,0.38,plus,ENST00000480130.5,GPAM,True,True
4861,Pair39_5,ENST00000490884.1,100.0,24,1,24,35,58,1.03e-05,plus,ENST00000490884.1,CLCA2,True,True
4862,Pair39_3,ENST00000490884.1,100.0,20,1,20,240,221,0.002,minus,ENST00000490884.1,CLCA2,True,True
4863,Pair40_5,ENST00000490884.1,100.0,24,1,24,35,58,1.03e-05,plus,ENST00000490884.1,CLCA2,True,True
4864,Pair40_3,ENST00000490884.1,100.0,20,1,20,237,218,0.002,minus,ENST00000490884.1,CLCA2,True,True
4865,Pair41_5,ENST00000490884.1,100.0,24,1,24,35,58,1.03e-05,plus,ENST00000490884.1,CLCA2,True,True
4866,Pair41_3,ENST00000490884.1,100.0,20,1,20,239,220,0.002,minus,ENST00000490884.1,CLCA2,True,True
4867,Pair42_3,ENST00000490884.1,100.0,20,1,20,240,221,0.002,minus,ENST00000490884.1,CLCA2,True,True
4868,Pair43_5,ENST00000490884.1,100.0,20,1,20,2,21,0.002,plus,ENST00000490884.1,CLCA2,True,True
4869,Pair43_3,ENST00000490884.1,100.0,20,1,20,240,221,0.002,minus,ENST00000490884.1,CLCA2,True,True
4870,Pair44_5,ENST00000490884.1,100.0,20,1,20,5,24,0.002,plus,ENST00000490884.1,CLCA2,True,True
4871,Pair44_3,ENST00000490884.1,100.0,20,1,20,240,221,0.002,minus,ENST00000490884.1,CLCA2,True,True
4872,Pair45_5,ENST00000490884.1,100.0,22,1,22,137,158,0.000121,plus,ENST00000490884.1,CLCA2,True,True
4874,Pair46_5,ENST00000490884.1,100.0,22,1,22,137,158,0.000121,plus,ENST00000490884.1,CLCA2,True,True
4876,Pair47_3,ENST00000490884.1,100.0,22,1,22,170,149,0.000121,minus,ENST00000490884.1,CLCA2,True,True
4877,Pair48_3,ENST00000490884.1,100.0,20,1,20,240,221,0.002,minus,ENST00000490884.1,CLCA2,True,True
4878,Pair49_5,ENST00000490884.1,100.0,20,1,20,2,21,0.002,plus,ENST00000490884.1,CLCA2,True,True
4879,Pair49_3,ENST00000490884.1,100.0,20,1,20,240,221,0.002,minus,ENST00000490884.1,CLCA2,True,True
4880,Pair50_5,ENST00000490884.1,100.0,20,1,20,5,24,0.002,plus,ENST00000490884.1,CLCA2,True,True
4881,Pair50_3,ENST00000490884.1,100.0,20,1,20,240,221,0.002,minus,ENST00000490884.1,CLCA2,True,True
4885,Pair54_5,ENST00000490884.1,100.0,20,1,20,223,242,0.002,plus,ENST00000490884.1,CLCA2,True,True
4886,Pair55_5,ENST00000490884.1,100.0,20,1,20,223,242,0.002,plus,ENST00000490884.1,CLCA2,True,True
4887,Pair56_5,ENST00000490884.1,100.0,20,1,20,223,242,0.002,plus,ENST00000490884.1,CLCA2,True,True
5051,Pair42_5,ENST00000640151.1,100.0,17,1,17,388,372,0.097,minus,ENST00000640151.1,GNG14,True,True
5052,Pair48_5,ENST00000640151.1,100.0,17,1,17,388,372,0.097,minus,ENST00000640151.1,GNG14,True,True
5053,Pair42_5,ENST00000276326.9,100.0,16,1,16,1557,1542,0.38,minus,ENST00000276326.9,FBXO25,True,True
5054,Pair48_5,ENST00000276326.9,100.0,16,1,16,1557,1542,0.38,minus,ENST00000276326.9,FBXO25,True,True
5055,Pair42_5,ENST00000350302.8,100.0,16,1,16,1715,1700,0.38,minus,ENST00000350302.8,FBXO25,True,True
5056,Pair48_5,ENST00000350302.8,100.0,16,1,16,1715,1700,0.38,minus,ENST00000350302.8,FBXO25,True,True
5057,Pair42_5,ENST00000382824.5,100.0,16,1,16,1745,1730,0.38,minus,ENST00000382824.5,FBXO25,True,True
5058,Pair48_5,ENST00000382824.5,100.0,16,1,16,1745,1730,0.38,minus,ENST00000382824.5,FBXO25,True,True
5059,Pair42_5,ENST00000352684.2,100.0,16,1,16,1815,1800,0.38,minus,ENST00000352684.2,FBXO25,True,True
5060,Pair48_5,ENST00000352684.2,100.0,16,1,16,1815,1800,0.38,minus,ENST00000352684.2,FBXO25,True,True
5480,Pair46_3,ENST00000649734.1,100.0,16,1,16,514,499,0.38,minus,ENST00000649734.1,TMEM87B,True,True
5485,Pair46_3,ENST00000452614.6,100.0,16,1,16,1565,1550,0.38,minus,ENST00000452614.6,TMEM87B,True,True
5490,Pair46_3,ENST00000650799.2,100.0,16,1,16,1824,1809,0.38,minus,ENST00000650799.2,TMEM87B,True,True
5495,Pair46_3,ENST00000283206.9,100.0,16,1,16,1830,1815,0.38,minus,ENST00000283206.9,TMEM87B,True,True
5862,Pair52_3,ENST00000263980.8,95.0,20,1,20,3597,3616,0.38,plus,ENST00000263980.8,SLC9A1,True,True
5864,Pair52_3,ENST00000374089.5,95.0,20,1,20,2031,2050,0.38,plus,ENST00000374089.5,SLC9A1,True,True
5990,Pair55_3,ENST00000509600.2,100.0,17,1,17,1072,1056,0.097,minus,ENST00000509600.2,WDR1,True,True
6209,Pair57_3,ENST00000498802.1,100.0,20,1,20,471,452,0.002,minus,ENST00000498802.1,CLCA2,True,True
6210,Pair58_3,ENST00000498802.1,100.0,20,1,20,506,487,0.002,minus,ENST00000498802.1,CLCA2,True,True
6211,Pair59_3,ENST00000498802.1,100.0,20,1,20,508,489,0.002,minus,ENST00000498802.1,CLCA2,True,True
