,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
710,Pair0_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
711,Pair1_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
712,Pair2_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
713,Pair3_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
714,Pair4_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
715,Pair5_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
716,Pair6_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
717,Pair7_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
718,Pair8_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
719,Pair9_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
720,Pair10_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
721,Pair11_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
722,Pair12_3,ENST00000614259.2,100.0,20,1,20,65,46,0.002,minus,ENST00000614259.2,BRCA2,True,True
723,Pair13_3,ENST00000614259.2,100.0,21,1,21,28,8,0.000398,minus,ENST00000614259.2,BRCA2,True,True
724,Pair14_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
725,Pair15_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
726,Pair16_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
727,Pair17_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
728,Pair18_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
729,Pair19_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
730,Pair20_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
731,Pair21_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
732,Pair22_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
733,Pair23_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
734,Pair24_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
735,Pair25_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
736,Pair26_3,ENST00000614259.2,100.0,19,1,19,65,47,0.005,minus,ENST00000614259.2,BRCA2,True,True
737,Pair27_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
738,Pair28_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
739,Pair29_3,ENST00000614259.2,100.0,20,1,20,65,46,0.002,minus,ENST00000614259.2,BRCA2,True,True
740,Pair30_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
741,Pair31_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
742,Pair32_3,ENST00000614259.2,100.0,21,1,21,28,8,0.000398,minus,ENST00000614259.2,BRCA2,True,True
743,Pair33_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
744,Pair34_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
745,Pair35_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
746,Pair36_3,ENST00000614259.2,100.0,20,1,20,29,10,0.002,minus,ENST00000614259.2,BRCA2,True,True
747,Pair37_3,ENST00000614259.2,100.0,20,1,20,65,46,0.002,minus,ENST00000614259.2,BRCA2,True,True
748,Pair38_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
749,Pair39_3,ENST00000614259.2,100.0,21,1,21,125,105,0.000398,minus,ENST00000614259.2,BRCA2,True,True
750,Pair40_3,ENST00000614259.2,100.0,21,1,21,28,8,0.000398,minus,ENST00000614259.2,BRCA2,True,True
751,Pair41_3,ENST00000614259.2,100.0,19,1,19,66,48,0.005,minus,ENST00000614259.2,BRCA2,True,True
752,Pair42_3,ENST00000614259.2,100.0,20,1,20,30,11,0.002,minus,ENST00000614259.2,BRCA2,True,True
753,Pair43_3,ENST00000614259.2,100.0,21,1,21,29,9,0.000398,minus,ENST00000614259.2,BRCA2,True,True
754,Pair44_3,ENST00000614259.2,100.0,21,1,21,30,10,0.000398,minus,ENST00000614259.2,BRCA2,True,True
755,Pair45_3,ENST00000614259.2,100.0,21,1,21,65,45,0.000398,minus,ENST00000614259.2,BRCA2,True,True
756,Pair46_3,ENST00000614259.2,100.0,21,1,21,31,11,0.000398,minus,ENST00000614259.2,BRCA2,True,True
757,Pair47_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
758,Pair48_3,ENST00000614259.2,100.0,21,1,21,27,7,0.000398,minus,ENST00000614259.2,BRCA2,True,True
759,Pair49_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
760,Pair50_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
761,Pair51_3,ENST00000614259.2,100.0,20,1,20,28,9,0.002,minus,ENST00000614259.2,BRCA2,True,True
762,Pair52_3,ENST00000614259.2,100.0,20,1,20,27,8,0.002,minus,ENST00000614259.2,BRCA2,True,True
