,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1056,Pair0_5,ENST00000557707.1,100.0,16,1,16,43,28,0.38,minus,ENST00000557707.1,BCAR1P2,True,True
1058,Pair2_5,ENST00000557707.1,100.0,16,1,16,43,28,0.38,minus,ENST00000557707.1,BCAR1P2,True,True
1059,Pair3_5,ENST00000557707.1,100.0,19,1,19,46,28,0.006,minus,ENST00000557707.1,BCAR1P2,True,True
1060,Pair4_5,ENST00000557707.1,100.0,16,1,16,43,28,0.38,minus,ENST00000557707.1,BCAR1P2,True,True
1210,Pair0_3,ENST00000518311.3,100.0,23,1,23,471,493,3.57e-05,plus,ENST00000518311.3,ASNSP1,True,True
1211,Pair1_3,ENST00000518311.3,100.0,23,1,23,471,493,3.57e-05,plus,ENST00000518311.3,ASNSP1,True,True
1212,Pair2_3,ENST00000518311.3,100.0,24,1,24,471,494,1.03e-05,plus,ENST00000518311.3,ASNSP1,True,True
1213,Pair3_3,ENST00000518311.3,100.0,23,1,23,471,493,3.57e-05,plus,ENST00000518311.3,ASNSP1,True,True
1214,Pair4_3,ENST00000518311.3,100.0,24,1,24,470,493,1.03e-05,plus,ENST00000518311.3,ASNSP1,True,True
1215,Pair5_3,ENST00000518311.3,100.0,24,1,24,471,494,1.03e-05,plus,ENST00000518311.3,ASNSP1,True,True
1216,Pair6_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
1217,Pair7_5,ENST00000518311.3,95.0,20,1,20,548,529,0.38,minus,ENST00000518311.3,ASNSP1,True,True
1218,Pair7_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
1219,Pair8_5,ENST00000518311.3,95.0,20,1,20,547,528,0.38,minus,ENST00000518311.3,ASNSP1,True,True
1220,Pair8_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
1222,Pair10_3,ENST00000518311.3,100.0,20,2,21,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
1223,Pair11_5,ENST00000518311.3,95.0,20,1,20,549,530,0.38,minus,ENST00000518311.3,ASNSP1,True,True
1224,Pair11_3,ENST00000518311.3,100.0,20,1,20,345,364,0.002,plus,ENST00000518311.3,ASNSP1,True,True
1225,Pair12_5,ENST00000518311.3,100.0,24,1,24,679,656,1.03e-05,minus,ENST00000518311.3,ASNSP1,True,True
1226,Pair13_5,ENST00000518311.3,100.0,24,1,24,681,658,1.03e-05,minus,ENST00000518311.3,ASNSP1,True,True
1227,Pair14_5,ENST00000518311.3,96.0,25,1,25,692,668,0.000717,minus,ENST00000518311.3,ASNSP1,True,True
1228,Pair15_5,ENST00000518311.3,96.0,25,1,25,693,669,0.000717,minus,ENST00000518311.3,ASNSP1,True,True
1229,Pair16_5,ENST00000518311.3,100.0,24,1,24,680,657,1.03e-05,minus,ENST00000518311.3,ASNSP1,True,True
1230,Pair17_5,ENST00000518311.3,100.0,24,1,24,679,656,1.03e-05,minus,ENST00000518311.3,ASNSP1,True,True
1232,Pair18_3,ENST00000518311.3,95.0,20,1,20,585,604,0.38,plus,ENST00000518311.3,ASNSP1,True,True
1233,Pair19_3,ENST00000518311.3,95.0,20,1,20,584,603,0.38,plus,ENST00000518311.3,ASNSP1,True,True
1234,Pair20_3,ENST00000518311.3,95.0,20,1,20,529,548,0.38,plus,ENST00000518311.3,ASNSP1,True,True
1235,Pair21_3,ENST00000518311.3,95.0,20,1,20,528,547,0.38,plus,ENST00000518311.3,ASNSP1,True,True
