,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
598,Pair5_5,ENST00000564374.5,100.0,15,1,15,3692,3678,0.91,minus,ENST00000564374.5,RPGRIP1L,True,True
600,Pair7_5,ENST00000564374.5,100.0,15,1,15,3692,3678,0.91,minus,ENST00000564374.5,RPGRIP1L,True,True
602,Pair15_5,ENST00000564374.5,100.0,15,1,15,3692,3678,0.91,minus,ENST00000564374.5,RPGRIP1L,True,True
604,Pair37_5,ENST00000564374.5,100.0,15,1,15,3692,3678,0.91,minus,ENST00000564374.5,RPGRIP1L,True,True
606,Pair5_5,ENST00000563746.5,100.0,15,1,15,3686,3672,0.91,minus,ENST00000563746.5,RPGRIP1L,True,True
608,Pair7_5,ENST00000563746.5,100.0,15,1,15,3686,3672,0.91,minus,ENST00000563746.5,RPGRIP1L,True,True
610,Pair15_5,ENST00000563746.5,100.0,15,1,15,3686,3672,0.91,minus,ENST00000563746.5,RPGRIP1L,True,True
612,Pair37_5,ENST00000563746.5,100.0,15,1,15,3686,3672,0.91,minus,ENST00000563746.5,RPGRIP1L,True,True
614,Pair5_5,ENST00000621565.5,100.0,15,1,15,3644,3630,0.91,minus,ENST00000621565.5,RPGRIP1L,True,True
616,Pair7_5,ENST00000621565.5,100.0,15,1,15,3644,3630,0.91,minus,ENST00000621565.5,RPGRIP1L,True,True
618,Pair15_5,ENST00000621565.5,100.0,15,1,15,3644,3630,0.91,minus,ENST00000621565.5,RPGRIP1L,True,True
620,Pair37_5,ENST00000621565.5,100.0,15,1,15,3644,3630,0.91,minus,ENST00000621565.5,RPGRIP1L,True,True
622,Pair5_5,ENST00000680193.1,100.0,15,1,15,3869,3855,0.91,minus,ENST00000680193.1,RPGRIP1L,True,True
624,Pair7_5,ENST00000680193.1,100.0,15,1,15,3869,3855,0.91,minus,ENST00000680193.1,RPGRIP1L,True,True
626,Pair15_5,ENST00000680193.1,100.0,15,1,15,3869,3855,0.91,minus,ENST00000680193.1,RPGRIP1L,True,True
628,Pair37_5,ENST00000680193.1,100.0,15,1,15,3869,3855,0.91,minus,ENST00000680193.1,RPGRIP1L,True,True
630,Pair5_5,ENST00000565343.2,100.0,15,1,15,4160,4146,0.91,minus,ENST00000565343.2,RPGRIP1L,True,True
632,Pair7_5,ENST00000565343.2,100.0,15,1,15,4160,4146,0.91,minus,ENST00000565343.2,RPGRIP1L,True,True
634,Pair15_5,ENST00000565343.2,100.0,15,1,15,4160,4146,0.91,minus,ENST00000565343.2,RPGRIP1L,True,True
636,Pair37_5,ENST00000565343.2,100.0,15,1,15,4160,4146,0.91,minus,ENST00000565343.2,RPGRIP1L,True,True
638,Pair5_5,ENST00000681587.1,100.0,15,1,15,1508,1494,0.91,minus,ENST00000681587.1,RPGRIP1L,True,True
640,Pair7_5,ENST00000681587.1,100.0,15,1,15,1508,1494,0.91,minus,ENST00000681587.1,RPGRIP1L,True,True
642,Pair15_5,ENST00000681587.1,100.0,15,1,15,1508,1494,0.91,minus,ENST00000681587.1,RPGRIP1L,True,True
644,Pair37_5,ENST00000681587.1,100.0,15,1,15,1508,1494,0.91,minus,ENST00000681587.1,RPGRIP1L,True,True
646,Pair5_5,ENST00000262135.9,100.0,15,1,15,3590,3576,0.91,minus,ENST00000262135.9,RPGRIP1L,True,True
648,Pair7_5,ENST00000262135.9,100.0,15,1,15,3590,3576,0.91,minus,ENST00000262135.9,RPGRIP1L,True,True
650,Pair15_5,ENST00000262135.9,100.0,15,1,15,3590,3576,0.91,minus,ENST00000262135.9,RPGRIP1L,True,True
652,Pair37_5,ENST00000262135.9,100.0,15,1,15,3590,3576,0.91,minus,ENST00000262135.9,RPGRIP1L,True,True
654,Pair5_5,ENST00000647211.2,100.0,15,1,15,3800,3786,0.91,minus,ENST00000647211.2,RPGRIP1L,True,True
656,Pair7_5,ENST00000647211.2,100.0,15,1,15,3800,3786,0.91,minus,ENST00000647211.2,RPGRIP1L,True,True
658,Pair15_5,ENST00000647211.2,100.0,15,1,15,3800,3786,0.91,minus,ENST00000647211.2,RPGRIP1L,True,True
660,Pair37_5,ENST00000647211.2,100.0,15,1,15,3800,3786,0.91,minus,ENST00000647211.2,RPGRIP1L,True,True
694,Pair5_5,ENST00000333677.7,100.0,15,1,15,1425,1411,0.91,minus,ENST00000333677.7,ARHGEF37,True,True
696,Pair7_5,ENST00000333677.7,100.0,15,1,15,1425,1411,0.91,minus,ENST00000333677.7,ARHGEF37,True,True
698,Pair15_5,ENST00000333677.7,100.0,15,1,15,1425,1411,0.91,minus,ENST00000333677.7,ARHGEF37,True,True
702,Pair37_5,ENST00000333677.7,100.0,15,1,15,1425,1411,0.91,minus,ENST00000333677.7,ARHGEF37,True,True
762,Pair8_5,ENST00000323469.5,100.0,16,1,16,1692,1677,0.23,minus,ENST00000323469.5,DIRAS1,True,True
763,Pair9_5,ENST00000323469.5,100.0,16,1,16,1692,1677,0.23,minus,ENST00000323469.5,DIRAS1,True,True
766,Pair20_5,ENST00000323469.5,100.0,16,1,16,1692,1677,0.23,minus,ENST00000323469.5,DIRAS1,True,True
768,Pair22_5,ENST00000323469.5,100.0,17,1,17,1693,1677,0.058,minus,ENST00000323469.5,DIRAS1,True,True
769,Pair23_5,ENST00000323469.5,100.0,17,1,17,1693,1677,0.058,minus,ENST00000323469.5,DIRAS1,True,True
770,Pair42_5,ENST00000323469.5,100.0,16,1,16,1692,1677,0.23,minus,ENST00000323469.5,DIRAS1,True,True
772,Pair8_5,ENST00000331113.9,100.0,16,3,18,1377,1392,0.23,plus,ENST00000331113.9,KCND2,True,True
773,Pair9_5,ENST00000331113.9,100.0,16,3,18,1377,1392,0.23,plus,ENST00000331113.9,KCND2,True,True
776,Pair20_5,ENST00000331113.9,100.0,16,3,18,1377,1392,0.23,plus,ENST00000331113.9,KCND2,True,True
778,Pair22_5,ENST00000331113.9,100.0,15,4,18,1377,1391,0.91,plus,ENST00000331113.9,KCND2,True,True
779,Pair23_5,ENST00000331113.9,100.0,15,4,18,1377,1391,0.91,plus,ENST00000331113.9,KCND2,True,True
780,Pair42_5,ENST00000331113.9,100.0,16,3,18,1377,1392,0.23,plus,ENST00000331113.9,KCND2,True,True
782,Pair8_5,ENST00000556812.5,100.0,16,3,18,310,325,0.23,plus,ENST00000556812.5,C14orf93,True,True
783,Pair9_5,ENST00000556812.5,100.0,16,3,18,310,325,0.23,plus,ENST00000556812.5,C14orf93,True,True
786,Pair20_5,ENST00000556812.5,100.0,16,3,18,310,325,0.23,plus,ENST00000556812.5,C14orf93,True,True
788,Pair22_5,ENST00000556812.5,100.0,15,4,18,310,324,0.91,plus,ENST00000556812.5,C14orf93,True,True
789,Pair23_5,ENST00000556812.5,100.0,15,4,18,310,324,0.91,plus,ENST00000556812.5,C14orf93,True,True
790,Pair42_5,ENST00000556812.5,100.0,16,3,18,310,325,0.23,plus,ENST00000556812.5,C14orf93,True,True
792,Pair8_5,ENST00000555575.5,100.0,16,3,18,531,546,0.23,plus,ENST00000555575.5,C14orf93,True,True
793,Pair9_5,ENST00000555575.5,100.0,16,3,18,531,546,0.23,plus,ENST00000555575.5,C14orf93,True,True
796,Pair20_5,ENST00000555575.5,100.0,16,3,18,531,546,0.23,plus,ENST00000555575.5,C14orf93,True,True
798,Pair22_5,ENST00000555575.5,100.0,15,4,18,531,545,0.91,plus,ENST00000555575.5,C14orf93,True,True
799,Pair23_5,ENST00000555575.5,100.0,15,4,18,531,545,0.91,plus,ENST00000555575.5,C14orf93,True,True
800,Pair42_5,ENST00000555575.5,100.0,16,3,18,531,546,0.23,plus,ENST00000555575.5,C14orf93,True,True
802,Pair8_5,ENST00000553931.5,100.0,16,3,18,458,473,0.23,plus,ENST00000553931.5,C14orf93,True,True
803,Pair9_5,ENST00000553931.5,100.0,16,3,18,458,473,0.23,plus,ENST00000553931.5,C14orf93,True,True
806,Pair20_5,ENST00000553931.5,100.0,16,3,18,458,473,0.23,plus,ENST00000553931.5,C14orf93,True,True
808,Pair22_5,ENST00000553931.5,100.0,15,4,18,458,472,0.91,plus,ENST00000553931.5,C14orf93,True,True
809,Pair23_5,ENST00000553931.5,100.0,15,4,18,458,472,0.91,plus,ENST00000553931.5,C14orf93,True,True
810,Pair42_5,ENST00000553931.5,100.0,16,3,18,458,473,0.23,plus,ENST00000553931.5,C14orf93,True,True
812,Pair8_5,ENST00000553675.5,100.0,16,3,18,537,552,0.23,plus,ENST00000553675.5,C14orf93,True,True
813,Pair9_5,ENST00000553675.5,100.0,16,3,18,537,552,0.23,plus,ENST00000553675.5,C14orf93,True,True
816,Pair20_5,ENST00000553675.5,100.0,16,3,18,537,552,0.23,plus,ENST00000553675.5,C14orf93,True,True
818,Pair22_5,ENST00000553675.5,100.0,15,4,18,537,551,0.91,plus,ENST00000553675.5,C14orf93,True,True
819,Pair23_5,ENST00000553675.5,100.0,15,4,18,537,551,0.91,plus,ENST00000553675.5,C14orf93,True,True
820,Pair42_5,ENST00000553675.5,100.0,16,3,18,537,552,0.23,plus,ENST00000553675.5,C14orf93,True,True
822,Pair8_5,ENST00000397380.6,100.0,16,3,18,555,570,0.23,plus,ENST00000397380.6,C14orf93,True,True
823,Pair9_5,ENST00000397380.6,100.0,16,3,18,555,570,0.23,plus,ENST00000397380.6,C14orf93,True,True
826,Pair20_5,ENST00000397380.6,100.0,16,3,18,555,570,0.23,plus,ENST00000397380.6,C14orf93,True,True
828,Pair22_5,ENST00000397380.6,100.0,15,4,18,555,569,0.91,plus,ENST00000397380.6,C14orf93,True,True
829,Pair23_5,ENST00000397380.6,100.0,15,4,18,555,569,0.91,plus,ENST00000397380.6,C14orf93,True,True
830,Pair42_5,ENST00000397380.6,100.0,16,3,18,555,570,0.23,plus,ENST00000397380.6,C14orf93,True,True
832,Pair8_5,ENST00000397382.8,100.0,16,3,18,565,580,0.23,plus,ENST00000397382.8,C14orf93,True,True
833,Pair9_5,ENST00000397382.8,100.0,16,3,18,565,580,0.23,plus,ENST00000397382.8,C14orf93,True,True
836,Pair20_5,ENST00000397382.8,100.0,16,3,18,565,580,0.23,plus,ENST00000397382.8,C14orf93,True,True
838,Pair22_5,ENST00000397382.8,100.0,15,4,18,565,579,0.91,plus,ENST00000397382.8,C14orf93,True,True
839,Pair23_5,ENST00000397382.8,100.0,15,4,18,565,579,0.91,plus,ENST00000397382.8,C14orf93,True,True
840,Pair42_5,ENST00000397382.8,100.0,16,3,18,565,580,0.23,plus,ENST00000397382.8,C14orf93,True,True
842,Pair8_5,ENST00000397379.7,100.0,16,3,18,522,537,0.23,plus,ENST00000397379.7,C14orf93,True,True
843,Pair9_5,ENST00000397379.7,100.0,16,3,18,522,537,0.23,plus,ENST00000397379.7,C14orf93,True,True
846,Pair20_5,ENST00000397379.7,100.0,16,3,18,522,537,0.23,plus,ENST00000397379.7,C14orf93,True,True
848,Pair22_5,ENST00000397379.7,100.0,15,4,18,522,536,0.91,plus,ENST00000397379.7,C14orf93,True,True
849,Pair23_5,ENST00000397379.7,100.0,15,4,18,522,536,0.91,plus,ENST00000397379.7,C14orf93,True,True
850,Pair42_5,ENST00000397379.7,100.0,16,3,18,522,537,0.23,plus,ENST00000397379.7,C14orf93,True,True
852,Pair8_5,ENST00000341470.8,100.0,16,3,18,693,708,0.23,plus,ENST00000341470.8,C14orf93,True,True
853,Pair9_5,ENST00000341470.8,100.0,16,3,18,693,708,0.23,plus,ENST00000341470.8,C14orf93,True,True
856,Pair20_5,ENST00000341470.8,100.0,16,3,18,693,708,0.23,plus,ENST00000341470.8,C14orf93,True,True
858,Pair22_5,ENST00000341470.8,100.0,15,4,18,693,707,0.91,plus,ENST00000341470.8,C14orf93,True,True
