,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1307,Pair37_3,ENST00000677443.1,100.0,16,5,20,143,158,0.38,plus,ENST00000677443.1,KIF5C,True,True
1324,Pair37_3,ENST00000677122.1,100.0,16,5,20,380,395,0.38,plus,ENST00000677122.1,KIF5C,True,True
1341,Pair37_3,ENST00000677474.1,100.0,16,5,20,341,356,0.38,plus,ENST00000677474.1,KIF5C,True,True
1358,Pair37_3,ENST00000678636.1,100.0,16,5,20,453,468,0.38,plus,ENST00000678636.1,KIF5C,True,True
1375,Pair37_3,ENST00000679129.1,100.0,16,5,20,489,504,0.38,plus,ENST00000679129.1,KIF5C,True,True
1392,Pair37_3,ENST00000676677.1,100.0,16,5,20,489,504,0.38,plus,ENST00000676677.1,KIF5C,True,True
1409,Pair37_3,ENST00000678133.1,100.0,16,5,20,3994,4009,0.38,plus,ENST00000678133.1,KIF5C,True,True
1426,Pair37_3,ENST00000464066.6,100.0,16,5,20,1007,1022,0.38,plus,ENST00000464066.6,KIF5C,True,True
1443,Pair37_3,ENST00000677280.1,100.0,16,5,20,1533,1548,0.38,plus,ENST00000677280.1,KIF5C,True,True
1460,Pair37_3,ENST00000678160.1,100.0,16,5,20,1533,1548,0.38,plus,ENST00000678160.1,KIF5C,True,True
1477,Pair37_3,ENST00000678056.1,100.0,16,5,20,1533,1548,0.38,plus,ENST00000678056.1,KIF5C,True,True
1494,Pair37_3,ENST00000677843.1,100.0,16,5,20,1533,1548,0.38,plus,ENST00000677843.1,KIF5C,True,True
1511,Pair37_3,ENST00000677747.1,100.0,16,5,20,1533,1548,0.38,plus,ENST00000677747.1,KIF5C,True,True
1528,Pair37_3,ENST00000677891.1,100.0,16,5,20,1533,1548,0.38,plus,ENST00000677891.1,KIF5C,True,True
1545,Pair37_3,ENST00000435030.6,100.0,16,5,20,1533,1548,0.38,plus,ENST00000435030.6,KIF5C,True,True
1562,Pair37_3,ENST00000678291.1,100.0,16,5,20,1533,1548,0.38,plus,ENST00000678291.1,KIF5C,True,True
1579,Pair37_3,ENST00000676875.1,100.0,16,5,20,1533,1548,0.38,plus,ENST00000676875.1,KIF5C,True,True
1584,Pair4_3,ENST00000248142.7,100.0,15,6,20,1112,1126,1.5,plus,ENST00000248142.7,WDR24,True,True
1585,Pair9_3,ENST00000248142.7,100.0,16,5,20,1112,1127,0.38,plus,ENST00000248142.7,WDR24,True,True
