,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
143,Pair4_5,ENST00000509294.1,100.0,16,5,20,75,90,0.38,plus,ENST00000509294.1,EXOC3,True,True
150,Pair31_5,ENST00000509294.1,100.0,16,5,20,75,90,0.38,plus,ENST00000509294.1,EXOC3,True,True
154,Pair54_5,ENST00000509294.1,100.0,16,5,20,75,90,0.38,plus,ENST00000509294.1,EXOC3,True,True
156,Pair4_5,ENST00000503889.2,100.0,16,5,20,4470,4485,0.38,plus,ENST00000503889.2,EXOC3,True,True
163,Pair31_5,ENST00000503889.2,100.0,16,5,20,4470,4485,0.38,plus,ENST00000503889.2,EXOC3,True,True
167,Pair54_5,ENST00000503889.2,100.0,16,5,20,4470,4485,0.38,plus,ENST00000503889.2,EXOC3,True,True
169,Pair4_5,ENST00000515601.6,100.0,16,5,20,4852,4867,0.38,plus,ENST00000515601.6,EXOC3,True,True
176,Pair31_5,ENST00000515601.6,100.0,16,5,20,4852,4867,0.38,plus,ENST00000515601.6,EXOC3,True,True
180,Pair54_5,ENST00000515601.6,100.0,16,5,20,4852,4867,0.38,plus,ENST00000515601.6,EXOC3,True,True
218,Pair4_5,ENST00000480125.1,100.0,16,1,16,31,16,0.38,minus,ENST00000480125.1,POLA1,True,True
222,Pair31_5,ENST00000480125.1,100.0,16,1,16,31,16,0.38,minus,ENST00000480125.1,POLA1,True,True
226,Pair54_5,ENST00000480125.1,100.0,16,1,16,31,16,0.38,minus,ENST00000480125.1,POLA1,True,True
228,Pair4_5,ENST00000611764.2,100.0,16,1,16,3012,2997,0.38,minus,ENST00000611764.2,POLA1,True,True
232,Pair31_5,ENST00000611764.2,100.0,16,1,16,3012,2997,0.38,minus,ENST00000611764.2,POLA1,True,True
236,Pair54_5,ENST00000611764.2,100.0,16,1,16,3012,2997,0.38,minus,ENST00000611764.2,POLA1,True,True
238,Pair4_5,ENST00000379059.7,100.0,16,1,16,2679,2664,0.38,minus,ENST00000379059.7,POLA1,True,True
