,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
3184,Pair9_3,ENST00000615455.1,100.0,18,1,18,495,478,0.029,minus,ENST00000615455.1,TUBGCP5,True,True
3188,Pair14_3,ENST00000615455.1,100.0,18,1,18,495,478,0.029,minus,ENST00000615455.1,TUBGCP5,True,True
3192,Pair9_3,ENST00000628154.1,100.0,18,1,18,495,478,0.029,minus,ENST00000628154.1,TUBGCP5,True,True
3196,Pair14_3,ENST00000628154.1,100.0,18,1,18,495,478,0.029,minus,ENST00000628154.1,TUBGCP5,True,True
3957,Pair24_3,ENST00000523731.6,100.0,16,1,16,4407,4392,0.38,minus,ENST00000523731.6,INTS8,True,True
3962,Pair29_3,ENST00000523731.6,100.0,16,1,16,4407,4392,0.38,minus,ENST00000523731.6,INTS8,True,True
3964,Pair31_3,ENST00000523731.6,100.0,16,1,16,4407,4392,0.38,minus,ENST00000523731.6,INTS8,True,True
4441,Pair40_5,ENST00000395003.5,100.0,16,6,21,5746,5761,0.38,plus,ENST00000395003.5,JADE2,True,True
4442,Pair59_5,ENST00000395003.5,100.0,16,6,21,5746,5761,0.38,plus,ENST00000395003.5,JADE2,True,True
4443,Pair64_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4444,Pair65_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4445,Pair66_5,ENST00000395003.5,100.0,16,9,24,5746,5761,0.61,plus,ENST00000395003.5,JADE2,True,True
4446,Pair67_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4447,Pair68_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4448,Pair69_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4449,Pair70_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4450,Pair71_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4451,Pair72_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4452,Pair73_5,ENST00000395003.5,100.0,16,9,24,5746,5761,0.61,plus,ENST00000395003.5,JADE2,True,True
4453,Pair74_5,ENST00000395003.5,100.0,16,9,24,5746,5761,0.61,plus,ENST00000395003.5,JADE2,True,True
4454,Pair75_5,ENST00000395003.5,100.0,16,9,24,5746,5761,0.61,plus,ENST00000395003.5,JADE2,True,True
4455,Pair76_5,ENST00000395003.5,100.0,16,9,24,5746,5761,0.61,plus,ENST00000395003.5,JADE2,True,True
4456,Pair77_5,ENST00000395003.5,100.0,16,9,24,5746,5761,0.61,plus,ENST00000395003.5,JADE2,True,True
4457,Pair78_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4458,Pair79_5,ENST00000395003.5,100.0,16,8,23,5746,5761,0.54,plus,ENST00000395003.5,JADE2,True,True
4459,Pair40_5,ENST00000681547.2,100.0,16,6,21,6041,6056,0.38,plus,ENST00000681547.2,JADE2,True,True
4460,Pair59_5,ENST00000681547.2,100.0,16,6,21,6041,6056,0.38,plus,ENST00000681547.2,JADE2,True,True
4461,Pair64_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4462,Pair65_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4463,Pair66_5,ENST00000681547.2,100.0,16,9,24,6041,6056,0.61,plus,ENST00000681547.2,JADE2,True,True
4464,Pair67_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4465,Pair68_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4466,Pair69_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4467,Pair70_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4468,Pair71_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4469,Pair72_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4470,Pair73_5,ENST00000681547.2,100.0,16,9,24,6041,6056,0.61,plus,ENST00000681547.2,JADE2,True,True
4471,Pair74_5,ENST00000681547.2,100.0,16,9,24,6041,6056,0.61,plus,ENST00000681547.2,JADE2,True,True
4472,Pair75_5,ENST00000681547.2,100.0,16,9,24,6041,6056,0.61,plus,ENST00000681547.2,JADE2,True,True
4473,Pair76_5,ENST00000681547.2,100.0,16,9,24,6041,6056,0.61,plus,ENST00000681547.2,JADE2,True,True
4474,Pair77_5,ENST00000681547.2,100.0,16,9,24,6041,6056,0.61,plus,ENST00000681547.2,JADE2,True,True
4475,Pair78_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
4476,Pair79_5,ENST00000681547.2,100.0,16,8,23,6041,6056,0.54,plus,ENST00000681547.2,JADE2,True,True
