,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1120,Pair1_5,ENST00000467365.1,100.0,16,1,16,808,793,0.23,minus,ENST00000467365.1,FAM135B,True,True
1121,Pair2_5,ENST00000467365.1,100.0,16,1,16,808,793,0.23,minus,ENST00000467365.1,FAM135B,True,True
1123,Pair4_5,ENST00000467365.1,100.0,15,1,15,807,793,0.61,minus,ENST00000467365.1,FAM135B,True,True
1125,Pair6_5,ENST00000467365.1,100.0,16,1,16,808,793,0.23,minus,ENST00000467365.1,FAM135B,True,True
1126,Pair7_5,ENST00000467365.1,100.0,15,1,15,807,793,0.61,minus,ENST00000467365.1,FAM135B,True,True
1129,Pair10_5,ENST00000467365.1,100.0,15,1,15,807,793,0.61,minus,ENST00000467365.1,FAM135B,True,True
1131,Pair1_5,ENST00000276737.10,100.0,16,1,16,3049,3034,0.23,minus,ENST00000276737.10,FAM135B,True,True
1132,Pair2_5,ENST00000276737.10,100.0,16,1,16,3049,3034,0.23,minus,ENST00000276737.10,FAM135B,True,True
1134,Pair4_5,ENST00000276737.10,100.0,15,1,15,3048,3034,0.61,minus,ENST00000276737.10,FAM135B,True,True
1136,Pair6_5,ENST00000276737.10,100.0,16,1,16,3049,3034,0.23,minus,ENST00000276737.10,FAM135B,True,True
1137,Pair7_5,ENST00000276737.10,100.0,15,1,15,3048,3034,0.61,minus,ENST00000276737.10,FAM135B,True,True
1140,Pair10_5,ENST00000276737.10,100.0,15,1,15,3048,3034,0.61,minus,ENST00000276737.10,FAM135B,True,True
1142,Pair1_5,ENST00000482951.6,100.0,16,1,16,3080,3065,0.23,minus,ENST00000482951.6,FAM135B,True,True
1143,Pair2_5,ENST00000482951.6,100.0,16,1,16,3080,3065,0.23,minus,ENST00000482951.6,FAM135B,True,True
1145,Pair4_5,ENST00000482951.6,100.0,15,1,15,3079,3065,0.61,minus,ENST00000482951.6,FAM135B,True,True
1147,Pair6_5,ENST00000482951.6,100.0,16,1,16,3080,3065,0.23,minus,ENST00000482951.6,FAM135B,True,True
1148,Pair7_5,ENST00000482951.6,100.0,15,1,15,3079,3065,0.61,minus,ENST00000482951.6,FAM135B,True,True
1151,Pair10_5,ENST00000482951.6,100.0,15,1,15,3079,3065,0.61,minus,ENST00000482951.6,FAM135B,True,True
1153,Pair1_5,ENST00000395297.6,100.0,16,1,16,3488,3473,0.23,minus,ENST00000395297.6,FAM135B,True,True
1154,Pair2_5,ENST00000395297.6,100.0,16,1,16,3488,3473,0.23,minus,ENST00000395297.6,FAM135B,True,True
1156,Pair4_5,ENST00000395297.6,100.0,15,1,15,3487,3473,0.61,minus,ENST00000395297.6,FAM135B,True,True
1158,Pair6_5,ENST00000395297.6,100.0,16,1,16,3488,3473,0.23,minus,ENST00000395297.6,FAM135B,True,True
1159,Pair7_5,ENST00000395297.6,100.0,15,1,15,3487,3473,0.61,minus,ENST00000395297.6,FAM135B,True,True
1162,Pair10_5,ENST00000395297.6,100.0,15,1,15,3487,3473,0.61,minus,ENST00000395297.6,FAM135B,True,True
1698,Pair11_5,ENST00000466182.5,100.0,16,1,16,106,91,0.15,minus,ENST00000466182.5,WDR91,True,True
1699,Pair13_5,ENST00000466182.5,100.0,16,1,16,106,91,0.15,minus,ENST00000466182.5,WDR91,True,True
1700,Pair15_5,ENST00000466182.5,100.0,16,1,16,106,91,0.15,minus,ENST00000466182.5,WDR91,True,True
1701,Pair11_5,ENST00000682250.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682250.1,WDR91,True,True
1702,Pair13_5,ENST00000682250.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682250.1,WDR91,True,True
1703,Pair15_5,ENST00000682250.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682250.1,WDR91,True,True
1704,Pair11_5,ENST00000485942.2,100.0,16,1,16,98,83,0.15,minus,ENST00000485942.2,WDR91,True,True
1705,Pair13_5,ENST00000485942.2,100.0,16,1,16,98,83,0.15,minus,ENST00000485942.2,WDR91,True,True
1706,Pair15_5,ENST00000485942.2,100.0,16,1,16,98,83,0.15,minus,ENST00000485942.2,WDR91,True,True
1707,Pair11_5,ENST00000682339.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682339.1,WDR91,True,True
1708,Pair13_5,ENST00000682339.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682339.1,WDR91,True,True
1709,Pair15_5,ENST00000682339.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682339.1,WDR91,True,True
1710,Pair11_5,ENST00000682759.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682759.1,WDR91,True,True
1711,Pair13_5,ENST00000682759.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682759.1,WDR91,True,True
1712,Pair15_5,ENST00000682759.1,100.0,16,1,16,127,112,0.15,minus,ENST00000682759.1,WDR91,True,True
1713,Pair11_5,ENST00000684339.1,100.0,16,1,16,127,112,0.15,minus,ENST00000684339.1,WDR91,True,True
1714,Pair13_5,ENST00000684339.1,100.0,16,1,16,127,112,0.15,minus,ENST00000684339.1,WDR91,True,True
1715,Pair15_5,ENST00000684339.1,100.0,16,1,16,127,112,0.15,minus,ENST00000684339.1,WDR91,True,True
1716,Pair11_5,ENST00000683947.1,100.0,16,1,16,127,112,0.15,minus,ENST00000683947.1,WDR91,True,True
1717,Pair13_5,ENST00000683947.1,100.0,16,1,16,127,112,0.15,minus,ENST00000683947.1,WDR91,True,True
1718,Pair15_5,ENST00000683947.1,100.0,16,1,16,127,112,0.15,minus,ENST00000683947.1,WDR91,True,True
1719,Pair11_5,ENST00000684322.1,100.0,16,1,16,83,68,0.15,minus,ENST00000684322.1,WDR91,True,True
1720,Pair13_5,ENST00000684322.1,100.0,16,1,16,83,68,0.15,minus,ENST00000684322.1,WDR91,True,True
1721,Pair15_5,ENST00000684322.1,100.0,16,1,16,83,68,0.15,minus,ENST00000684322.1,WDR91,True,True
1722,Pair11_5,ENST00000354475.5,100.0,16,1,16,98,83,0.15,minus,ENST00000354475.5,WDR91,True,True
1723,Pair13_5,ENST00000354475.5,100.0,16,1,16,98,83,0.15,minus,ENST00000354475.5,WDR91,True,True
1724,Pair15_5,ENST00000354475.5,100.0,16,1,16,98,83,0.15,minus,ENST00000354475.5,WDR91,True,True
2265,Pair18_3,ENST00000612966.3,100.0,16,4,19,304,319,0.31,plus,ENST00000612966.3,H3C3,True,True
2267,Pair18_3,ENST00000621411.3,100.0,16,4,19,316,331,0.31,plus,ENST00000621411.3,H3C2,True,True
2577,Pair19_3,ENST00000478998.5,100.0,16,1,16,1079,1064,0.23,minus,ENST00000478998.5,MYH15,True,True
2580,Pair24_3,ENST00000478998.5,100.0,15,1,15,1078,1064,0.61,minus,ENST00000478998.5,MYH15,True,True
2581,Pair19_3,ENST00000689784.1,100.0,16,1,16,2409,2394,0.23,minus,ENST00000689784.1,MYH15,True,True
