,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
701,Pair5_3,ENST00000443275.2,100.0,16,1,16,11151,11136,0.77,minus,ENST00000443275.2,POU2F1,True,True
702,Pair6_3,ENST00000443275.2,100.0,16,1,16,11151,11136,0.77,minus,ENST00000443275.2,POU2F1,True,True
708,Pair19_3,ENST00000443275.2,100.0,16,1,16,11151,11136,0.77,minus,ENST00000443275.2,POU2F1,True,True
709,Pair20_3,ENST00000443275.2,100.0,16,1,16,11151,11136,0.77,minus,ENST00000443275.2,POU2F1,True,True
715,Pair5_3,ENST00000367862.9,100.0,16,1,16,12247,12232,0.77,minus,ENST00000367862.9,POU2F1,True,True
716,Pair6_3,ENST00000367862.9,100.0,16,1,16,12247,12232,0.77,minus,ENST00000367862.9,POU2F1,True,True
722,Pair19_3,ENST00000367862.9,100.0,16,1,16,12247,12232,0.77,minus,ENST00000367862.9,POU2F1,True,True
723,Pair20_3,ENST00000367862.9,100.0,16,1,16,12247,12232,0.77,minus,ENST00000367862.9,POU2F1,True,True
729,Pair5_3,ENST00000541643.7,100.0,16,1,16,12146,12131,0.77,minus,ENST00000541643.7,POU2F1,True,True
730,Pair6_3,ENST00000541643.7,100.0,16,1,16,12146,12131,0.77,minus,ENST00000541643.7,POU2F1,True,True
736,Pair19_3,ENST00000541643.7,100.0,16,1,16,12146,12131,0.77,minus,ENST00000541643.7,POU2F1,True,True
737,Pair20_3,ENST00000541643.7,100.0,16,1,16,12146,12131,0.77,minus,ENST00000541643.7,POU2F1,True,True
757,Pair5_3,ENST00000367865.5,100.0,16,1,16,12541,12526,0.77,minus,ENST00000367865.5,POU2F1,True,True
758,Pair6_3,ENST00000367865.5,100.0,16,1,16,12541,12526,0.77,minus,ENST00000367865.5,POU2F1,True,True
764,Pair19_3,ENST00000367865.5,100.0,16,1,16,12541,12526,0.77,minus,ENST00000367865.5,POU2F1,True,True
765,Pair20_3,ENST00000367865.5,100.0,16,1,16,12541,12526,0.77,minus,ENST00000367865.5,POU2F1,True,True
771,Pair5_3,ENST00000429375.6,100.0,16,1,16,11863,11848,0.77,minus,ENST00000429375.6,POU2F1,True,True
772,Pair6_3,ENST00000429375.6,100.0,16,1,16,11863,11848,0.77,minus,ENST00000429375.6,POU2F1,True,True
778,Pair19_3,ENST00000429375.6,100.0,16,1,16,11863,11848,0.77,minus,ENST00000429375.6,POU2F1,True,True
779,Pair20_3,ENST00000429375.6,100.0,16,1,16,11863,11848,0.77,minus,ENST00000429375.6,POU2F1,True,True
785,Pair5_3,ENST00000271411.8,100.0,16,1,16,12154,12139,0.77,minus,ENST00000271411.8,POU2F1,True,True
786,Pair6_3,ENST00000271411.8,100.0,16,1,16,12154,12139,0.77,minus,ENST00000271411.8,POU2F1,True,True
792,Pair19_3,ENST00000271411.8,100.0,16,1,16,12154,12139,0.77,minus,ENST00000271411.8,POU2F1,True,True
793,Pair20_3,ENST00000271411.8,100.0,16,1,16,12154,12139,0.77,minus,ENST00000271411.8,POU2F1,True,True
813,Pair5_3,ENST00000367866.7,100.0,16,1,16,12057,12042,0.77,minus,ENST00000367866.7,POU2F1,True,True
814,Pair6_3,ENST00000367866.7,100.0,16,1,16,12057,12042,0.77,minus,ENST00000367866.7,POU2F1,True,True
820,Pair19_3,ENST00000367866.7,100.0,16,1,16,12057,12042,0.77,minus,ENST00000367866.7,POU2F1,True,True
821,Pair20_3,ENST00000367866.7,100.0,16,1,16,12057,12042,0.77,minus,ENST00000367866.7,POU2F1,True,True
822,Pair0_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
823,Pair1_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
824,Pair2_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
829,Pair14_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
830,Pair15_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
831,Pair16_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
1926,Pair12_5,ENST00000554372.5,100.0,16,5,20,325,340,0.38,plus,ENST00000554372.5,GALC,True,True
1930,Pair26_5,ENST00000554372.5,100.0,16,5,20,325,340,0.38,plus,ENST00000554372.5,GALC,True,True
2645,Pair28_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
2646,Pair29_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
