,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
424,Pair0_5,XM_047422546,100.0,18,1,18,166,183,0.03,plus,XM_047422546,-,-,True,True
425,Pair0_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
426,Pair1_5,XM_047422546,100.0,18,1,18,166,183,0.03,plus,XM_047422546,-,-,True,True
427,Pair1_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
428,Pair2_5,XM_047422546,100.0,18,1,18,166,183,0.03,plus,XM_047422546,-,-,True,True
429,Pair2_3,XM_047422546,100.0,20,1,20,249,230,0.003,minus,XM_047422546,-,-,True,True
430,Pair3_5,XM_047422546,100.0,17,1,17,170,186,0.078,plus,XM_047422546,-,-,True,True
431,Pair3_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
432,Pair4_5,XM_047422546,100.0,17,1,17,170,186,0.078,plus,XM_047422546,-,-,True,True
433,Pair4_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
434,Pair5_5,XM_047422546,100.0,18,1,18,169,186,0.03,plus,XM_047422546,-,-,True,True
435,Pair5_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
436,Pair6_5,XM_047422546,100.0,18,1,18,169,186,0.03,plus,XM_047422546,-,-,True,True
437,Pair6_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
438,Pair7_5,XM_047422546,100.0,17,1,17,170,186,0.078,plus,XM_047422546,-,-,True,True
439,Pair7_3,XM_047422546,100.0,20,1,20,249,230,0.003,minus,XM_047422546,-,-,True,True
440,Pair8_5,XM_047422546,100.0,18,1,18,169,186,0.03,plus,XM_047422546,-,-,True,True
441,Pair8_3,XM_047422546,100.0,20,1,20,249,230,0.003,minus,XM_047422546,-,-,True,True
442,Pair9_5,XM_047422546,100.0,17,1,17,171,187,0.078,plus,XM_047422546,-,-,True,True
443,Pair9_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
444,Pair10_5,XM_047422546,100.0,18,1,18,167,184,0.03,plus,XM_047422546,-,-,True,True
445,Pair10_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
446,Pair11_5,XM_047422546,100.0,17,1,17,171,187,0.078,plus,XM_047422546,-,-,True,True
447,Pair11_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
448,Pair12_5,XM_047422546,100.0,18,1,18,167,184,0.03,plus,XM_047422546,-,-,True,True
449,Pair12_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
450,Pair13_5,XM_047422546,100.0,17,1,17,171,187,0.078,plus,XM_047422546,-,-,True,True
451,Pair13_3,XM_047422546,100.0,20,1,20,249,230,0.003,minus,XM_047422546,-,-,True,True
452,Pair14_5,XM_047422546,100.0,18,1,18,167,184,0.03,plus,XM_047422546,-,-,True,True
453,Pair14_3,XM_047422546,100.0,20,1,20,249,230,0.003,minus,XM_047422546,-,-,True,True
454,Pair15_5,XM_047422546,100.0,17,1,17,168,184,0.078,plus,XM_047422546,-,-,True,True
455,Pair15_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
456,Pair16_5,XM_047422546,100.0,20,1,20,150,169,0.003,plus,XM_047422546,-,-,True,True
457,Pair16_3,XM_047422546,100.0,20,1,20,219,200,0.003,minus,XM_047422546,-,-,True,True
458,Pair17_5,XM_047422546,100.0,20,1,20,151,170,0.003,plus,XM_047422546,-,-,True,True
459,Pair17_3,XM_047422546,100.0,20,1,20,219,200,0.003,minus,XM_047422546,-,-,True,True
460,Pair18_5,XM_047422546,100.0,20,1,20,152,171,0.003,plus,XM_047422546,-,-,True,True
461,Pair18_3,XM_047422546,100.0,20,1,20,219,200,0.003,minus,XM_047422546,-,-,True,True
462,Pair19_5,XM_047422546,100.0,20,1,20,150,169,0.003,plus,XM_047422546,-,-,True,True
463,Pair19_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
464,Pair20_5,XM_047422546,100.0,20,1,20,151,170,0.003,plus,XM_047422546,-,-,True,True
465,Pair20_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
466,Pair21_5,XM_047422546,100.0,20,1,20,150,169,0.003,plus,XM_047422546,-,-,True,True
467,Pair21_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
468,Pair22_5,XM_047422546,100.0,20,1,20,151,170,0.003,plus,XM_047422546,-,-,True,True
469,Pair22_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
470,Pair23_5,XM_047422546,100.0,20,1,20,152,171,0.003,plus,XM_047422546,-,-,True,True
471,Pair23_3,XM_047422546,100.0,20,1,20,251,232,0.003,minus,XM_047422546,-,-,True,True
472,Pair24_5,XM_047422546,100.0,20,1,20,152,171,0.003,plus,XM_047422546,-,-,True,True
473,Pair24_3,XM_047422546,100.0,20,1,20,250,231,0.003,minus,XM_047422546,-,-,True,True
474,Pair25_5,XM_047422546,100.0,20,1,20,150,169,0.003,plus,XM_047422546,-,-,True,True
475,Pair25_3,XM_047422546,100.0,20,1,20,249,230,0.003,minus,XM_047422546,-,-,True,True
476,Pair26_5,XM_047422546,100.0,20,1,20,151,170,0.003,plus,XM_047422546,-,-,True,True
477,Pair26_3,XM_047422546,100.0,20,1,20,249,230,0.003,minus,XM_047422546,-,-,True,True
478,Pair27_5,XM_047422546,100.0,20,1,20,152,171,0.003,plus,XM_047422546,-,-,True,True
