,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1010,Pair0_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1012,Pair2_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1014,Pair4_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1016,Pair6_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1018,Pair8_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1020,Pair10_3,ENST00000533135.1,100.0,16,2,17,172,187,0.15,plus,ENST00000533135.1,PCSK7,True,True
1021,Pair11_3,ENST00000533135.1,100.0,16,2,17,172,187,0.15,plus,ENST00000533135.1,PCSK7,True,True
1022,Pair16_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1024,Pair23_3,ENST00000533135.1,100.0,16,2,17,172,187,0.15,plus,ENST00000533135.1,PCSK7,True,True
1025,Pair24_3,ENST00000533135.1,100.0,16,2,17,172,187,0.15,plus,ENST00000533135.1,PCSK7,True,True
1026,Pair25_3,ENST00000533135.1,100.0,16,2,17,172,187,0.15,plus,ENST00000533135.1,PCSK7,True,True
1027,Pair32_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1029,Pair34_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1031,Pair36_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1033,Pair38_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1035,Pair40_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1037,Pair42_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1039,Pair49_3,ENST00000533135.1,100.0,16,3,18,172,187,0.23,plus,ENST00000533135.1,PCSK7,True,True
1040,Pair0_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1042,Pair2_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1044,Pair4_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1046,Pair6_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1048,Pair8_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1050,Pair10_3,ENST00000527037.5,100.0,16,2,17,1633,1648,0.15,plus,ENST00000527037.5,PCSK7,True,True
1051,Pair11_3,ENST00000527037.5,100.0,16,2,17,1633,1648,0.15,plus,ENST00000527037.5,PCSK7,True,True
1052,Pair16_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1054,Pair23_3,ENST00000527037.5,100.0,16,2,17,1633,1648,0.15,plus,ENST00000527037.5,PCSK7,True,True
1055,Pair24_3,ENST00000527037.5,100.0,16,2,17,1633,1648,0.15,plus,ENST00000527037.5,PCSK7,True,True
1056,Pair25_3,ENST00000527037.5,100.0,16,2,17,1633,1648,0.15,plus,ENST00000527037.5,PCSK7,True,True
1057,Pair32_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1059,Pair34_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1061,Pair36_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1063,Pair38_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1065,Pair40_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1067,Pair42_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1069,Pair49_3,ENST00000527037.5,100.0,16,3,18,1633,1648,0.23,plus,ENST00000527037.5,PCSK7,True,True
1070,Pair0_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1072,Pair2_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1074,Pair4_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1076,Pair6_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1078,Pair8_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1080,Pair10_3,ENST00000534529.5,100.0,16,2,17,3524,3539,0.15,plus,ENST00000534529.5,PCSK7,True,True
1081,Pair11_3,ENST00000534529.5,100.0,16,2,17,3524,3539,0.15,plus,ENST00000534529.5,PCSK7,True,True
1082,Pair16_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1084,Pair23_3,ENST00000534529.5,100.0,16,2,17,3524,3539,0.15,plus,ENST00000534529.5,PCSK7,True,True
1085,Pair24_3,ENST00000534529.5,100.0,16,2,17,3524,3539,0.15,plus,ENST00000534529.5,PCSK7,True,True
1086,Pair25_3,ENST00000534529.5,100.0,16,2,17,3524,3539,0.15,plus,ENST00000534529.5,PCSK7,True,True
1087,Pair32_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1089,Pair34_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1091,Pair36_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1093,Pair38_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1095,Pair40_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1097,Pair42_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1099,Pair49_3,ENST00000534529.5,100.0,16,3,18,3524,3539,0.23,plus,ENST00000534529.5,PCSK7,True,True
1100,Pair0_3,ENST00000676339.1,100.0,16,3,18,1574,1589,0.23,plus,ENST00000676339.1,PCSK7,True,True
1102,Pair2_3,ENST00000676339.1,100.0,16,3,18,1574,1589,0.23,plus,ENST00000676339.1,PCSK7,True,True
