,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
382,Pair0_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
383,Pair1_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
385,Pair3_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
386,Pair4_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
387,Pair5_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
388,Pair6_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
389,Pair14_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
390,Pair15_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
391,Pair16_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
395,Pair20_3,ENST00000368328.5,100.0,16,10,25,661,676,0.69,plus,ENST00000368328.5,CENPW,True,True
1480,Pair20_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1481,Pair24_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1482,Pair56_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1483,Pair57_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1484,Pair58_5,ENST00000476454.5,100.0,16,5,20,340,355,0.38,plus,ENST00000476454.5,TP53BP1,True,True
1488,Pair62_5,ENST00000476454.5,100.0,17,5,21,340,356,0.097,plus,ENST00000476454.5,TP53BP1,True,True
1506,Pair62_5,ENST00000411702.7,100.0,16,6,21,1911,1926,0.38,plus,ENST00000411702.7,RNF213,True,True
1515,Pair62_5,ENST00000558116.5,100.0,16,6,21,3442,3457,0.38,plus,ENST00000558116.5,RNF213,True,True
3190,Pair28_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3191,Pair29_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3192,Pair30_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3193,Pair31_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000222,minus,ENST00000509595.2,FGF7P4,True,True
3194,Pair32_3,ENST00000509595.2,100.0,22,1,22,23,2,0.000202,minus,ENST00000509595.2,FGF7P4,True,True
3195,Pair33_3,ENST00000509595.2,100.0,23,1,23,24,2,5.61e-05,minus,ENST00000509595.2,FGF7P4,True,True
