query id	subject id	identity	alignment length	q. start	q. end	s. start	s. end	evalue	strand	transcript_id	gene_symbol
Pair0_5	ENST00000306602.3	100.0	20	1	20	242	223	0.002	minus	ENST00000306602.3	CXCL10
Pair0_3	ENST00000306602.3	100.0	21	1	21	114	134	0.000398	plus	ENST00000306602.3	CXCL10
Pair1_5	ENST00000306602.3	100.0	20	1	20	239	220	0.002	minus	ENST00000306602.3	CXCL10
Pair1_3	ENST00000306602.3	100.0	21	1	21	114	134	0.000398	plus	ENST00000306602.3	CXCL10
Pair2_5	ENST00000306602.3	100.0	21	1	21	258	238	0.000398	minus	ENST00000306602.3	CXCL10
Pair2_3	ENST00000306602.3	100.0	21	1	21	114	134	0.000398	plus	ENST00000306602.3	CXCL10
Pair3_5	ENST00000306602.3	100.0	21	1	21	244	224	0.000398	minus	ENST00000306602.3	CXCL10
Pair3_3	ENST00000306602.3	100.0	21	1	21	114	134	0.000398	plus	ENST00000306602.3	CXCL10
Pair4_5	ENST00000306602.3	100.0	21	1	21	241	221	0.000398	minus	ENST00000306602.3	CXCL10
Pair4_3	ENST00000306602.3	100.0	21	1	21	114	134	0.000398	plus	ENST00000306602.3	CXCL10
Pair5_5	ENST00000306602.3	100.0	21	1	21	247	227	0.000398	minus	ENST00000306602.3	CXCL10
Pair5_3	ENST00000306602.3	100.0	21	1	21	114	134	0.000398	plus	ENST00000306602.3	CXCL10
Pair6_5	ENST00000306602.3	100.0	20	1	20	246	227	0.002	minus	ENST00000306602.3	CXCL10
Pair6_3	ENST00000306602.3	100.0	21	1	21	114	134	0.000398	plus	ENST00000306602.3	CXCL10
Pair7_5	ENST00000306602.3	100.0	20	1	20	242	223	0.002	minus	ENST00000306602.3	CXCL10
Pair7_3	ENST00000306602.3	100.0	23	1	23	108	130	3.57e-05	plus	ENST00000306602.3	CXCL10
Pair8_5	ENST00000306602.3	100.0	20	1	20	242	223	0.002	minus	ENST00000306602.3	CXCL10
Pair8_3	ENST00000306602.3	100.0	23	1	23	112	134	3.57e-05	plus	ENST00000306602.3	CXCL10
Pair9_5	ENST00000306602.3	100.0	20	1	20	242	223	0.002	minus	ENST00000306602.3	CXCL10
Pair9_3	ENST00000306602.3	100.0	22	1	22	109	130	0.000121	plus	ENST00000306602.3	CXCL10
Pair10_5	ENST00000306602.3	100.0	20	1	20	242	223	0.002	minus	ENST00000306602.3	CXCL10
Pair10_3	ENST00000306602.3	100.0	22	1	22	113	134	0.000121	plus	ENST00000306602.3	CXCL10
Pair11_5	ENST00000306602.3	100.0	20	1	20	239	220	0.002	minus	ENST00000306602.3	CXCL10
Pair11_3	ENST00000306602.3	100.0	23	1	23	108	130	3.57e-05	plus	ENST00000306602.3	CXCL10
Pair12_5	ENST00000306602.3	100.0	20	1	20	239	220	0.002	minus	ENST00000306602.3	CXCL10
Pair12_3	ENST00000306602.3	100.0	23	1	23	112	134	3.57e-05	plus	ENST00000306602.3	CXCL10
Pair13_5	ENST00000306602.3	100.0	21	1	21	240	220	0.000398	minus	ENST00000306602.3	CXCL10
Pair13_3	ENST00000306602.3	100.0	21	1	21	114	134	0.000398	plus	ENST00000306602.3	CXCL10
Pair14_5	ENST00000306602.3	100.0	20	1	20	239	220	0.002	minus	ENST00000306602.3	CXCL10
Pair14_3	ENST00000306602.3	100.0	22	1	22	109	130	0.000121	plus	ENST00000306602.3	CXCL10
Pair15_5	ENST00000306602.3	100.0	20	1	20	239	220	0.002	minus	ENST00000306602.3	CXCL10
Pair15_3	ENST00000306602.3	100.0	22	1	22	113	134	0.000121	plus	ENST00000306602.3	CXCL10
Pair16_5	ENST00000306602.3	100.0	20	1	20	242	223	0.002	minus	ENST00000306602.3	CXCL10
Pair16_3	ENST00000306602.3	100.0	20	1	20	78	97	0.002	plus	ENST00000306602.3	CXCL10
Pair17_5	ENST00000306602.3	100.0	20	1	20	242	223	0.002	minus	ENST00000306602.3	CXCL10
Pair17_3	ENST00000306602.3	100.0	20	1	20	77	96	0.002	plus	ENST00000306602.3	CXCL10
Pair18_5	ENST00000306602.3	100.0	20	1	20	239	220	0.002	minus	ENST00000306602.3	CXCL10
Pair18_3	ENST00000306602.3	100.0	20	1	20	78	97	0.002	plus	ENST00000306602.3	CXCL10
Pair19_5	ENST00000306602.3	100.0	21	1	21	244	224	0.000398	minus	ENST00000306602.3	CXCL10
Pair19_3	ENST00000306602.3	100.0	20	1	20	78	97	0.002	plus	ENST00000306602.3	CXCL10
