,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
1,Pair1_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
2,Pair2_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
3,Pair3_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
4,Pair4_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
5,Pair5_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
6,Pair6_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
7,Pair7_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
8,Pair8_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
9,Pair9_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
10,Pair10_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
11,Pair11_5,ENST00000267843.9,100.0,20,1,20,24,43,0.002,plus,ENST00000267843.9,FGF7,True,True
12,Pair11_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
13,Pair12_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
14,Pair13_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
15,Pair14_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
16,Pair15_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
17,Pair16_3,ENST00000267843.9,100.0,20,1,20,232,213,0.002,minus,ENST00000267843.9,FGF7,True,True
18,Pair17_3,ENST00000267843.9,100.0,20,1,20,233,214,0.002,minus,ENST00000267843.9,FGF7,True,True
19,Pair18_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
20,Pair19_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
21,Pair20_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
22,Pair21_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
23,Pair22_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
24,Pair23_3,ENST00000267843.9,100.0,20,1,20,232,213,0.002,minus,ENST00000267843.9,FGF7,True,True
25,Pair24_3,ENST00000267843.9,100.0,20,1,20,233,214,0.002,minus,ENST00000267843.9,FGF7,True,True
26,Pair25_5,ENST00000267843.9,100.0,20,1,20,23,42,0.002,plus,ENST00000267843.9,FGF7,True,True
27,Pair25_3,ENST00000267843.9,100.0,20,1,20,236,217,0.002,minus,ENST00000267843.9,FGF7,True,True
28,Pair26_3,ENST00000267843.9,100.0,20,1,20,234,215,0.002,minus,ENST00000267843.9,FGF7,True,True
29,Pair27_3,ENST00000267843.9,100.0,20,1,20,235,216,0.002,minus,ENST00000267843.9,FGF7,True,True
30,Pair28_3,ENST00000267843.9,100.0,20,1,20,232,213,0.002,minus,ENST00000267843.9,FGF7,True,True
31,Pair29_3,ENST00000267843.9,100.0,20,1,20,233,214,0.002,minus,ENST00000267843.9,FGF7,True,True
32,Pair30_3,ENST00000267843.9,100.0,20,1,20,232,213,0.002,minus,ENST00000267843.9,FGF7,True,True
33,Pair31_3,ENST00000267843.9,100.0,20,1,20,233,214,0.002,minus,ENST00000267843.9,FGF7,True,True
34,Pair32_3,ENST00000267843.9,100.0,20,1,20,232,213,0.002,minus,ENST00000267843.9,FGF7,True,True
35,Pair33_3,ENST00000267843.9,100.0,20,1,20,233,214,0.002,minus,ENST00000267843.9,FGF7,True,True
36,Pair34_3,ENST00000267843.9,100.0,20,1,20,232,213,0.002,minus,ENST00000267843.9,FGF7,True,True
37,Pair35_3,ENST00000267843.9,100.0,20,1,20,233,214,0.002,minus,ENST00000267843.9,FGF7,True,True
