,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000694917.1,100.0,20,1,20,2287,2268,0.002,minus,ENST00000694917.1,PERM1,True,True
1,Pair0_3,ENST00000694917.1,100.0,19,1,19,2207,2225,0.005,plus,ENST00000694917.1,PERM1,True,True
2,Pair1_5,ENST00000694917.1,100.0,20,1,20,2287,2268,0.002,minus,ENST00000694917.1,PERM1,True,True
3,Pair1_3,ENST00000694917.1,100.0,19,1,19,2206,2224,0.005,plus,ENST00000694917.1,PERM1,True,True
4,Pair2_5,ENST00000694917.1,100.0,20,1,20,2289,2270,0.002,minus,ENST00000694917.1,PERM1,True,True
5,Pair2_3,ENST00000694917.1,100.0,19,1,19,2207,2225,0.005,plus,ENST00000694917.1,PERM1,True,True
6,Pair3_5,ENST00000694917.1,100.0,20,1,20,2289,2270,0.002,minus,ENST00000694917.1,PERM1,True,True
7,Pair3_3,ENST00000694917.1,100.0,19,1,19,2206,2224,0.005,plus,ENST00000694917.1,PERM1,True,True
8,Pair4_5,ENST00000694917.1,100.0,20,1,20,2300,2281,0.002,minus,ENST00000694917.1,PERM1,True,True
9,Pair4_3,ENST00000694917.1,100.0,19,1,19,2207,2225,0.005,plus,ENST00000694917.1,PERM1,True,True
10,Pair5_5,ENST00000694917.1,100.0,20,1,20,2300,2281,0.002,minus,ENST00000694917.1,PERM1,True,True
11,Pair5_3,ENST00000694917.1,100.0,19,1,19,2206,2224,0.005,plus,ENST00000694917.1,PERM1,True,True
12,Pair6_5,ENST00000694917.1,100.0,20,1,20,2288,2269,0.002,minus,ENST00000694917.1,PERM1,True,True
13,Pair6_3,ENST00000694917.1,100.0,19,1,19,2207,2225,0.005,plus,ENST00000694917.1,PERM1,True,True
14,Pair7_5,ENST00000694917.1,100.0,20,1,20,2288,2269,0.002,minus,ENST00000694917.1,PERM1,True,True
15,Pair7_3,ENST00000694917.1,100.0,19,1,19,2206,2224,0.005,plus,ENST00000694917.1,PERM1,True,True
16,Pair8_5,ENST00000694917.1,100.0,20,1,20,2331,2312,0.002,minus,ENST00000694917.1,PERM1,True,True
17,Pair8_3,ENST00000694917.1,100.0,19,1,19,2207,2225,0.005,plus,ENST00000694917.1,PERM1,True,True
18,Pair9_5,ENST00000694917.1,100.0,20,1,20,2331,2312,0.002,minus,ENST00000694917.1,PERM1,True,True
19,Pair9_3,ENST00000694917.1,100.0,19,1,19,2206,2224,0.005,plus,ENST00000694917.1,PERM1,True,True
20,Pair10_5,ENST00000694917.1,100.0,20,1,20,2333,2314,0.002,minus,ENST00000694917.1,PERM1,True,True
21,Pair10_3,ENST00000694917.1,100.0,19,1,19,2207,2225,0.005,plus,ENST00000694917.1,PERM1,True,True
22,Pair11_5,ENST00000694917.1,100.0,20,1,20,2333,2314,0.002,minus,ENST00000694917.1,PERM1,True,True
23,Pair11_3,ENST00000694917.1,100.0,19,1,19,2206,2224,0.005,plus,ENST00000694917.1,PERM1,True,True
24,Pair12_5,ENST00000694917.1,100.0,20,1,20,2290,2271,0.002,minus,ENST00000694917.1,PERM1,True,True
25,Pair12_3,ENST00000694917.1,100.0,19,1,19,2207,2225,0.005,plus,ENST00000694917.1,PERM1,True,True
26,Pair13_5,ENST00000694917.1,100.0,20,1,20,2290,2271,0.002,minus,ENST00000694917.1,PERM1,True,True
27,Pair13_3,ENST00000694917.1,100.0,19,1,19,2206,2224,0.005,plus,ENST00000694917.1,PERM1,True,True
28,Pair14_5,ENST00000694917.1,100.0,21,1,21,2295,2275,0.000398,minus,ENST00000694917.1,PERM1,True,True
29,Pair14_3,ENST00000694917.1,100.0,19,1,19,2207,2225,0.005,plus,ENST00000694917.1,PERM1,True,True
30,Pair15_5,ENST00000694917.1,100.0,21,1,21,2295,2275,0.000398,minus,ENST00000694917.1,PERM1,True,True
31,Pair15_3,ENST00000694917.1,100.0,19,1,19,2206,2224,0.005,plus,ENST00000694917.1,PERM1,True,True
32,Pair16_5,ENST00000694917.1,100.0,20,1,20,2283,2264,0.002,minus,ENST00000694917.1,PERM1,True,True
33,Pair16_3,ENST00000694917.1,100.0,20,1,20,2196,2215,0.002,plus,ENST00000694917.1,PERM1,True,True
34,Pair17_5,ENST00000694917.1,100.0,20,1,20,2284,2265,0.002,minus,ENST00000694917.1,PERM1,True,True
35,Pair17_3,ENST00000694917.1,100.0,20,1,20,2196,2215,0.002,plus,ENST00000694917.1,PERM1,True,True
36,Pair18_5,ENST00000694917.1,100.0,20,1,20,2277,2258,0.002,minus,ENST00000694917.1,PERM1,True,True
37,Pair18_3,ENST00000694917.1,100.0,20,1,20,2196,2215,0.002,plus,ENST00000694917.1,PERM1,True,True
38,Pair19_5,ENST00000694917.1,100.0,20,1,20,2287,2268,0.002,minus,ENST00000694917.1,PERM1,True,True
39,Pair19_3,ENST00000694917.1,100.0,20,1,20,2196,2215,0.002,plus,ENST00000694917.1,PERM1,True,True
40,Pair20_5,ENST00000694917.1,100.0,20,1,20,2283,2264,0.002,minus,ENST00000694917.1,PERM1,True,True
41,Pair20_3,ENST00000694917.1,100.0,20,1,20,2195,2214,0.002,plus,ENST00000694917.1,PERM1,True,True
42,Pair21_5,ENST00000694917.1,100.0,20,1,20,2284,2265,0.002,minus,ENST00000694917.1,PERM1,True,True
43,Pair21_3,ENST00000694917.1,100.0,20,1,20,2195,2214,0.002,plus,ENST00000694917.1,PERM1,True,True
44,Pair22_5,ENST00000694917.1,100.0,20,1,20,2289,2270,0.002,minus,ENST00000694917.1,PERM1,True,True
45,Pair22_3,ENST00000694917.1,100.0,20,1,20,2196,2215,0.002,plus,ENST00000694917.1,PERM1,True,True
46,Pair23_5,ENST00000694917.1,100.0,20,1,20,2300,2281,0.002,minus,ENST00000694917.1,PERM1,True,True
47,Pair23_3,ENST00000694917.1,100.0,20,1,20,2196,2215,0.002,plus,ENST00000694917.1,PERM1,True,True
48,Pair24_5,ENST00000694917.1,100.0,20,1,20,2277,2258,0.002,minus,ENST00000694917.1,PERM1,True,True
49,Pair24_3,ENST00000694917.1,100.0,20,1,20,2195,2214,0.002,plus,ENST00000694917.1,PERM1,True,True
50,Pair25_5,ENST00000694917.1,100.0,20,1,20,2287,2268,0.002,minus,ENST00000694917.1,PERM1,True,True
51,Pair25_3,ENST00000694917.1,100.0,20,1,20,2195,2214,0.002,plus,ENST00000694917.1,PERM1,True,True
52,Pair26_5,ENST00000694917.1,100.0,20,1,20,2280,2261,0.002,minus,ENST00000694917.1,PERM1,True,True
53,Pair26_3,ENST00000694917.1,100.0,20,1,20,2196,2215,0.002,plus,ENST00000694917.1,PERM1,True,True
