,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1297,Pair190_5,ENST00000352732.10,100.0,16,7,22,2562,2577,0.46,plus,ENST00000352732.10,ABHD2,True,True
1298,Pair193_5,ENST00000352732.10,100.0,16,6,21,2562,2577,0.38,plus,ENST00000352732.10,ABHD2,True,True
1385,Pair0_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1386,Pair1_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1387,Pair2_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1388,Pair3_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1389,Pair4_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1390,Pair5_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1391,Pair6_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1392,Pair7_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1393,Pair8_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1394,Pair9_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1395,Pair10_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1396,Pair11_3,ENST00000614259.2,100.0,21,1,21,125,105,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1397,Pair12_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1398,Pair13_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1399,Pair14_3,ENST00000614259.2,100.0,21,1,21,126,106,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1400,Pair15_3,ENST00000614259.2,100.0,21,1,21,122,102,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1401,Pair16_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1402,Pair17_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1403,Pair18_3,ENST00000614259.2,100.0,22,1,22,125,104,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1404,Pair19_3,ENST00000614259.2,100.0,21,1,21,125,105,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1405,Pair20_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1406,Pair21_3,ENST00000614259.2,100.0,22,1,22,126,105,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1407,Pair22_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1408,Pair23_3,ENST00000614259.2,100.0,22,1,22,122,101,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1409,Pair24_3,ENST00000614259.2,100.0,19,1,19,124,106,0.005,minus,ENST00000614259.2,BRCA2,True,True
1410,Pair25_3,ENST00000614259.2,100.0,21,1,21,125,105,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1411,Pair26_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1412,Pair27_3,ENST00000614259.2,100.0,21,1,21,123,103,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1413,Pair28_3,ENST00000614259.2,100.0,21,1,21,126,106,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1414,Pair29_3,ENST00000614259.2,100.0,21,1,21,122,102,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1415,Pair30_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1416,Pair31_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1417,Pair32_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1418,Pair33_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1419,Pair34_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1420,Pair35_3,ENST00000614259.2,100.0,22,1,22,125,104,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1421,Pair36_3,ENST00000614259.2,100.0,21,1,21,126,106,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1422,Pair37_3,ENST00000614259.2,100.0,21,1,21,122,102,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1423,Pair38_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1424,Pair39_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1425,Pair40_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1426,Pair41_3,ENST00000614259.2,100.0,22,1,22,125,104,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1427,Pair42_3,ENST00000614259.2,100.0,21,1,21,125,105,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1428,Pair43_3,ENST00000614259.2,100.0,22,1,22,126,105,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1429,Pair44_3,ENST00000614259.2,100.0,22,1,22,151,130,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1430,Pair45_3,ENST00000614259.2,100.0,22,1,22,122,101,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1431,Pair46_3,ENST00000614259.2,100.0,19,1,19,124,106,0.005,minus,ENST00000614259.2,BRCA2,True,True
1432,Pair47_3,ENST00000614259.2,100.0,22,1,22,124,103,0.000121,minus,ENST00000614259.2,BRCA2,True,True
1433,Pair48_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1434,Pair49_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1435,Pair50_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1436,Pair51_3,ENST00000614259.2,100.0,20,1,20,124,105,0.002,minus,ENST00000614259.2,BRCA2,True,True
1437,Pair52_3,ENST00000614259.2,100.0,21,1,21,125,105,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1438,Pair53_3,ENST00000614259.2,100.0,21,1,21,125,105,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1439,Pair54_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
1440,Pair55_3,ENST00000614259.2,100.0,21,1,21,124,104,0.000398,minus,ENST00000614259.2,BRCA2,True,True
