,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
143,Pair0_5,ENST00000640061.1,100.0,16,5,20,201,216,0.38,plus,ENST00000640061.1,ADGRV1,True,True
147,Pair0_5,ENST00000640407.1,100.0,16,5,20,3133,3148,0.38,plus,ENST00000640407.1,ADGRV1,True,True
151,Pair0_5,ENST00000638510.1,100.0,16,5,20,3951,3966,0.38,plus,ENST00000638510.1,ADGRV1,True,True
155,Pair0_5,ENST00000425867.3,100.0,16,5,20,5638,5653,0.38,plus,ENST00000425867.3,ADGRV1,True,True
159,Pair0_5,ENST00000405460.9,100.0,16,5,20,16783,16798,0.38,plus,ENST00000405460.9,ADGRV1,True,True
396,Pair3_5,ENST00000492998.5,100.0,16,5,20,619,634,0.38,plus,ENST00000492998.5,CCNL2,True,True
398,Pair20_5,ENST00000492998.5,100.0,16,5,20,619,634,0.38,plus,ENST00000492998.5,CCNL2,True,True
400,Pair24_5,ENST00000492998.5,100.0,16,5,20,619,634,0.38,plus,ENST00000492998.5,CCNL2,True,True
402,Pair3_5,ENST00000488340.5,100.0,16,5,20,1161,1176,0.38,plus,ENST00000488340.5,CCNL2,True,True
404,Pair20_5,ENST00000488340.5,100.0,16,5,20,1161,1176,0.38,plus,ENST00000488340.5,CCNL2,True,True
406,Pair24_5,ENST00000488340.5,100.0,16,5,20,1161,1176,0.38,plus,ENST00000488340.5,CCNL2,True,True
408,Pair3_5,ENST00000505849.5,100.0,16,5,20,956,971,0.38,plus,ENST00000505849.5,CCNL2,True,True
410,Pair20_5,ENST00000505849.5,100.0,16,5,20,956,971,0.38,plus,ENST00000505849.5,CCNL2,True,True
412,Pair24_5,ENST00000505849.5,100.0,16,5,20,956,971,0.38,plus,ENST00000505849.5,CCNL2,True,True
414,Pair3_5,ENST00000418865.6,100.0,16,5,20,2126,2141,0.38,plus,ENST00000418865.6,CCNL2,True,True
416,Pair20_5,ENST00000418865.6,100.0,16,5,20,2126,2141,0.38,plus,ENST00000418865.6,CCNL2,True,True
418,Pair24_5,ENST00000418865.6,100.0,16,5,20,2126,2141,0.38,plus,ENST00000418865.6,CCNL2,True,True
420,Pair3_5,ENST00000481223.6,100.0,16,5,20,1854,1869,0.38,plus,ENST00000481223.6,CCNL2,True,True
422,Pair20_5,ENST00000481223.6,100.0,16,5,20,1854,1869,0.38,plus,ENST00000481223.6,CCNL2,True,True
424,Pair24_5,ENST00000481223.6,100.0,16,5,20,1854,1869,0.38,plus,ENST00000481223.6,CCNL2,True,True
426,Pair3_5,ENST00000482365.5,100.0,16,5,20,1453,1468,0.38,plus,ENST00000482365.5,CCNL2,True,True
428,Pair20_5,ENST00000482365.5,100.0,16,5,20,1453,1468,0.38,plus,ENST00000482365.5,CCNL2,True,True
430,Pair24_5,ENST00000482365.5,100.0,16,5,20,1453,1468,0.38,plus,ENST00000482365.5,CCNL2,True,True
432,Pair3_5,ENST00000496007.5,100.0,16,5,20,3282,3297,0.38,plus,ENST00000496007.5,CCNL2,True,True
434,Pair20_5,ENST00000496007.5,100.0,16,5,20,3282,3297,0.38,plus,ENST00000496007.5,CCNL2,True,True
436,Pair24_5,ENST00000496007.5,100.0,16,5,20,3282,3297,0.38,plus,ENST00000496007.5,CCNL2,True,True
438,Pair3_5,ENST00000463260.5,100.0,16,5,20,767,782,0.38,plus,ENST00000463260.5,CCNL2,True,True
440,Pair20_5,ENST00000463260.5,100.0,16,5,20,767,782,0.38,plus,ENST00000463260.5,CCNL2,True,True
442,Pair24_5,ENST00000463260.5,100.0,16,5,20,767,782,0.38,plus,ENST00000463260.5,CCNL2,True,True
444,Pair3_5,ENST00000482621.5,100.0,16,5,20,872,887,0.38,plus,ENST00000482621.5,CCNL2,True,True
446,Pair20_5,ENST00000482621.5,100.0,16,5,20,872,887,0.38,plus,ENST00000482621.5,CCNL2,True,True
448,Pair24_5,ENST00000482621.5,100.0,16,5,20,872,887,0.38,plus,ENST00000482621.5,CCNL2,True,True
450,Pair3_5,ENST00000400809.8,100.0,16,5,20,1154,1169,0.38,plus,ENST00000400809.8,CCNL2,True,True
452,Pair20_5,ENST00000400809.8,100.0,16,5,20,1154,1169,0.38,plus,ENST00000400809.8,CCNL2,True,True
454,Pair24_5,ENST00000400809.8,100.0,16,5,20,1154,1169,0.38,plus,ENST00000400809.8,CCNL2,True,True
456,Pair3_5,ENST00000480479.5,100.0,16,5,20,834,849,0.38,plus,ENST00000480479.5,CCNL2,True,True
458,Pair20_5,ENST00000480479.5,100.0,16,5,20,834,849,0.38,plus,ENST00000480479.5,CCNL2,True,True
460,Pair24_5,ENST00000480479.5,100.0,16,5,20,834,849,0.38,plus,ENST00000480479.5,CCNL2,True,True
1496,Pair16_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
1497,Pair17_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
1498,Pair18_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
1499,Pair21_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
1501,Pair26_5,ENST00000590311.5,95.0,20,1,20,6800,6819,0.38,plus,ENST00000590311.5,ABCA6,True,True
1503,Pair16_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
1504,Pair17_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
1505,Pair18_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
1506,Pair21_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
1508,Pair26_5,ENST00000555445.5,100.0,16,1,16,1775,1760,0.38,minus,ENST00000555445.5,PAPLN,True,True
