,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
398,Pair0_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
399,Pair0_3,ENST00000599795.5,100.0,18,1,18,239,256,0.015,plus,ENST00000599795.5,,True,True
400,Pair1_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
401,Pair1_3,ENST00000599795.5,100.0,18,1,18,238,255,0.015,plus,ENST00000599795.5,,True,True
402,Pair2_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
403,Pair2_3,ENST00000599795.5,100.0,19,1,19,238,256,0.005,plus,ENST00000599795.5,,True,True
404,Pair3_5,ENST00000599795.5,100.0,20,1,20,411,392,0.002,minus,ENST00000599795.5,,True,True
405,Pair3_3,ENST00000599795.5,100.0,18,1,18,239,256,0.015,plus,ENST00000599795.5,,True,True
406,Pair4_5,ENST00000599795.5,100.0,20,1,20,411,392,0.002,minus,ENST00000599795.5,,True,True
407,Pair4_3,ENST00000599795.5,100.0,18,1,18,238,255,0.015,plus,ENST00000599795.5,,True,True
408,Pair5_5,ENST00000599795.5,100.0,20,1,20,412,393,0.002,minus,ENST00000599795.5,,True,True
409,Pair5_3,ENST00000599795.5,100.0,18,1,18,239,256,0.015,plus,ENST00000599795.5,,True,True
410,Pair6_5,ENST00000599795.5,100.0,20,1,20,411,392,0.002,minus,ENST00000599795.5,,True,True
411,Pair6_3,ENST00000599795.5,100.0,19,1,19,238,256,0.005,plus,ENST00000599795.5,,True,True
412,Pair7_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
413,Pair7_3,ENST00000599795.5,100.0,18,1,18,240,257,0.015,plus,ENST00000599795.5,,True,True
414,Pair8_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
415,Pair8_3,ENST00000599795.5,100.0,18,1,18,237,254,0.015,plus,ENST00000599795.5,,True,True
416,Pair9_5,ENST00000599795.5,100.0,19,1,19,409,391,0.005,minus,ENST00000599795.5,,True,True
417,Pair9_3,ENST00000599795.5,100.0,18,1,18,239,256,0.015,plus,ENST00000599795.5,,True,True
418,Pair10_5,ENST00000599795.5,100.0,20,1,20,411,392,0.002,minus,ENST00000599795.5,,True,True
419,Pair10_3,ENST00000599795.5,100.0,17,1,17,242,258,0.039,plus,ENST00000599795.5,,True,True
420,Pair11_5,ENST00000599795.5,100.0,20,1,20,412,393,0.002,minus,ENST00000599795.5,,True,True
421,Pair11_3,ENST00000599795.5,100.0,17,1,17,242,258,0.039,plus,ENST00000599795.5,,True,True
422,Pair12_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
423,Pair12_3,ENST00000599795.5,100.0,17,1,17,239,255,0.039,plus,ENST00000599795.5,,True,True
424,Pair13_5,ENST00000599795.5,100.0,21,1,21,411,391,0.000398,minus,ENST00000599795.5,,True,True
425,Pair13_3,ENST00000599795.5,100.0,18,1,18,239,256,0.015,plus,ENST00000599795.5,,True,True
426,Pair14_5,ENST00000599795.5,100.0,21,1,21,411,391,0.000398,minus,ENST00000599795.5,,True,True
427,Pair14_3,ENST00000599795.5,100.0,18,1,18,238,255,0.015,plus,ENST00000599795.5,,True,True
428,Pair15_5,ENST00000599795.5,100.0,21,1,21,412,392,0.000398,minus,ENST00000599795.5,,True,True
429,Pair15_3,ENST00000599795.5,100.0,18,1,18,239,256,0.015,plus,ENST00000599795.5,,True,True
430,Pair16_5,ENST00000599795.5,100.0,21,1,21,411,391,0.000398,minus,ENST00000599795.5,,True,True
431,Pair16_3,ENST00000599795.5,100.0,19,1,19,238,256,0.005,plus,ENST00000599795.5,,True,True
432,Pair17_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
433,Pair17_3,ENST00000599795.5,100.0,17,1,17,241,257,0.039,plus,ENST00000599795.5,,True,True
434,Pair18_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
435,Pair18_3,ENST00000599795.5,100.0,17,1,17,240,256,0.039,plus,ENST00000599795.5,,True,True
436,Pair19_5,ENST00000599795.5,100.0,20,1,20,410,391,0.002,minus,ENST00000599795.5,,True,True
437,Pair19_3,ENST00000599795.5,100.0,17,1,17,238,254,0.039,plus,ENST00000599795.5,,True,True
438,Pair20_5,ENST00000599795.5,100.0,20,1,20,411,392,0.002,minus,ENST00000599795.5,,True,True
439,Pair20_3,ENST00000599795.5,100.0,17,1,17,239,255,0.039,plus,ENST00000599795.5,,True,True
440,Pair21_5,ENST00000599795.5,100.0,20,1,20,412,393,0.002,minus,ENST00000599795.5,,True,True
441,Pair21_3,ENST00000599795.5,100.0,17,1,17,239,255,0.039,plus,ENST00000599795.5,,True,True
442,Pair22_5,ENST00000599795.5,100.0,21,1,21,415,395,0.000398,minus,ENST00000599795.5,,True,True
443,Pair22_3,ENST00000599795.5,100.0,17,1,17,242,258,0.039,plus,ENST00000599795.5,,True,True
444,Pair23_5,ENST00000599795.5,100.0,20,1,20,411,392,0.002,minus,ENST00000599795.5,,True,True
445,Pair23_3,ENST00000599795.5,100.0,17,1,17,241,257,0.039,plus,ENST00000599795.5,,True,True
446,Pair24_5,ENST00000599795.5,100.0,20,1,20,411,392,0.002,minus,ENST00000599795.5,,True,True
447,Pair24_3,ENST00000599795.5,100.0,17,1,17,238,254,0.039,plus,ENST00000599795.5,,True,True
448,Pair25_5,ENST00000599795.5,100.0,19,1,19,409,391,0.005,minus,ENST00000599795.5,,True,True
449,Pair25_3,ENST00000599795.5,100.0,17,1,17,239,255,0.039,plus,ENST00000599795.5,,True,True
450,Pair26_5,ENST00000599795.5,100.0,21,1,21,411,391,0.000398,minus,ENST00000599795.5,,True,True
451,Pair26_3,ENST00000599795.5,100.0,17,1,17,242,258,0.039,plus,ENST00000599795.5,,True,True
452,Pair27_5,ENST00000599795.5,100.0,21,1,21,412,392,0.000398,minus,ENST00000599795.5,,True,True
453,Pair27_3,ENST00000599795.5,100.0,17,1,17,242,258,0.039,plus,ENST00000599795.5,,True,True
454,Pair28_5,ENST00000599795.5,100.0,21,1,21,411,391,0.000398,minus,ENST00000599795.5,,True,True
455,Pair28_3,ENST00000599795.5,100.0,17,1,17,239,255,0.039,plus,ENST00000599795.5,,True,True
