query id	subject id	identity	alignment length	q. start	q. end	s. start	s. end	evalue	strand	transcript_id	gene_symbol
Pair0_5	ENST00000304506.7	100.0	18	1	18	180	197	0.015	plus	ENST00000304506.7	IL13
Pair0_3	ENST00000304506.7	100.0	20	1	20	276	257	0.002	minus	ENST00000304506.7	IL13
Pair1_5	ENST00000304506.7	100.0	18	1	18	178	195	0.015	plus	ENST00000304506.7	IL13
Pair1_3	ENST00000304506.7	100.0	20	1	20	276	257	0.002	minus	ENST00000304506.7	IL13
Pair2_5	ENST00000304506.7	100.0	18	1	18	180	197	0.015	plus	ENST00000304506.7	IL13
Pair2_3	ENST00000304506.7	100.0	21	1	21	278	258	0.000398	minus	ENST00000304506.7	IL13
Pair3_5	ENST00000304506.7	100.0	18	1	18	178	195	0.015	plus	ENST00000304506.7	IL13
Pair3_3	ENST00000304506.7	100.0	21	1	21	278	258	0.000398	minus	ENST00000304506.7	IL13
Pair4_5	ENST00000304506.7	100.0	18	1	18	180	197	0.015	plus	ENST00000304506.7	IL13
Pair4_3	ENST00000304506.7	100.0	22	1	22	279	258	0.000121	minus	ENST00000304506.7	IL13
Pair5_5	ENST00000304506.7	100.0	18	1	18	178	195	0.015	plus	ENST00000304506.7	IL13
Pair5_3	ENST00000304506.7	100.0	22	1	22	279	258	0.000121	minus	ENST00000304506.7	IL13
Pair6_5	ENST00000304506.7	100.0	19	1	19	175	193	0.005	plus	ENST00000304506.7	IL13
Pair6_3	ENST00000304506.7	100.0	20	1	20	276	257	0.002	minus	ENST00000304506.7	IL13
Pair7_5	ENST00000304506.7	100.0	19	1	19	176	194	0.005	plus	ENST00000304506.7	IL13
Pair7_3	ENST00000304506.7	100.0	20	1	20	276	257	0.002	minus	ENST00000304506.7	IL13
Pair8_5	ENST00000304506.7	100.0	18	1	18	180	197	0.015	plus	ENST00000304506.7	IL13
Pair8_3	ENST00000304506.7	100.0	22	1	22	278	257	0.000121	minus	ENST00000304506.7	IL13
Pair9_5	ENST00000304506.7	100.0	18	1	18	178	195	0.015	plus	ENST00000304506.7	IL13
Pair9_3	ENST00000304506.7	100.0	22	1	22	278	257	0.000121	minus	ENST00000304506.7	IL13
Pair10_5	ENST00000304506.7	100.0	18	1	18	180	197	0.015	plus	ENST00000304506.7	IL13
Pair10_3	ENST00000304506.7	100.0	22	1	22	276	255	0.000121	minus	ENST00000304506.7	IL13
Pair11_5	ENST00000304506.7	100.0	18	1	18	178	195	0.015	plus	ENST00000304506.7	IL13
Pair11_3	ENST00000304506.7	100.0	22	1	22	276	255	0.000121	minus	ENST00000304506.7	IL13
Pair12_5	ENST00000304506.7	100.0	19	1	19	175	193	0.005	plus	ENST00000304506.7	IL13
Pair12_3	ENST00000304506.7	100.0	21	1	21	278	258	0.000398	minus	ENST00000304506.7	IL13
Pair13_5	ENST00000304506.7	100.0	19	1	19	175	193	0.005	plus	ENST00000304506.7	IL13
Pair13_3	ENST00000304506.7	100.0	22	1	22	279	258	0.000121	minus	ENST00000304506.7	IL13
Pair14_5	ENST00000304506.7	100.0	19	1	19	179	197	0.005	plus	ENST00000304506.7	IL13
