,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
1257,Pair5_3,ENST00000695368.1,100.0,19,4,22,11097,11115,0.007,plus,ENST00000695368.1,NLGN1,True,True
1259,Pair14_5,ENST00000695368.1,100.0,19,1,19,11115,11097,0.007,minus,ENST00000695368.1,NLGN1,True,True
2457,Pair18_3,ENST00000444527.2,100.0,16,9,24,4621,4636,0.61,plus,ENST00000444527.2,SBF1P1,True,True
3143,Pair23_3,ENST00000512701.7,100.0,16,1,16,4048,4033,0.38,minus,ENST00000512701.7,TTC39B,True,True
3144,Pair24_3,ENST00000512701.7,100.0,16,1,16,4048,4033,0.38,minus,ENST00000512701.7,TTC39B,True,True
3145,Pair25_3,ENST00000512701.7,100.0,16,1,16,4048,4033,0.38,minus,ENST00000512701.7,TTC39B,True,True
3146,Pair26_3,ENST00000512701.7,100.0,16,1,16,4048,4033,0.38,minus,ENST00000512701.7,TTC39B,True,True
3147,Pair27_3,ENST00000512701.7,100.0,16,1,16,4048,4033,0.38,minus,ENST00000512701.7,TTC39B,True,True
3148,Pair28_3,ENST00000512701.7,100.0,16,1,16,4048,4033,0.38,minus,ENST00000512701.7,TTC39B,True,True
3149,Pair29_3,ENST00000512701.7,100.0,16,1,16,4048,4033,0.46,minus,ENST00000512701.7,TTC39B,True,True
5591,Pair42_3,ENST00000475993.1,100.0,16,1,16,477,462,0.38,minus,ENST00000475993.1,ABCF1,True,True
5598,Pair42_3,ENST00000326195.13,100.0,16,1,16,1272,1257,0.38,minus,ENST00000326195.13,ABCF1,True,True
5605,Pair42_3,ENST00000441867.6,100.0,16,1,16,1293,1278,0.38,minus,ENST00000441867.6,ABCF1,True,True
5612,Pair42_3,ENST00000376545.7,100.0,16,1,16,1207,1192,0.38,minus,ENST00000376545.7,ABCF1,True,True
5619,Pair42_3,ENST00000485585.5,100.0,16,1,16,477,462,0.38,minus,ENST00000485585.5,ABCF1,True,True
5626,Pair42_3,ENST00000383588.8,100.0,16,1,16,1338,1323,0.38,minus,ENST00000383588.8,ABCF1,True,True
5633,Pair42_3,ENST00000383587.8,100.0,16,1,16,1207,1192,0.38,minus,ENST00000383587.8,ABCF1,True,True
5640,Pair42_3,ENST00000486105.1,100.0,16,1,16,477,462,0.38,minus,ENST00000486105.1,ABCF1,True,True
5647,Pair42_3,ENST00000457078.6,100.0,16,1,16,1338,1323,0.38,minus,ENST00000457078.6,ABCF1,True,True
5654,Pair42_3,ENST00000412443.6,100.0,16,1,16,1207,1192,0.38,minus,ENST00000412443.6,ABCF1,True,True
5661,Pair42_3,ENST00000494413.1,100.0,16,1,16,477,462,0.38,minus,ENST00000494413.1,ABCF1,True,True
5668,Pair42_3,ENST00000426219.6,100.0,16,1,16,1338,1323,0.38,minus,ENST00000426219.6,ABCF1,True,True
5675,Pair42_3,ENST00000421042.6,100.0,16,1,16,1207,1192,0.38,minus,ENST00000421042.6,ABCF1,True,True
5682,Pair42_3,ENST00000475528.1,100.0,16,1,16,477,462,0.38,minus,ENST00000475528.1,ABCF1,True,True
5689,Pair42_3,ENST00000419893.6,100.0,16,1,16,1338,1323,0.38,minus,ENST00000419893.6,ABCF1,True,True
5696,Pair42_3,ENST00000448939.6,100.0,16,1,16,1207,1192,0.38,minus,ENST00000448939.6,ABCF1,True,True
5703,Pair42_3,ENST00000470464.5,100.0,16,1,16,477,462,0.38,minus,ENST00000470464.5,ABCF1,True,True
5710,Pair42_3,ENST00000452530.6,100.0,16,1,16,1207,1192,0.38,minus,ENST00000452530.6,ABCF1,True,True
5717,Pair42_3,ENST00000457111.6,100.0,16,1,16,1338,1323,0.38,minus,ENST00000457111.6,ABCF1,True,True
5724,Pair42_3,ENST00000495194.5,100.0,16,1,16,477,462,0.38,minus,ENST00000495194.5,ABCF1,True,True
5731,Pair42_3,ENST00000420257.6,100.0,16,1,16,1207,1192,0.38,minus,ENST00000420257.6,ABCF1,True,True
5738,Pair42_3,ENST00000423247.6,100.0,16,1,16,1338,1323,0.38,minus,ENST00000423247.6,ABCF1,True,True
6132,Pair49_5,ENST00000469915.1,95.0,20,1,20,352,371,0.38,plus,ENST00000469915.1,MORC2,True,True
6133,Pair49_5,ENST00000675601.1,95.0,20,1,20,640,659,0.38,plus,ENST00000675601.1,MORC2,True,True
6134,Pair49_5,ENST00000215862.8,95.0,20,1,20,1976,1995,0.38,plus,ENST00000215862.8,MORC2,True,True
6135,Pair49_5,ENST00000397641.8,95.0,20,1,20,1683,1702,0.38,plus,ENST00000397641.8,MORC2,True,True
7406,Pair63_3,ENST00000392006.8,100.0,17,1,17,3375,3359,0.17,minus,ENST00000392006.8,HNRNPUL1,True,True
7407,Pair64_5,ENST00000392006.8,100.0,17,9,25,3359,3375,0.17,plus,ENST00000392006.8,HNRNPUL1,True,True
7408,Pair65_5,ENST00000392006.8,100.0,17,9,25,3359,3375,0.17,plus,ENST00000392006.8,HNRNPUL1,True,True
7409,Pair66_3,ENST00000392006.8,100.0,17,1,17,3375,3359,0.17,minus,ENST00000392006.8,HNRNPUL1,True,True
7410,Pair63_3,ENST00000352456.7,100.0,17,1,17,3065,3049,0.17,minus,ENST00000352456.7,HNRNPUL1,True,True
7411,Pair64_5,ENST00000352456.7,100.0,17,9,25,3049,3065,0.17,plus,ENST00000352456.7,HNRNPUL1,True,True
7412,Pair65_5,ENST00000352456.7,100.0,17,9,25,3049,3065,0.17,plus,ENST00000352456.7,HNRNPUL1,True,True
7413,Pair66_3,ENST00000352456.7,100.0,17,1,17,3065,3049,0.17,minus,ENST00000352456.7,HNRNPUL1,True,True
7426,Pair63_3,ENST00000261203.7,100.0,16,1,16,827,812,0.69,minus,ENST00000261203.7,LIN7A,True,True
7427,Pair64_5,ENST00000261203.7,100.0,16,10,25,812,827,0.69,plus,ENST00000261203.7,LIN7A,True,True
7428,Pair65_5,ENST00000261203.7,100.0,16,10,25,812,827,0.69,plus,ENST00000261203.7,LIN7A,True,True
7429,Pair66_3,ENST00000261203.7,100.0,16,1,16,827,812,0.69,minus,ENST00000261203.7,LIN7A,True,True
7430,Pair63_3,ENST00000552864.6,100.0,16,1,16,904,889,0.69,minus,ENST00000552864.6,LIN7A,True,True
7431,Pair64_5,ENST00000552864.6,100.0,16,10,25,889,904,0.69,plus,ENST00000552864.6,LIN7A,True,True
7432,Pair65_5,ENST00000552864.6,100.0,16,10,25,889,904,0.69,plus,ENST00000552864.6,LIN7A,True,True
7433,Pair66_3,ENST00000552864.6,100.0,16,1,16,904,889,0.69,minus,ENST00000552864.6,LIN7A,True,True
7802,Pair70_3,ENST00000489191.1,100.0,16,1,16,225,210,0.38,minus,ENST00000489191.1,BROX,True,True
7804,Pair78_5,ENST00000489191.1,100.0,16,5,20,210,225,0.38,plus,ENST00000489191.1,BROX,True,True
7807,Pair70_3,ENST00000469236.5,100.0,16,1,16,599,584,0.38,minus,ENST00000469236.5,BROX,True,True
7809,Pair78_5,ENST00000469236.5,100.0,16,5,20,584,599,0.38,plus,ENST00000469236.5,BROX,True,True
7812,Pair70_3,ENST00000473962.5,100.0,16,1,16,242,227,0.38,minus,ENST00000473962.5,BROX,True,True
7814,Pair78_5,ENST00000473962.5,100.0,16,5,20,227,242,0.38,plus,ENST00000473962.5,BROX,True,True
7817,Pair70_3,ENST00000426638.1,100.0,16,1,16,249,234,0.38,minus,ENST00000426638.1,BROX,True,True
7819,Pair78_5,ENST00000426638.1,100.0,16,5,20,234,249,0.38,plus,ENST00000426638.1,BROX,True,True
7822,Pair70_3,ENST00000539697.5,100.0,16,1,16,297,282,0.38,minus,ENST00000539697.5,BROX,True,True
7824,Pair78_5,ENST00000539697.5,100.0,16,5,20,282,297,0.38,plus,ENST00000539697.5,BROX,True,True
7827,Pair70_3,ENST00000537020.5,100.0,16,1,16,297,282,0.38,minus,ENST00000537020.5,BROX,True,True
7829,Pair78_5,ENST00000537020.5,100.0,16,5,20,282,297,0.38,plus,ENST00000537020.5,BROX,True,True
7832,Pair70_3,ENST00000340934.10,100.0,16,1,16,580,565,0.38,minus,ENST00000340934.10,BROX,True,True
7834,Pair78_5,ENST00000340934.10,100.0,16,5,20,565,580,0.38,plus,ENST00000340934.10,BROX,True,True
7837,Pair70_3,ENST00000612948.4,100.0,16,1,16,591,576,0.38,minus,ENST00000612948.4,BROX,True,True
7839,Pair78_5,ENST00000612948.4,100.0,16,5,20,576,591,0.38,plus,ENST00000612948.4,BROX,True,True
8482,Pair65_3,ENST00000619858.1,100.0,16,1,16,2162,2147,0.38,minus,ENST00000619858.1,CISD3,True,True
8483,Pair68_3,ENST00000619858.1,100.0,16,1,16,2162,2147,0.38,minus,ENST00000619858.1,CISD3,True,True
8484,Pair71_5,ENST00000619858.1,100.0,16,5,20,2147,2162,0.38,plus,ENST00000619858.1,CISD3,True,True
8485,Pair76_5,ENST00000619858.1,100.0,16,5,20,2147,2162,0.38,plus,ENST00000619858.1,CISD3,True,True
8486,Pair65_3,ENST00000613478.2,100.0,16,1,16,1827,1812,0.38,minus,ENST00000613478.2,CISD3,True,True
8487,Pair68_3,ENST00000613478.2,100.0,16,1,16,1827,1812,0.38,minus,ENST00000613478.2,CISD3,True,True
8488,Pair71_5,ENST00000613478.2,100.0,16,5,20,1812,1827,0.38,plus,ENST00000613478.2,CISD3,True,True
8489,Pair76_5,ENST00000613478.2,100.0,16,5,20,1812,1827,0.38,plus,ENST00000613478.2,CISD3,True,True
8490,Pair65_3,ENST00000632236.1,100.0,16,1,16,2162,2147,0.38,minus,ENST00000632236.1,CISD3,True,True
8491,Pair68_3,ENST00000632236.1,100.0,16,1,16,2162,2147,0.38,minus,ENST00000632236.1,CISD3,True,True
8492,Pair71_5,ENST00000632236.1,100.0,16,5,20,2147,2162,0.38,plus,ENST00000632236.1,CISD3,True,True
8493,Pair76_5,ENST00000632236.1,100.0,16,5,20,2147,2162,0.38,plus,ENST00000632236.1,CISD3,True,True
8494,Pair65_3,ENST00000620783.2,100.0,16,1,16,1933,1918,0.38,minus,ENST00000620783.2,CISD3,True,True
8495,Pair68_3,ENST00000620783.2,100.0,16,1,16,1933,1918,0.38,minus,ENST00000620783.2,CISD3,True,True
8496,Pair71_5,ENST00000620783.2,100.0,16,5,20,1918,1933,0.38,plus,ENST00000620783.2,CISD3,True,True
8497,Pair76_5,ENST00000620783.2,100.0,16,5,20,1918,1933,0.38,plus,ENST00000620783.2,CISD3,True,True
8816,Pair70_3,ENST00000481031.5,100.0,16,5,20,88,103,0.38,plus,ENST00000481031.5,HECW1,True,True
8817,Pair78_5,ENST00000481031.5,100.0,16,1,16,103,88,0.38,minus,ENST00000481031.5,HECW1,True,True
9110,Pair75_3,ENST00000558683.2,100.0,16,1,16,699,684,0.38,minus,ENST00000558683.2,,True,True
9111,Pair76_3,ENST00000558683.2,100.0,16,1,16,699,684,0.38,minus,ENST00000558683.2,,True,True
9112,Pair77_3,ENST00000558683.2,100.0,16,1,16,699,684,0.38,minus,ENST00000558683.2,,True,True
9113,Pair78_3,ENST00000558683.2,100.0,16,1,16,699,684,0.38,minus,ENST00000558683.2,,True,True
9466,Pair79_3,ENST00000433848.1,100.0,16,5,20,21,36,0.38,plus,ENST00000433848.1,CCRL2,True,True
9467,Pair80_3,ENST00000433848.1,100.0,16,5,20,21,36,0.38,plus,ENST00000433848.1,CCRL2,True,True
9468,Pair81_3,ENST00000433848.1,100.0,16,5,20,21,36,0.38,plus,ENST00000433848.1,CCRL2,True,True
