,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
461,Pair12_5,NR_046693,100.0,16,1,16,306,291,0.46,minus,NR_046693,ENST00000592544,STARD13-AS,True,True
462,Pair13_5,NR_046693,100.0,16,1,16,306,291,0.46,minus,NR_046693,ENST00000592544,STARD13-AS,True,True
463,Pair14_5,NR_046693,100.0,16,1,16,306,291,0.46,minus,NR_046693,ENST00000592544,STARD13-AS,True,True
464,Pair15_5,NR_046693,100.0,16,1,16,306,291,0.46,minus,NR_046693,ENST00000592544,STARD13-AS,True,True
465,Pair16_5,NR_046693,100.0,16,1,16,306,291,0.46,minus,NR_046693,ENST00000592544,STARD13-AS,True,True
466,Pair17_5,NR_046693,100.0,16,1,16,306,291,0.46,minus,NR_046693,ENST00000592544,STARD13-AS,True,True
1886,Pair15_3,NM_001366474,100.0,18,1,18,1387,1370,0.03,minus,NM_001366474,ENST00000464456,MECOM,True,True
1894,Pair15_3,XM_047447693,100.0,18,1,18,704,687,0.03,minus,XM_047447693,-,-,True,True
1902,Pair15_3,XM_047447690,100.0,18,1,18,720,703,0.03,minus,XM_047447690,-,-,True,True
1910,Pair15_3,XM_047447684,100.0,18,1,18,700,683,0.03,minus,XM_047447684,-,-,True,True
1926,Pair15_3,NM_001366473,100.0,18,1,18,1353,1336,0.03,minus,NM_001366473,ENST00000494292,MECOM,True,True
1934,Pair15_3,NM_001366470,100.0,18,1,18,1390,1373,0.03,minus,NM_001366470,ENST00000464456,MECOM,True,True
1950,Pair15_3,XM_047447685,100.0,18,1,18,847,830,0.03,minus,XM_047447685,ENST00000264674,MECOM,True,True
1966,Pair15_3,NM_001366468,100.0,18,1,18,704,687,0.03,minus,NM_001366468,ENST00000472280,MECOM,True,True
1982,Pair15_3,XM_047447691,100.0,18,1,18,704,687,0.03,minus,XM_047447691,-,-,True,True
1990,Pair15_3,NM_001366469,100.0,18,1,18,1387,1370,0.03,minus,NM_001366469,ENST00000628990,MECOM,True,True
2006,Pair15_3,NM_001366466,100.0,18,1,18,1353,1336,0.03,minus,NM_001366466,ENST00000494292,MECOM,True,True
2022,Pair15_3,XM_011512546,100.0,18,1,18,723,706,0.03,minus,XM_011512546,ENST00000264674,MECOM,True,True
2038,Pair15_3,XM_005247214,100.0,18,1,18,1356,1339,0.03,minus,XM_005247214,ENST00000494292,MECOM,True,True
2054,Pair15_3,XM_005247221,100.0,18,1,18,685,668,0.03,minus,XM_005247221,ENST00000472280,MECOM,True,True
2070,Pair15_3,XM_005247213,100.0,18,1,18,1356,1339,0.03,minus,XM_005247213,ENST00000651503,MECOM,True,True
2086,Pair15_3,XM_047447681,100.0,18,1,18,700,683,0.03,minus,XM_047447681,ENST00000264674,MECOM,True,True
2102,Pair15_3,NM_001205194,100.0,18,1,18,1015,998,0.03,minus,NM_001205194,ENST00000628990,MECOM,True,True
2118,Pair15_3,XM_047447689,100.0,18,1,18,723,706,0.03,minus,XM_047447689,-,-,True,True
2126,Pair15_3,XM_047447694,100.0,18,1,18,701,684,0.03,minus,XM_047447694,-,-,True,True
2134,Pair15_3,NM_001366467,100.0,18,1,18,1390,1373,0.03,minus,NM_001366467,ENST00000472280,MECOM,True,True
2150,Pair15_3,XM_047447686,100.0,18,1,18,704,687,0.03,minus,XM_047447686,-,-,True,True
2166,Pair15_3,NM_005241,100.0,18,1,18,718,701,0.03,minus,NM_005241,ENST00000628990,MECOM,True,True
2182,Pair15_3,XM_047447688,100.0,18,1,18,720,703,0.03,minus,XM_047447688,-,-,True,True
2190,Pair15_3,NM_001366472,100.0,18,1,18,844,827,0.03,minus,NM_001366472,ENST00000464456,MECOM,True,True
2206,Pair15_3,XM_047447680,100.0,18,1,18,723,706,0.03,minus,XM_047447680,-,-,True,True
2222,Pair15_3,XM_047447677,100.0,18,1,18,747,730,0.03,minus,XM_047447677,ENST00000264674,MECOM,True,True
2238,Pair15_3,XM_047447678,100.0,18,1,18,744,727,0.03,minus,XM_047447678,-,-,True,True
2254,Pair15_3,XM_047447679,100.0,18,1,18,720,703,0.03,minus,XM_047447679,-,-,True,True
2270,Pair15_3,NM_001366471,100.0,18,1,18,701,684,0.03,minus,NM_001366471,ENST00000464456,MECOM,True,True
2286,Pair15_3,XM_047447682,100.0,18,1,18,720,703,0.03,minus,XM_047447682,-,-,True,True
2302,Pair15_3,NM_001163999,100.0,18,1,18,721,704,0.03,minus,NM_001163999,ENST00000464456,MECOM,True,True
2318,Pair15_3,XM_047447692,100.0,18,1,18,701,684,0.03,minus,XM_047447692,-,-,True,True
2326,Pair15_3,NM_001105078,100.0,18,1,18,701,684,0.03,minus,NM_001105078,ENST00000468789,MECOM,True,True
