,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
0,Pair0_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
1,Pair1_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
2,Pair2_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
3,Pair3_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
4,Pair4_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
5,Pair5_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
6,Pair6_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
7,Pair7_5,ENST00000494822.1,100.0,19,1,19,287,269,0.005,minus,ENST00000494822.1,TFEB,True,True
8,Pair8_5,ENST00000494822.1,100.0,19,1,19,285,267,0.005,minus,ENST00000494822.1,TFEB,True,True
9,Pair9_5,ENST00000494822.1,100.0,19,1,19,287,269,0.005,minus,ENST00000494822.1,TFEB,True,True
10,Pair10_5,ENST00000494822.1,100.0,19,1,19,285,267,0.005,minus,ENST00000494822.1,TFEB,True,True
11,Pair11_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
12,Pair12_5,ENST00000494822.1,100.0,19,1,19,287,269,0.005,minus,ENST00000494822.1,TFEB,True,True
13,Pair13_5,ENST00000494822.1,100.0,19,1,19,285,267,0.005,minus,ENST00000494822.1,TFEB,True,True
14,Pair14_5,ENST00000494822.1,100.0,19,1,19,287,269,0.005,minus,ENST00000494822.1,TFEB,True,True
15,Pair15_5,ENST00000494822.1,100.0,19,1,19,285,267,0.005,minus,ENST00000494822.1,TFEB,True,True
16,Pair16_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
17,Pair17_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
18,Pair19_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
19,Pair21_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
20,Pair23_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
21,Pair24_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
23,Pair27_5,ENST00000494822.1,100.0,19,1,19,287,269,0.005,minus,ENST00000494822.1,TFEB,True,True
24,Pair28_5,ENST00000494822.1,100.0,19,1,19,285,267,0.005,minus,ENST00000494822.1,TFEB,True,True
25,Pair29_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
26,Pair30_5,ENST00000494822.1,100.0,19,1,19,287,269,0.005,minus,ENST00000494822.1,TFEB,True,True
27,Pair31_5,ENST00000494822.1,100.0,19,1,19,285,267,0.005,minus,ENST00000494822.1,TFEB,True,True
28,Pair32_5,ENST00000494822.1,100.0,19,1,19,287,269,0.005,minus,ENST00000494822.1,TFEB,True,True
29,Pair33_5,ENST00000494822.1,100.0,19,1,19,285,267,0.005,minus,ENST00000494822.1,TFEB,True,True
30,Pair35_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
32,Pair37_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
33,Pair38_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
34,Pair39_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
35,Pair41_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
36,Pair42_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
37,Pair43_5,ENST00000494822.1,100.0,19,1,19,287,269,0.005,minus,ENST00000494822.1,TFEB,True,True
38,Pair44_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
39,Pair45_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
40,Pair46_5,ENST00000494822.1,100.0,19,1,19,284,266,0.005,minus,ENST00000494822.1,TFEB,True,True
41,Pair47_5,ENST00000494822.1,100.0,19,1,19,286,268,0.005,minus,ENST00000494822.1,TFEB,True,True
42,Pair48_5,ENST00000494822.1,100.0,19,1,19,285,267,0.005,minus,ENST00000494822.1,TFEB,True,True
