,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
4992,Pair0_5,NM_017746,100.0,16,6,21,2185,2200,0.77,plus,NM_017746,ENST00000374902,TEX10,True,True
4993,Pair1_3,NM_017746,100.0,16,1,16,2200,2185,0.77,minus,NM_017746,ENST00000374902,TEX10,True,True
4994,Pair2_5,NM_017746,100.0,16,6,21,2185,2200,0.77,plus,NM_017746,ENST00000374902,TEX10,True,True
4995,Pair3_3,NM_017746,100.0,16,1,16,2200,2185,0.77,minus,NM_017746,ENST00000374902,TEX10,True,True
4997,Pair5_3,NM_017746,100.0,16,1,16,2200,2185,0.77,minus,NM_017746,ENST00000374902,TEX10,True,True
4998,Pair6_3,NM_017746,100.0,16,1,16,2200,2185,0.77,minus,NM_017746,ENST00000374902,TEX10,True,True
5000,Pair8_3,NM_017746,100.0,16,1,16,2200,2185,0.77,minus,NM_017746,ENST00000374902,TEX10,True,True
5003,Pair11_3,NM_017746,100.0,16,1,16,2200,2185,0.77,minus,NM_017746,ENST00000374902,TEX10,True,True
5004,Pair0_5,XM_047423524,100.0,16,6,21,2198,2213,0.77,plus,XM_047423524,-,-,True,True
5005,Pair1_3,XM_047423524,100.0,16,1,16,2213,2198,0.77,minus,XM_047423524,-,-,True,True
5006,Pair2_5,XM_047423524,100.0,16,6,21,2198,2213,0.77,plus,XM_047423524,-,-,True,True
5007,Pair3_3,XM_047423524,100.0,16,1,16,2213,2198,0.77,minus,XM_047423524,-,-,True,True
5009,Pair5_3,XM_047423524,100.0,16,1,16,2213,2198,0.77,minus,XM_047423524,-,-,True,True
5010,Pair6_3,XM_047423524,100.0,16,1,16,2213,2198,0.77,minus,XM_047423524,-,-,True,True
5012,Pair8_3,XM_047423524,100.0,16,1,16,2213,2198,0.77,minus,XM_047423524,-,-,True,True
5015,Pair11_3,XM_047423524,100.0,16,1,16,2213,2198,0.77,minus,XM_047423524,-,-,True,True
5016,Pair0_5,XM_047423523,100.0,16,6,21,2185,2200,0.77,plus,XM_047423523,-,-,True,True
5017,Pair1_3,XM_047423523,100.0,16,1,16,2200,2185,0.77,minus,XM_047423523,-,-,True,True
5018,Pair2_5,XM_047423523,100.0,16,6,21,2185,2200,0.77,plus,XM_047423523,-,-,True,True
5019,Pair3_3,XM_047423523,100.0,16,1,16,2200,2185,0.77,minus,XM_047423523,-,-,True,True
5021,Pair5_3,XM_047423523,100.0,16,1,16,2200,2185,0.77,minus,XM_047423523,-,-,True,True
5022,Pair6_3,XM_047423523,100.0,16,1,16,2200,2185,0.77,minus,XM_047423523,-,-,True,True
5024,Pair8_3,XM_047423523,100.0,16,1,16,2200,2185,0.77,minus,XM_047423523,-,-,True,True
5027,Pair11_3,XM_047423523,100.0,16,1,16,2200,2185,0.77,minus,XM_047423523,-,-,True,True
5028,Pair0_5,XM_011518798,100.0,16,6,21,1810,1825,0.77,plus,XM_011518798,ENST00000374902,TEX10,True,True
5029,Pair1_3,XM_011518798,100.0,16,1,16,1825,1810,0.77,minus,XM_011518798,ENST00000374902,TEX10,True,True
5030,Pair2_5,XM_011518798,100.0,16,6,21,1810,1825,0.77,plus,XM_011518798,ENST00000374902,TEX10,True,True
5031,Pair3_3,XM_011518798,100.0,16,1,16,1825,1810,0.77,minus,XM_011518798,ENST00000374902,TEX10,True,True
5033,Pair5_3,XM_011518798,100.0,16,1,16,1825,1810,0.77,minus,XM_011518798,ENST00000374902,TEX10,True,True
5034,Pair6_3,XM_011518798,100.0,16,1,16,1825,1810,0.77,minus,XM_011518798,ENST00000374902,TEX10,True,True
5036,Pair8_3,XM_011518798,100.0,16,1,16,1825,1810,0.77,minus,XM_011518798,ENST00000374902,TEX10,True,True
5039,Pair11_3,XM_011518798,100.0,16,1,16,1825,1810,0.77,minus,XM_011518798,ENST00000374902,TEX10,True,True
5040,Pair0_5,NM_001161584,100.0,16,6,21,2164,2179,0.77,plus,NM_001161584,ENST00000535814,TEX10,True,True
5041,Pair1_3,NM_001161584,100.0,16,1,16,2179,2164,0.77,minus,NM_001161584,ENST00000535814,TEX10,True,True
5042,Pair2_5,NM_001161584,100.0,16,6,21,2164,2179,0.77,plus,NM_001161584,ENST00000535814,TEX10,True,True
5043,Pair3_3,NM_001161584,100.0,16,1,16,2179,2164,0.77,minus,NM_001161584,ENST00000535814,TEX10,True,True
5045,Pair5_3,NM_001161584,100.0,16,1,16,2179,2164,0.77,minus,NM_001161584,ENST00000535814,TEX10,True,True
5046,Pair6_3,NM_001161584,100.0,16,1,16,2179,2164,0.77,minus,NM_001161584,ENST00000535814,TEX10,True,True
5048,Pair8_3,NM_001161584,100.0,16,1,16,2179,2164,0.77,minus,NM_001161584,ENST00000535814,TEX10,True,True
5051,Pair11_3,NM_001161584,100.0,16,1,16,2179,2164,0.77,minus,NM_001161584,ENST00000535814,TEX10,True,True
5052,Pair0_5,XR_007059124,100.0,16,6,21,7427,7442,0.77,plus,XR_007059124,-,-,True,True
5053,Pair1_3,XR_007059124,100.0,16,1,16,7442,7427,0.77,minus,XR_007059124,-,-,True,True
5054,Pair2_5,XR_007059124,100.0,16,6,21,7427,7442,0.77,plus,XR_007059124,-,-,True,True
5055,Pair3_3,XR_007059124,100.0,16,1,16,7442,7427,0.77,minus,XR_007059124,-,-,True,True
5057,Pair5_3,XR_007059124,100.0,16,1,16,7442,7427,0.77,minus,XR_007059124,-,-,True,True
5058,Pair6_3,XR_007059124,100.0,16,1,16,7442,7427,0.77,minus,XR_007059124,-,-,True,True
5060,Pair8_3,XR_007059124,100.0,16,1,16,7442,7427,0.77,minus,XR_007059124,-,-,True,True
5063,Pair11_3,XR_007059124,100.0,16,1,16,7442,7427,0.77,minus,XR_007059124,-,-,True,True
5410,Pair19_3,NR_170552,95.0,20,1,20,592,573,0.62,minus,NR_170552,-,-,True,True
5414,Pair21_3,NR_170552,95.0,20,1,20,592,573,0.62,minus,NR_170552,-,-,True,True
