,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,transcript_id,gene_symbol,filter1,filter2
3353,Pair10_5,ENST00000441453.5,100.0,17,1,17,3739,3723,0.19,minus,ENST00000441453.5,COBL,True,True
3354,Pair11_5,ENST00000441453.5,100.0,17,1,17,3739,3723,0.19,minus,ENST00000441453.5,COBL,True,True
3355,Pair12_5,ENST00000441453.5,100.0,17,1,17,3739,3723,0.19,minus,ENST00000441453.5,COBL,True,True
5522,Pair40_3,ENST00000374479.4,100.0,16,5,20,1759,1774,0.38,plus,ENST00000374479.4,FUCA1,True,True
5524,Pair43_3,ENST00000374479.4,100.0,16,5,20,1759,1774,0.38,plus,ENST00000374479.4,FUCA1,True,True
5526,Pair55_5,ENST00000374479.4,100.0,16,1,16,1774,1759,0.38,minus,ENST00000374479.4,FUCA1,True,True
5528,Pair58_5,ENST00000374479.4,100.0,16,1,16,1774,1759,0.38,minus,ENST00000374479.4,FUCA1,True,True
5570,Pair40_3,ENST00000561988.5,100.0,16,5,20,21,36,0.38,plus,ENST00000561988.5,ADGRG1,True,True
5572,Pair43_3,ENST00000561988.5,100.0,16,5,20,21,36,0.38,plus,ENST00000561988.5,ADGRG1,True,True
5574,Pair55_5,ENST00000561988.5,100.0,16,1,16,36,21,0.38,minus,ENST00000561988.5,ADGRG1,True,True
5576,Pair58_5,ENST00000561988.5,100.0,16,1,16,36,21,0.38,minus,ENST00000561988.5,ADGRG1,True,True
5578,Pair40_3,ENST00000561872.5,100.0,16,5,20,21,36,0.38,plus,ENST00000561872.5,ADGRG1,True,True
5580,Pair43_3,ENST00000561872.5,100.0,16,5,20,21,36,0.38,plus,ENST00000561872.5,ADGRG1,True,True
5582,Pair55_5,ENST00000561872.5,100.0,16,1,16,36,21,0.38,minus,ENST00000561872.5,ADGRG1,True,True
5584,Pair58_5,ENST00000561872.5,100.0,16,1,16,36,21,0.38,minus,ENST00000561872.5,ADGRG1,True,True
5586,Pair40_3,ENST00000562101.5,100.0,16,5,20,21,36,0.38,plus,ENST00000562101.5,ADGRG1,True,True
5588,Pair43_3,ENST00000562101.5,100.0,16,5,20,21,36,0.38,plus,ENST00000562101.5,ADGRG1,True,True
5590,Pair55_5,ENST00000562101.5,100.0,16,1,16,36,21,0.38,minus,ENST00000562101.5,ADGRG1,True,True
5592,Pair58_5,ENST00000562101.5,100.0,16,1,16,36,21,0.38,minus,ENST00000562101.5,ADGRG1,True,True
5594,Pair40_3,ENST00000566778.5,100.0,16,5,20,22,37,0.38,plus,ENST00000566778.5,ADGRG1,True,True
5596,Pair43_3,ENST00000566778.5,100.0,16,5,20,22,37,0.38,plus,ENST00000566778.5,ADGRG1,True,True
5598,Pair55_5,ENST00000566778.5,100.0,16,1,16,37,22,0.38,minus,ENST00000566778.5,ADGRG1,True,True
5600,Pair58_5,ENST00000566778.5,100.0,16,1,16,37,22,0.38,minus,ENST00000566778.5,ADGRG1,True,True
5602,Pair40_3,ENST00000568909.5,100.0,16,5,20,69,84,0.38,plus,ENST00000568909.5,ADGRG1,True,True
5604,Pair43_3,ENST00000568909.5,100.0,16,5,20,69,84,0.38,plus,ENST00000568909.5,ADGRG1,True,True
5606,Pair55_5,ENST00000568909.5,100.0,16,1,16,84,69,0.38,minus,ENST00000568909.5,ADGRG1,True,True
5608,Pair58_5,ENST00000568909.5,100.0,16,1,16,84,69,0.38,minus,ENST00000568909.5,ADGRG1,True,True
5610,Pair40_3,ENST00000568908.5,100.0,16,5,20,125,140,0.38,plus,ENST00000568908.5,ADGRG1,True,True
5612,Pair43_3,ENST00000568908.5,100.0,16,5,20,125,140,0.38,plus,ENST00000568908.5,ADGRG1,True,True
5614,Pair55_5,ENST00000568908.5,100.0,16,1,16,140,125,0.38,minus,ENST00000568908.5,ADGRG1,True,True
5616,Pair58_5,ENST00000568908.5,100.0,16,1,16,140,125,0.38,minus,ENST00000568908.5,ADGRG1,True,True
5618,Pair40_3,ENST00000302917.1,100.0,16,5,20,220,235,0.38,plus,ENST00000302917.1,TEX13B,True,True
5620,Pair43_3,ENST00000302917.1,100.0,16,5,20,220,235,0.38,plus,ENST00000302917.1,TEX13B,True,True
5622,Pair55_5,ENST00000302917.1,100.0,16,1,16,235,220,0.38,minus,ENST00000302917.1,TEX13B,True,True
5624,Pair58_5,ENST00000302917.1,100.0,16,1,16,235,220,0.38,minus,ENST00000302917.1,TEX13B,True,True
7487,Pair42_3,ENST00000380289.3,100.0,16,5,20,1286,1301,0.38,plus,ENST00000380289.3,GRPR,True,True
