,query id,subject id,identity,alignment length,q. start,q. end,s. start,s. end,evalue,strand,id,ensembl_id,gene,filter1,filter2
170,Pair0_5,XM_047418044,100.0,20,1,20,1499,1480,0.003,minus,XM_047418044,-,-,True,True
171,Pair0_3,XM_047418044,100.0,17,1,17,1295,1311,0.078,plus,XM_047418044,-,-,True,True
172,Pair1_5,XM_047418044,100.0,20,1,20,1499,1480,0.003,minus,XM_047418044,-,-,True,True
173,Pair1_3,XM_047418044,100.0,17,1,17,1294,1310,0.078,plus,XM_047418044,-,-,True,True
174,Pair2_5,XM_047418044,100.0,20,1,20,1495,1476,0.003,minus,XM_047418044,-,-,True,True
175,Pair2_3,XM_047418044,100.0,17,1,17,1295,1311,0.078,plus,XM_047418044,-,-,True,True
176,Pair3_5,XM_047418044,100.0,20,1,20,1495,1476,0.003,minus,XM_047418044,-,-,True,True
177,Pair3_3,XM_047418044,100.0,17,1,17,1294,1310,0.078,plus,XM_047418044,-,-,True,True
178,Pair4_5,XM_047418044,100.0,20,1,20,1498,1479,0.003,minus,XM_047418044,-,-,True,True
179,Pair4_3,XM_047418044,100.0,17,1,17,1295,1311,0.078,plus,XM_047418044,-,-,True,True
180,Pair5_5,XM_047418044,100.0,20,1,20,1498,1479,0.003,minus,XM_047418044,-,-,True,True
181,Pair5_3,XM_047418044,100.0,17,1,17,1294,1310,0.078,plus,XM_047418044,-,-,True,True
182,Pair6_5,XM_047418044,100.0,20,1,20,1494,1475,0.003,minus,XM_047418044,-,-,True,True
183,Pair6_3,XM_047418044,100.0,17,1,17,1295,1311,0.078,plus,XM_047418044,-,-,True,True
184,Pair7_5,XM_047418044,100.0,20,1,20,1494,1475,0.003,minus,XM_047418044,-,-,True,True
185,Pair7_3,XM_047418044,100.0,17,1,17,1294,1310,0.078,plus,XM_047418044,-,-,True,True
186,Pair8_5,XM_047418044,100.0,19,1,19,1486,1468,0.008,minus,XM_047418044,-,-,True,True
187,Pair8_3,XM_047418044,100.0,17,1,17,1295,1311,0.078,plus,XM_047418044,-,-,True,True
188,Pair9_5,XM_047418044,100.0,19,1,19,1486,1468,0.008,minus,XM_047418044,-,-,True,True
189,Pair9_3,XM_047418044,100.0,17,1,17,1294,1310,0.078,plus,XM_047418044,-,-,True,True
190,Pair10_5,XM_047418044,100.0,20,1,20,1449,1430,0.003,minus,XM_047418044,-,-,True,True
191,Pair10_3,XM_047418044,100.0,20,1,20,1270,1289,0.003,plus,XM_047418044,-,-,True,True
192,Pair11_5,XM_047418044,100.0,20,1,20,1450,1431,0.003,minus,XM_047418044,-,-,True,True
193,Pair11_3,XM_047418044,100.0,20,1,20,1270,1289,0.003,plus,XM_047418044,-,-,True,True
194,Pair12_5,XM_047418044,100.0,20,1,20,1443,1424,0.003,minus,XM_047418044,-,-,True,True
195,Pair12_3,XM_047418044,100.0,20,1,20,1270,1289,0.003,plus,XM_047418044,-,-,True,True
196,Pair13_5,XM_047418044,100.0,20,1,20,1448,1429,0.003,minus,XM_047418044,-,-,True,True
197,Pair13_3,XM_047418044,100.0,20,1,20,1270,1289,0.003,plus,XM_047418044,-,-,True,True
198,Pair14_5,XM_047418044,100.0,20,1,20,1444,1425,0.003,minus,XM_047418044,-,-,True,True
199,Pair14_3,XM_047418044,100.0,20,1,20,1270,1289,0.003,plus,XM_047418044,-,-,True,True
200,Pair15_5,XM_047418044,100.0,20,1,20,1449,1430,0.003,minus,XM_047418044,-,-,True,True
201,Pair15_3,XM_047418044,100.0,20,1,20,1250,1269,0.003,plus,XM_047418044,-,-,True,True
202,Pair16_5,XM_047418044,100.0,20,1,20,1450,1431,0.003,minus,XM_047418044,-,-,True,True
203,Pair16_3,XM_047418044,100.0,20,1,20,1250,1269,0.003,plus,XM_047418044,-,-,True,True
204,Pair17_5,XM_047418044,100.0,20,1,20,1420,1401,0.003,minus,XM_047418044,-,-,True,True
205,Pair17_3,XM_047418044,100.0,20,1,20,1250,1269,0.003,plus,XM_047418044,-,-,True,True
206,Pair18_5,XM_047418044,100.0,20,1,20,1443,1424,0.003,minus,XM_047418044,-,-,True,True
